Row Label,PrecinctCode,County,Registered Voters,Eddie Yoon,Charles W. Johnson
Total,-1,PA,NULL,1728,4361
Baleville,1,PA,NULL,14,47
Bay Center,2,PA,NULL,34,98
Chinook,3,PA,NULL,49,144
Eklund Park,4,PA,NULL,12,41
Frances-Lebam(*),6,PA,NULL,0,0
Ilwaco 1 Rural(*),7,PA,NULL,0,0
Ilwaco 2 Rural,8,PA,NULL,19,40
Klipsan,9,PA,NULL,68,203
Menlo-Firdale,11,PA,NULL,73,176
Nahcotta,12,PA,NULL,178,434
Naselle,13,PA,NULL,90,273
Nemah,15,PA,NULL,7,31
North Cove,16,PA,NULL,73,181
Pioneer 2,17,PA,NULL,43,114
North River,18,PA,NULL,11,16
Ocean Park 1,19,PA,NULL,49,126
Ocean Park 2,20,PA,NULL,133,264
Oysterville,21,PA,NULL,89,226
Pioneer,22,PA,NULL,61,139
Raymond W2 R,23,PA,NULL,9,24
Raymond W3 R,24,PA,NULL,9,33
Seaview 1,25,PA,NULL,78,166
Seaview 2,26,PA,NULL,7,17
Smith Creek,27,PA,NULL,12,43
South Bend 1 R,28,PA,NULL,14,27
South Bend 3R,29,PA,NULL,2,2
South Bend 2R,30,PA,NULL,2,5
South Fork,32,PA,NULL,18,74
Willapa,34,PA,NULL,85,233
Ilwaco City,101,PA,NULL,72,184
Long Beach,103,PA,NULL,126,291
Raymond W1p1,105,PA,NULL,7,15
Raymond W1p2,106,PA,NULL,32,67
Raymond W1p3,107,PA,NULL,31,80
Raymond W2,108,PA,NULL,38,90
Raymond W3,110,PA,NULL,58,133
South Bend 1,113,PA,NULL,47,102
South Bend 2,115,PA,NULL,24,46
South Bend 3,117,PA,NULL,23,86
