Row Label,PrecinctCode,County,Registered Voters,Phil Cook,Paul Andrews
Total,-1,KP,NULL,42200,38405
BREMERTON 001,100001,KP,NULL,92,148
BREMERTON 002,100002,KP,NULL,94,101
BREMERTON 003,100003,KP,NULL,180,210
BREMERTON 005,100005,KP,NULL,110,162
BREMERTON 006,100006,KP,NULL,92,166
BREMERTON 007,100007,KP,NULL,7,3
BREMERTON 012,100012,KP,NULL,38,62
BREMERTON 013,100013,KP,NULL,171,204
BREMERTON 015,100015,KP,NULL,219,215
BREMERTON 016,100016,KP,NULL,37,65
BREMERTON 022,100022,KP,NULL,147,164
BREMERTON 029,100029,KP,NULL,176,204
BREMERTON 030,100030,KP,NULL,191,187
BREMERTON 031,100031,KP,NULL,117,105
BREMERTON 032,100032,KP,NULL,21,38
BREMERTON 037,100037,KP,NULL,331,228
BREMERTON 040,100040,KP,NULL,180,227
BREMERTON 041,100041,KP,NULL,157,193
BREMERTON 046,100046,KP,NULL,194,222
BREMERTON 051,100051,KP,NULL,27,15
BREMERTON 052,100052,KP,NULL,146,147
BREMERTON 053,100053,KP,NULL,270,278
BREMERTON 054,100054,KP,NULL,111,132
BREMERTON 056,100056,KP,NULL,189,180
BREMERTON 058,100058,KP,NULL,207,232
ILLAHEE 065,100065,KP,NULL,317,226
SYLVAN 066,100066,KP,NULL,220,242
RAINIER 067,100067,KP,NULL,299,227
PERRY 073,100073,KP,NULL,152,132
UELAND 082,100082,KP,NULL,0,0
ROCKY POINT 083,100083,KP,NULL,314,289
RIDGEWAY 084,100084,KP,NULL,85,44
KITSAP LAKE 085(*),100085,KP,NULL,0,0
POWERLINE 086(*),100086,KP,NULL,0,0
BAYVIEW 087,100087,KP,NULL,72,62
BREMERTON 088,100088,KP,NULL,38,35
MARION 090,100090,KP,NULL,44,44
NAVY YARD CITY 095,100095,KP,NULL,217,210
OLYMPIC 099,100099,KP,NULL,28,28
TRIDENT 101,100101,KP,NULL,74,28
FRONTIER 102,100102,KP,NULL,390,174
OLYMPIC VIEW 103,100103,KP,NULL,242,151
BROWNSVILLE 105,100105,KP,NULL,395,261
OLD FRONTIER 106,100106,KP,NULL,385,188
BREMERTON 107,100107,KP,NULL,0,0
BREMERTON 109,100109,KP,NULL,19,18
CHARLAND 110,100110,KP,NULL,226,139
ALPINE 111,100111,KP,NULL,246,152
HERITAGE PARK 112,100112,KP,NULL,220,141
COUNTRY CLUB 113,100113,KP,NULL,154,122
BREMERTON 114,100114,KP,NULL,0,0
CLEAR CREEK 120,100120,KP,NULL,266,173
BUCKLIN 121,100121,KP,NULL,302,220
LUOTO 122,100122,KP,NULL,188,83
COTTONWOOD 125,100125,KP,NULL,243,177
FOREST RIDGE 126,100126,KP,NULL,172,116
WOODMERE 127,100127,KP,NULL,328,231
CENTRAL VALLEY 128,100128,KP,NULL,303,215
WINSTON 129,100129,KP,NULL,125,85
ERLANDS POINT 130,100130,KP,NULL,199,142
REGAL 131,100131,KP,NULL,70,58
FAIRVIEW 135,100135,KP,NULL,189,103
FIRGLADE 137,100137,KP,NULL,184,126
TIBARDIS 139,100139,KP,NULL,128,92
GILBERTON 140,100140,KP,NULL,232,169
RIDGEPOINT 141,100141,KP,NULL,209,142
UNIVERSITY POINT 142,100142,KP,NULL,198,132
KARIOTIS 143,100143,KP,NULL,272,207
CAMBRIDGE 144,100144,KP,NULL,201,108
SPINNAKER 146,100146,KP,NULL,169,159
BARKER CREEK 147,100147,KP,NULL,337,226
SANTA FE 148,100148,KP,NULL,242,154
RIDGETOP 149,100149,KP,NULL,227,133
MEADOWDALE 150,100150,KP,NULL,247,117
SYMINGTON 151,100151,KP,NULL,160,103
PIONEER 152,100152,KP,NULL,374,231
LARSON 153,100153,KP,NULL,373,206
SEABECK 155,100155,KP,NULL,467,233
LOST HIGHWAY 157,100157,KP,NULL,344,172
HOLLY 158,100158,KP,NULL,80,52
BREMERTON 159,100159,KP,NULL,141,122
SILVERDALE 160,100160,KP,NULL,277,225
MORKEN 161,100161,KP,NULL,414,241
APEX 162,100162,KP,NULL,404,179
ANDERSON CREEK 163,100163,KP,NULL,284,135
EAGLE CREST 164,100164,KP,NULL,334,231
SUTTON 165,100165,KP,NULL,189,124
TRACYTON 170,100170,KP,NULL,210,134
VENA 173,100173,KP,NULL,222,196
FUSON 175,100175,KP,NULL,249,187
PORT ORCHARD 200,100200,KP,NULL,113,111
PORT ORCHARD 201,100201,KP,NULL,192,223
PORT ORCHARD 202,100202,KP,NULL,286,229
PORT ORCHARD 203,100203,KP,NULL,129,108
PORT ORCHARD 204,100204,KP,NULL,223,179
PORT ORCHARD 205,100205,KP,NULL,581,387
PORT ORCHARD 206,100206,KP,NULL,0,0
PORT ORCHARD 207,100207,KP,NULL,248,180
PORT ORCHARD 208,100208,KP,NULL,0,0
PORT ORCHARD 209,100209,KP,NULL,0,0
PORT ORCHARD 210,100210,KP,NULL,201,110
CEDAR 211,100211,KP,NULL,232,201
ANNAPOLIS 212,100212,KP,NULL,341,300
BRASCH 213,100213,KP,NULL,322,187
LAKE HELENA 214,100214,KP,NULL,284,151
PORT ORCHARD 215,100215,KP,NULL,0,0
MINTERBROOK 216,100216,KP,NULL,149,89
SPRING CREEK 217,100217,KP,NULL,202,160
BURLEY 218,100218,KP,NULL,307,233
HUNTER 219,100219,KP,NULL,264,141
ALASKA 221,100221,KP,NULL,304,301
WOODRIDGE 222,100222,KP,NULL,185,105
NEBRASKA 223,100223,KP,NULL,270,178
WHISPERING PINES 227,100227,KP,NULL,327,179
FERNWOOD 230,100230,KP,NULL,377,209
GLENWOOD 232,100232,KP,NULL,422,210
HARPER 240,100240,KP,NULL,212,239
YUKON 241,100241,KP,NULL,210,173
WILSON CREEK 242,100242,KP,NULL,254,176
LONG LAKE 245,100245,KP,NULL,194,150
LOCKER 246,100246,KP,NULL,382,270
EBBERT 247,100247,KP,NULL,308,222
LUNDBERG 250,100250,KP,NULL,274,214
CONVERSE 252,100252,KP,NULL,240,176
MANCHESTER 255,100255,KP,NULL,224,184
EVERGREEN 257,100257,KP,NULL,398,278
WILLOCK 258,100258,KP,NULL,262,173
FRAGARIA 259,100259,KP,NULL,260,198
MULLENIX 260,100260,KP,NULL,340,221
BANDIX 263,100263,KP,NULL,349,208
OLALLA 265,100265,KP,NULL,220,168
CRESCENT VALLEY 266,100266,KP,NULL,298,213
OVERLOOK 267,100267,KP,NULL,170,216
MADRONA 269,100269,KP,NULL,190,154
PARKWOOD 270,100270,KP,NULL,278,256
CONIFER 271,100271,KP,NULL,145,117
SEDGWICK 272,100272,KP,NULL,303,232
SINCLAIR 275,100275,KP,NULL,141,106
SHERMAN HEIGHTS 278,100278,KP,NULL,9,9
BERRY LAKE 279,100279,KP,NULL,182,133
BELFAIR VALLEY 280,100280,KP,NULL,103,67
SUNNYSLOPE 281,100281,KP,NULL,252,153
DICKENSON 282,100282,KP,NULL,296,188
DRIVE-IN 283,100283,KP,NULL,8,4
TWIN LAKES 285,100285,KP,NULL,87,54
LIGHTHOUSE POINT 292,100292,KP,NULL,284,236
BREMERTON 293(*),100293,KP,NULL,0,0
BREMERTON 294,100294,KP,NULL,0,0
