Row Label,PrecinctCode,County,Registered Voters,Richard Greenwood,FRANK BROWN
Total,-1,WL,NULL,10852,5210
Alderbrook 01,1,WL,NULL,130,89
Alder 02,2,WL,NULL,98,62
Ash 03,3,WL,NULL,252,122
Baumeister 04,4,WL,NULL,253,107
Birch 05,5,WL,NULL,145,76
Clark 06,6,WL,NULL,92,59
College 07,7,WL,NULL,176,57
Edison 08,8,WL,NULL,160,88
Garfield 09,9,WL,NULL,161,118
Green Park 10,10,WL,NULL,128,44
Henderson 11,11,WL,NULL,152,104
Isaacs 12,12,WL,NULL,114,65
Jefferson 13,13,WL,NULL,397,133
Maple 16,16,WL,NULL,379,123
Marcus 17,17,WL,NULL,473,159
Monroe 18,18,WL,NULL,439,157
Paine 20,20,WL,NULL,84,39
Pine 21,21,WL,NULL,90,73
Pleasant 22,22,WL,NULL,333,147
Sharpstein 23,23,WL,NULL,151,79
Spruce 24,24,WL,NULL,114,77
Stadium 25,25,WL,NULL,140,70
Tausick 26,26,WL,NULL,170,76
Wainwright 28,28,WL,NULL,248,145
Watertown 29,29,WL,NULL,169,63
Abbott 31,31,WL,NULL,221,71
Baker 33,33,WL,NULL,82,19
Ice Harbor 34,34,WL,NULL,174,159
Berney 35,35,WL,NULL,173,79
Blalock 36,36,WL,NULL,325,107
Braden 37,37,WL,NULL,353,113
Burbank 38,38,WL,NULL,233,190
Clyde 39,39,WL,NULL,12,17
Derry 40,40,WL,NULL,99,42
Dixie 41,41,WL,NULL,153,79
Eureka 5 42,42,WL,NULL,32,13
Eureka 4 43(*),43,WL,NULL,0,0
Frenchtown 5 44,44,WL,NULL,127,60
Frenchtown 4 45,45,WL,NULL,31,13
Garrison 46,46,WL,NULL,152,68
Gose 47,47,WL,NULL,85,15
Lincoln 49,49,WL,NULL,43,15
Mill Creek 50,50,WL,NULL,137,105
Moore 51,51,WL,NULL,166,58
Pros Point 52,52,WL,NULL,580,295
Ritz 53,53,WL,NULL,361,116
McNary 54,54,WL,NULL,84,122
Touchet 4 55,55,WL,NULL,213,87
Touchet 5 56(*),56,WL,NULL,0,0
Twin Grove 57,57,WL,NULL,163,60
Yellowhawk 58,58,WL,NULL,28,9
Wallula 59,59,WL,NULL,12,23
Washington 60,60,WL,NULL,89,44
CP 1 61,61,WL,NULL,267,163
CP 2 62,62,WL,NULL,218,98
CP 3 63,63,WL,NULL,292,135
Prescott 64,64,WL,NULL,46,32
Waitsburg 65,65,WL,NULL,237,174
CP 4 66,66,WL,NULL,321,152
CP 5 67,67,WL,NULL,258,114
CP 6 68,68,WL,NULL,34,28
