Row Label,PrecinctCode,County,Registered Voters,Kevin Van De Wege
Total,-1,CM,NULL,18253
PORT ANGELES 101,101,CM,NULL,249
PORT ANGELES 102,102,CM,NULL,447
PORT ANGELES 103,103,CM,NULL,440
PORT ANGELES 104,104,CM,NULL,327
PORT ANGELES 105,105,CM,NULL,412
PORT ANGELES 106,106,CM,NULL,314
PORT ANGELES 107,107,CM,NULL,455
PORT ANGELES 108,108,CM,NULL,227
PORT ANGELES 109,109,CM,NULL,525
PORT ANGELES 110,110,CM,NULL,97
PORT ANGELES 111,111,CM,NULL,486
PORT ANGELES 112,112,CM,NULL,253
PORT ANGELES 113,113,CM,NULL,248
AGNEW 201,201,CM,NULL,263
BEAVER 204,204,CM,NULL,193
BELLEVIEW 205,205,CM,NULL,360
BELL HILL 207,207,CM,NULL,312
BLACK DIAMOND 208,208,CM,NULL,208
BLUE MOUNTAIN 209,209,CM,NULL,326
BLUFFS 210,210,CM,NULL,189
BLYN 211,211,CM,NULL,291
BOGACHIEL 212,212,CM,NULL,91
CARLSBORG 214,214,CM,NULL,232
CLALLAM BAY 215,215,CM,NULL,175
CLARK 216,216,CM,NULL,133
CLINE 217,217,CM,NULL,363
COYOTE 218,218,CM,NULL,405
DEER PARK 220,220,CM,NULL,367
DIAMOND POINT 221,221,CM,NULL,327
DUNGENESS EAST 222,222,CM,NULL,388
DUNGENESS WEST 223,223,CM,NULL,189
DRY CREEK 224,224,CM,NULL,297
EAGLE 226,226,CM,NULL,256
ELK 229,229,CM,NULL,87
ELWHA 230,230,CM,NULL,98
FAIRVIEW 232,232,CM,NULL,335
FRESHWATER BAY 233,233,CM,NULL,408
HAPPY VALLEY 237,237,CM,NULL,158
JAMESTOWN 240,240,CM,NULL,241
JOYCE 241,241,CM,NULL,359
LOST MOUNTAIN 245,245,CM,NULL,188
MILLER PENINSULA 246,246,CM,NULL,188
MACLEAY 247,247,CM,NULL,334
MADISON CREEK 248,248,CM,NULL,124
MONTERRA 249,249,CM,NULL,335
MOUNT ANGELES 250,250,CM,NULL,212
MOUNT PLEASANT 251,251,CM,NULL,289
NEAH BAY 252,252,CM,NULL,187
OBRIEN 253,253,CM,NULL,259
OLYMPIC 254,254,CM,NULL,230
PORT WILLIAMS 258,258,CM,NULL,213
PRAIRIE NORTH 259,259,CM,NULL,301
PRAIRIE SOUTH 260,260,CM,NULL,308
QUILEUTE 262,262,CM,NULL,114
RIVERSIDE 265,265,CM,NULL,336
ROBIN HILL 266,266,CM,NULL,259
SUN 269,269,CM,NULL,98
SUNLAND NORTH 270,270,CM,NULL,362
SUNLAND SOUTH 271,271,CM,NULL,236
FORKS 301,301,CM,NULL,171
FORKS 302,302,CM,NULL,221
SEQUIM 401,401,CM,NULL,202
SEQUIM 402,402,CM,NULL,192
SEQUIM 403,403,CM,NULL,369
SEQUIM 404,404,CM,NULL,442
SEQUIM 405,405,CM,NULL,262
SEQUIM 406,406,CM,NULL,290
