Row Label,PrecinctCode,County,Registered Voters,Merle D. Jackson,Dwight E. Richter
Total,-1,CU,NULL,1001,812
ALTO,1,CU,NULL,32,31
COLUMBIA,2,CU,NULL,133,127
PING,3,CU,NULL,100,85
STAR,4,CU,NULL,68,41
STARBUCK COUNTRY,5,CU,NULL,10,16
TUCANNON,6,CU,NULL,30,34
BROOKLYN,101,CU,NULL,95,89
DAYTON,102,CU,NULL,115,94
MUSTARD,103,CU,NULL,109,73
PATIT,104,CU,NULL,88,79
RAINWATER,105,CU,NULL,79,60
STARBUCK CITY,106,CU,NULL,49,18
TOUCHET,107,CU,NULL,93,65
