Row Label,PrecinctCode,County,Registered Voters,Sam Meyer
Total,-1,TH,NULL,51006
Cougar Mountain,28,TH,NULL,47
Clear Lake,30,TH,NULL,340
Lackamas,31,TH,NULL,83
Morris,32,TH,NULL,235
Evergreen Ballroom,33,TH,NULL,284
Trails End,34,TH,NULL,399
Kaiser,35,TH,NULL,97
Rich,36,TH,NULL,159
Delta,38,TH,NULL,0
Jones Beach,39,TH,NULL,127
Simmons 9,42,TH,NULL,5
University North,43,TH,NULL,90
Steamboat Island,44,TH,NULL,179
Rocky Prairie,45,TH,NULL,142
Lawrence Lake,46,TH,NULL,263
Woodard Creek,47,TH,NULL,180
Michigan Hill,48,TH,NULL,99
Scott Lake South,49,TH,NULL,174
Salmon Creek,50,TH,NULL,138
Spurgeon Creek,51,TH,NULL,95
James,52,TH,NULL,178
Vail,53,TH,NULL,257
Rochester 5,54,TH,NULL,225
Rochester 4,55,TH,NULL,159
Medicine Creek,57,TH,NULL,107
Skokomish,58,TH,NULL,180
Pleasant Hill,59,TH,NULL,231
Smith Prairie,60,TH,NULL,257
Black River,62,TH,NULL,308
Ames,63,TH,NULL,185
Airport,64,TH,NULL,17
Luhr Beach,65,TH,NULL,243
Fish Trap,66,TH,NULL,167
Quince,67,TH,NULL,4
Simmons 2,68,TH,NULL,4
Simmons 3,69,TH,NULL,9
Simmons 4,70,TH,NULL,10
Pines,74,TH,NULL,177
Long Lake,75,TH,NULL,58
Hawk Acres,76,TH,NULL,137
Zenkner Valley,77,TH,NULL,51
Tri Lakes,78,TH,NULL,122
University South,79,TH,NULL,123
Tolmie,80,TH,NULL,95
Military,81,TH,NULL,87
Glen Terra,82,TH,NULL,77
Prine,83,TH,NULL,48
Glenwood,84,TH,NULL,82
Greenridge,86,TH,NULL,148
Woodland,88,TH,NULL,199
Tilley,89,TH,NULL,263
Sweet Briar,90,TH,NULL,294
Deerbrush,91,TH,NULL,255
Mushroom Corner,92,TH,NULL,227
Trailblazer,93,TH,NULL,88
Frye Cove,94,TH,NULL,227
Oyster Bay,95,TH,NULL,227
Summit Lake,96,TH,NULL,182
Delridge,97,TH,NULL,64
Marvin,98,TH,NULL,262
Alpine,99,TH,NULL,353
Hewitt Lake,100,TH,NULL,279
Zangle,101,TH,NULL,188
Boston Harbor,102,TH,NULL,257
Gull Harbor,103,TH,NULL,140
Friendly Grove,104,TH,NULL,113
South Bay,105,TH,NULL,261
Puget,106,TH,NULL,269
Bigelow,107,TH,NULL,184
Pleasant Glade,109,TH,NULL,131
Montgomery,110,TH,NULL,120
Nisqually,111,TH,NULL,176
Roosevelt,112,TH,NULL,255
Kinwood,113,TH,NULL,189
Mckinley,114,TH,NULL,73
Forest,115,TH,NULL,307
St Clair,116,TH,NULL,207
Hicks,117,TH,NULL,35
Fleetwood,118,TH,NULL,296
Lydia Hawk,119,TH,NULL,376
Hays,120,TH,NULL,165
Indian Summer,121,TH,NULL,261
Chambers,122,TH,NULL,347
Freedom,123,TH,NULL,280
Fristoe,124,TH,NULL,158
Deschutes,125,TH,NULL,240
Longmire,126,TH,NULL,148
Ruth Prairie,127,TH,NULL,104
Weir Prairie,128,TH,NULL,208
College,129,TH,NULL,34
Bald Hills,130,TH,NULL,55
Hunter Point,131,TH,NULL,133
Griffin,132,TH,NULL,203
Schneiders Prairie,133,TH,NULL,169
Cooper Point,134,TH,NULL,207
Butler Cove,135,TH,NULL,216
Broadway,136,TH,NULL,278
Plainview,139,TH,NULL,318
Mud Bay,140,TH,NULL,203
Mclane,141,TH,NULL,161
Bush Prairie,143,TH,NULL,55
Black Lake,144,TH,NULL,277
Delphi,145,TH,NULL,207
South Union,146,TH,NULL,267
Plumb,147,TH,NULL,240
Scatter Creek,148,TH,NULL,161
Mcintosh,149,TH,NULL,360
Violet Prairie,150,TH,NULL,243
Littlerock,151,TH,NULL,337
Rochester 1,153,TH,NULL,271
Rochester 2,154,TH,NULL,205
Scott Lake North,155,TH,NULL,96
Grand Mound,156,TH,NULL,109
Gibson Valley,157,TH,NULL,27
Skookumchuck,158,TH,NULL,216
Johnson Point,160,TH,NULL,267
Wards,161,TH,NULL,98
Thompson,162,TH,NULL,145
