Row Label,PrecinctCode,County,Registered Voters,Jeff Morris
Total,-1,WM,NULL,16467
159    ,159,WM,NULL,75
160    ,160,WM,NULL,336
161    ,161,WM,NULL,226
162    ,162,WM,NULL,248
163    ,163,WM,NULL,291
164    ,164,WM,NULL,97
168    ,168,WM,NULL,350
169    ,169,WM,NULL,468
170    ,170,WM,NULL,242
171    ,171,WM,NULL,389
172    ,172,WM,NULL,218
173    ,173,WM,NULL,261
174    ,174,WM,NULL,263
175    ,175,WM,NULL,344
176    ,176,WM,NULL,250
177    ,177,WM,NULL,232
178    ,178,WM,NULL,349
179    ,179,WM,NULL,86
180    ,180,WM,NULL,327
181    ,181,WM,NULL,412
182    ,182,WM,NULL,394
226,226,WM,NULL,185
228,228,WM,NULL,332
230,230,WM,NULL,195
231,231,WM,NULL,328
232,232,WM,NULL,327
235,235,WM,NULL,200
236,236,WM,NULL,130
237,237,WM,NULL,189
238,238,WM,NULL,244
239,239,WM,NULL,408
240,240,WM,NULL,383
241,241,WM,NULL,255
242,242,WM,NULL,228
243,243,WM,NULL,346
244,244,WM,NULL,396
245,245,WM,NULL,180
246,246,WM,NULL,288
247,247,WM,NULL,252
248    ,248,WM,NULL,202
249    ,249,WM,NULL,363
250    ,250,WM,NULL,515
251    ,251,WM,NULL,360
252    ,252,WM,NULL,68
253    ,253,WM,NULL,259
254    ,254,WM,NULL,288
255    ,255,WM,NULL,209
256    ,256,WM,NULL,405
257    ,257,WM,NULL,212
258    ,258,WM,NULL,393
259    ,259,WM,NULL,223
260    ,260,WM,NULL,256
261    ,261,WM,NULL,333
262    ,262,WM,NULL,322
263    ,263,WM,NULL,314
264    ,264,WM,NULL,359
265    ,265,WM,NULL,285
266    ,266,WM,NULL,377
