Row Label,PrecinctCode,County,Registered Voters,Mary E. Fairhurst
Total,-1,CZ,NULL,19163
Alabama,1,CZ,NULL,218
Ammons,2,CZ,NULL,204
Arkansas,3,CZ,NULL,127
Bakers,4,CZ,NULL,12
Baltimore,5,CZ,NULL,318
Beacon,6,CZ,NULL,402
Boondox,7,CZ,NULL,11
Brynion,8,CZ,NULL,224
Burcham,9,CZ,NULL,518
Caples,10,CZ,NULL,105
Carrolls,11,CZ,NULL,291
Castle Rock,12,CZ,NULL,390
Chinook,13,CZ,NULL,327
Cloverdale,14,CZ,NULL,242
Coal Creek,15,CZ,NULL,368
Columbia Heights,16,CZ,NULL,180
Columbia Valley Gdns,17,CZ,NULL,218
Crawford,18,CZ,NULL,300
Delameter,19,CZ,NULL,261
Douglas,20,CZ,NULL,235
Elk Ridge,21,CZ,NULL,3
Harris,22,CZ,NULL,273
Haussler,23,CZ,NULL,208
Hillcrest,24,CZ,NULL,504
Hudson,25,CZ,NULL,350
Industrial,26,CZ,NULL,0
Kalama North,27,CZ,NULL,245
Kalama South,28,CZ,NULL,318
Kessler,29,CZ,NULL,379
Lake,30,CZ,NULL,273
Laurel,31,CZ,NULL,357
Lewis River,32,CZ,NULL,367
Lexington,33,CZ,NULL,294
Lone Oak,34,CZ,NULL,161
Magnolia,35,CZ,NULL,461
Marigold,36,CZ,NULL,431
McGowan,37,CZ,NULL,65
Memorial,38,CZ,NULL,209
Mill,39,CZ,NULL,403
Mint Valley,40,CZ,NULL,474
Modrow,41,CZ,NULL,247
Mt. Solo,42,CZ,NULL,90
Nevada,43,CZ,NULL,267
Ocean Beach,44,CZ,NULL,279
Olson,45,CZ,NULL,202
Ostrander,46,CZ,NULL,320
Owl Creek,47,CZ,NULL,365
Pacific,48,CZ,NULL,338
Ponderosa,49,CZ,NULL,264
Powell,50,CZ,NULL,279
Redpath,51,CZ,NULL,245
Ridgecrest,52,CZ,NULL,21
Robbins,53,CZ,NULL,422
Rose Valley,54,CZ,NULL,195
Ryderwood,55,CZ,NULL,139
Sacajawea,56,CZ,NULL,550
Sandy Bend,57,CZ,NULL,272
Silver Lake,58,CZ,NULL,473
Sparks,59,CZ,NULL,182
St. Helens,60,CZ,NULL,153
Stella,61,CZ,NULL,267
Toutle,62,CZ,NULL,375
Tower,63,CZ,NULL,435
Tunstall,64,CZ,NULL,106
View,65,CZ,NULL,205
West Kelso,66,CZ,NULL,99
Willow Grove,67,CZ,NULL,88
Windemere,68,CZ,NULL,423
Woodage,69,CZ,NULL,210
Woodland North,70,CZ,NULL,382
Woodland South,71,CZ,NULL,327
Yale,72,CZ,NULL,217
