Row Label,PrecinctCode,County,Registered Voters,Cathy McMorris Rodgers,Joseph (Joe) Pakootas
Total,-1,WT,NULL,6688,4685
TEKOA IN,31,WT,NULL,166,72
OAKESDALE IN,32,WT,NULL,147,49
FARMINGTON IN,33,WT,NULL,56,23
GARFIELD IN,34,WT,NULL,136,71
COLTON IN,35,WT,NULL,136,53
UNIONTOWN IN,36,WT,NULL,73,39
ALBION IN,37,WT,NULL,100,84
LACROSSE IN,42,WT,NULL,109,38
ENDICOTT IN,43,WT,NULL,91,38
LAMONT IN,44,WT,NULL,17,6
ST JOHN IN,45,WT,NULL,184,56
MALDEN IN,46,WT,NULL,37,24
ROSALIA IN,47,WT,NULL,156,72
TEKOA 101,101,WT,NULL,50,13
OAKESDALE 102,102,WT,NULL,89,20
FARMINGTON 103,103,WT,NULL,28,9
STEPTOE 104,104,WT,NULL,87,29
GARFIELD 105,105,WT,NULL,86,23
PALOUSE RURAL 106,106,WT,NULL,140,77
PALOUSE 107,107,WT,NULL,200,196
COLTON 108,108,WT,NULL,89,26
UNIONTOWN 109,109,WT,NULL,55,11
PULLMAN RURAL 110,110,WT,NULL,304,167
PULLMAN RURAL 111,111,WT,NULL,88,49
ALBION 112,112,WT,NULL,71,54
PULLMAN CITY 113,113,WT,NULL,80,115
PULLMAN CITY 114,114,WT,NULL,15,26
PULLMAN CITY 115,115,WT,NULL,5,6
PULLMAN CITY 116,116,WT,NULL,259,280
PULLMAN CITY 117,117,WT,NULL,105,78
PULLMAN CITY 118,118,WT,NULL,155,228
PULLMAN CITY 119,119,WT,NULL,113,227
PULLMAN CITY 120,120,WT,NULL,386,389
PULLMAN CITY 121,121,WT,NULL,94,112
PULLMAN CITY 122,122,WT,NULL,54,118
PULLMAN CITY 123,123,WT,NULL,116,217
PULLMAN CITY 124,124,WT,NULL,12,29
PULLMAN CITY 125,125,WT,NULL,9,15
PULLMAN CITY 126,126,WT,NULL,9,25
PULLMAN CITY 127,127,WT,NULL,17,31
PULLMAN CITY 128,128,WT,NULL,29,45
PULLMAN CITY 129,129,WT,NULL,44,55
PULLMAN CITY 130,130,WT,NULL,27,70
PULLMAN CITY 131,131,WT,NULL,2,2
PULLMAN CITY 132,132,WT,NULL,0,0
PULLMAN CITY 133(*),133,WT,NULL,0,0
PULLMAN CITY 134,134,WT,NULL,12,23
PULLMAN CITY 135,135,WT,NULL,101,207
COLFAX RURAL 136,136,WT,NULL,130,42
COLFAX RURAL 137,137,WT,NULL,235,50
WILCOX 138,138,WT,NULL,117,18
COLFAX CITY 139,139,WT,NULL,181,78
COLFAX CITY 140,140,WT,NULL,171,69
COLFAX CITY 141,141,WT,NULL,149,48
COLFAX CITY 142,142,WT,NULL,261,100
DUSTY 143,143,WT,NULL,50,5
HAY 144(*),144,WT,NULL,0,0
HOOPER 145(*),145,WT,NULL,0,0
LACROSSE 146,146,WT,NULL,73,12
ENDICOTT 147,147,WT,NULL,105,22
LAMONT 148,148,WT,NULL,45,5
ST JOHN 149,149,WT,NULL,190,42
MALDEN 150,150,WT,NULL,9,2
ROSALIA 151,151,WT,NULL,68,12
THORNTON 152,152,WT,NULL,43,17
PULLMAN 218,218,WT,NULL,210,208
PULLMAN 228,228,WT,NULL,14,20
PULLMAN 234,234,WT,NULL,47,43
PULLMAN 235,235,WT,NULL,206,292
