Row Label,PrecinctCode,County,Registered Voters,Dave Hayes,Nick Petrish
Total,-1,SK,NULL,7019,5181
ALLEN,103,SK,NULL,147,49
BIG LAKE,110,SK,NULL,361,204
CEDARDALE,115,SK,NULL,98,50
COUNTRY CLUB,117,SK,NULL,126,58
CONWAY,118,SK,NULL,85,98
DEWEY,119,SK,NULL,433,349
DIGBY,120,SK,NULL,33,5
DODGE VALLEY,121,SK,NULL,83,103
FIR,124,SK,NULL,97,81
HARMONY,129,SK,NULL,161,108
LAKE SIXTEEN,130,SK,NULL,147,66
MCMURRAY WEST,136,SK,NULL,106,105
MCMURRAY EAST,138,SK,NULL,57,45
MONTBORNE,140,SK,NULL,329,212
SKYRIDGE,144,SK,NULL,232,160
RIDGEWAY,147,SK,NULL,158,133
SHELTER BAY,149,SK,NULL,298,210
SNEE OOSH,150,SK,NULL,162,197
SWINOMISH,153,SK,NULL,236,213
VEDERE,156,SK,NULL,172,113
WHITNEY,157,SK,NULL,85,83
ROSARIO,158,SK,NULL,370,279
TERRACE,159,SK,NULL,436,228
STARBIRD,160,SK,NULL,266,108
GAGES,165,SK,NULL,69,33
LAKE CAVANAUGH,171,SK,NULL,96,38
LITTLE MOUNTAIN,172,SK,NULL,125,81
FREDONIA,176,SK,NULL,55,32
MOUNT VERNON  7,307,SK,NULL,180,245
MOUNT VERNON  8,308,SK,NULL,400,316
MOUNT VERNON  9,309,SK,NULL,124,102
MOUNT VERNON 10,310,SK,NULL,117,99
MOUNT VERNON 11,311,SK,NULL,208,175
MOUNT VERNON 12,312,SK,NULL,100,88
MOUNT VERNON 16,316,SK,NULL,330,230
MOUNT VERNON 27,327,SK,NULL,76,50
MOUNT VERNON 30,330,SK,NULL,299,202
LA CONNER,801,SK,NULL,162,233
