Row Label,PrecinctCode,County,Registered Voters,Terri Miller
Total,-1,PE,NULL,3408
Camden,1,PE,NULL,88
Cusick,2,PE,NULL,85
Dalkena,3,PE,NULL,214
Diamond Lk East,4,PE,NULL,89
Fertile Valley North,5,PE,NULL,98
Furport,6,PE,NULL,168
Ione East,7,PE,NULL,118
Ione West,8,PE,NULL,131
Metaline,9,PE,NULL,64
Metaline Falls,10,PE,NULL,115
Tiger Dry Canyon,11,PE,NULL,211
Newport NE,12,PE,NULL,186
Newport SE,13,PE,NULL,87
Newport NW,14,PE,NULL,172
Newport SW,15,PE,NULL,137
Noble,16,PE,NULL,231
Ruby,17,PE,NULL,22
Sacheen,18,PE,NULL,182
Usk,19,PE,NULL,129
Diamond Lk West,20,PE,NULL,116
Deer Valley North,21,PE,NULL,140
Locke,22,PE,NULL,29
Kalispel Leclerc,23,PE,NULL,113
Skookum,24,PE,NULL,46
Deer Valley South,25,PE,NULL,58
Fertile Valley South,26,PE,NULL,100
Diamond Lk,27,PE,NULL,279
