Row Label,PrecinctCode,County,Registered Voters,Lisa Worswick
Total,-1,PI,NULL,141581
02-101,2101,PI,NULL,126
02-105,2105,PI,NULL,130
02-106,2106,PI,NULL,377
02-110,2110,PI,NULL,205
02-111,2111,PI,NULL,283
02-112,2112,PI,NULL,202
02-113,2113,PI,NULL,246
02-114,2114,PI,NULL,176
02-115,2115,PI,NULL,284
02-116,2116,PI,NULL,362
02-117,2117,PI,NULL,361
02-118,2118,PI,NULL,229
02-119,2119,PI,NULL,220
02-120,2120,PI,NULL,297
02-121,2121,PI,NULL,355
02-122,2122,PI,NULL,376
02-123,2123,PI,NULL,370
02-124,2124,PI,NULL,299
02-125,2125,PI,NULL,273
02-126,2126,PI,NULL,357
02-127,2127,PI,NULL,217
02-128,2128,PI,NULL,374
02-129,2129,PI,NULL,213
02-130,2130,PI,NULL,188
02-131,2131,PI,NULL,406
02-133,2133,PI,NULL,98
02-134,2134,PI,NULL,394
02-135,2135,PI,NULL,367
02-136,2136,PI,NULL,60
02-137,2137,PI,NULL,174
02-138,2138,PI,NULL,427
02-139,2139,PI,NULL,331
02-140,2140,PI,NULL,386
02-141,2141,PI,NULL,348
02-142,2142,PI,NULL,245
02-143,2143,PI,NULL,260
02-144,2144,PI,NULL,320
02-145,2145,PI,NULL,355
02-146,2146,PI,NULL,273
02-147,2147,PI,NULL,268
02-148,2148,PI,NULL,363
02-149,2149,PI,NULL,403
02-150,2150,PI,NULL,296
02-151,2151,PI,NULL,115
02-152,2152,PI,NULL,345
02-153,2153,PI,NULL,275
02-154,2154,PI,NULL,265
02-155,2155,PI,NULL,344
02-156,2156,PI,NULL,426
02-157,2157,PI,NULL,415
02-158,2158,PI,NULL,285
02-159,2159,PI,NULL,204
25-201,25201,PI,NULL,446
25-202,25202,PI,NULL,358
25-203,25203,PI,NULL,425
25-204,25204,PI,NULL,363
25-205,25205,PI,NULL,406
25-206,25206,PI,NULL,263
25-208,25208,PI,NULL,441
25-209,25209,PI,NULL,428
25-210,25210,PI,NULL,507
25-211,25211,PI,NULL,380
25-212,25212,PI,NULL,412
25-213,25213,PI,NULL,461
25-215,25215,PI,NULL,391
25-216,25216,PI,NULL,267
25-217,25217,PI,NULL,442
25-218,25218,PI,NULL,412
25-219,25219,PI,NULL,417
25-220,25220,PI,NULL,2
25-221,25221,PI,NULL,373
25-222,25222,PI,NULL,299
25-226,25226,PI,NULL,272
25-227,25227,PI,NULL,210
25-228,25228,PI,NULL,385
25-230,25230,PI,NULL,103
25-235,25235,PI,NULL,14
25-236,25236,PI,NULL,305
25-237,25237,PI,NULL,0
25-238,25238,PI,NULL,218
25-239,25239,PI,NULL,379
25-240,25240,PI,NULL,162
25-241,25241,PI,NULL,204
25-242,25242,PI,NULL,417
25-243,25243,PI,NULL,310
25-244,25244,PI,NULL,458
25-245,25245,PI,NULL,2
25-246,25246,PI,NULL,37
25-247,25247,PI,NULL,350
25-248,25248,PI,NULL,445
25-249,25249,PI,NULL,391
25-250,25250,PI,NULL,162
25-251,25251,PI,NULL,340
25-252,25252,PI,NULL,342
25-253,25253,PI,NULL,236
25-254,25254,PI,NULL,224
25-255,25255,PI,NULL,243
25-256,25256,PI,NULL,349
25-257,25257,PI,NULL,340
25-258,25258,PI,NULL,387
25-259,25259,PI,NULL,376
25-260,25260,PI,NULL,386
25-261,25261,PI,NULL,282
25-262,25262,PI,NULL,356
25-263,25263,PI,NULL,315
25-264,25264,PI,NULL,419
25-265,25265,PI,NULL,398
25-266,25266,PI,NULL,422
25-267,25267,PI,NULL,187
25-268,25268,PI,NULL,206
25-269,25269,PI,NULL,246
25-270,25270,PI,NULL,382
25-271,25271,PI,NULL,364
25-272,25272,PI,NULL,366
25-273,25273,PI,NULL,254
25-274,25274,PI,NULL,483
25-275,25275,PI,NULL,0
25-276,25276,PI,NULL,18
25-277,25277,PI,NULL,379
25-278,25278,PI,NULL,134
25-279,25279,PI,NULL,324
25-280,25280,PI,NULL,407
