Row Label,PrecinctCode,County,Registered Voters,Rea L. Culwell,Randell O. Lewis
Total,-1,CU,NULL,1018,768
ALTO,1,CU,NULL,25,34
COLUMBIA,2,CU,NULL,144,111
PING,3,CU,NULL,105,73
STAR,4,CU,NULL,63,47
STARBUCK COUNTRY,5,CU,NULL,9,15
TUCANNON,6,CU,NULL,27,37
BROOKLYN,101,CU,NULL,104,82
DAYTON,102,CU,NULL,134,69
MUSTARD,103,CU,NULL,100,74
PATIT,104,CU,NULL,95,69
RAINWATER,105,CU,NULL,80,61
STARBUCK CITY,106,CU,NULL,27,42
TOUCHET,107,CU,NULL,105,54
