Row Label,PrecinctCode,County,Registered Voters,Suzan DelBene,Pedro Celis
Total,-1,KI,NULL,8292,5973
Total,-1,KI,NULL,8292,5973
ALDER,101,SK,NULL,133,108
SAUK,107,SK,NULL,260,157
BIG LAKE,110,SK,NULL,293,281
BIRDSVIEW,111,SK,NULL,231,198
CASCADE,114,SK,NULL,65,27
CEDARDALE,115,SK,NULL,72,79
CLEAR LAKE,116,SK,NULL,216,209
DIGBY,120,SK,NULL,11,27
HAMBURG,128,SK,NULL,112,76
MANSFORD,133,SK,NULL,43,28
MAPES,134,SK,NULL,91,64
MCMURRAY EAST,138,SK,NULL,51,52
MINKLER,139,SK,NULL,164,131
MONTBORNE,140,SK,NULL,289,265
NOOKACHAMPS,141,SK,NULL,143,103
SKYRIDGE,144,SK,NULL,223,175
PRAIRIE,145,SK,NULL,193,244
ROCKPORT,148,SK,NULL,227,130
STERLING,151,SK,NULL,62,61
TINGLEY,154,SK,NULL,112,115
VAN FLEET(*),155,SK,NULL,0,0
VIEW TERRACE(*),170,SK,NULL,0,0
LAKE CAVANAUGH,171,SK,NULL,51,84
MOUNT VERNON  1,301,SK,NULL,103,66
MOUNT VERNON  2,302,SK,NULL,120,70
MOUNT VERNON  3,303,SK,NULL,247,124
MOUNT VERNON  4,304,SK,NULL,356,236
MOUNT VERNON  5,305,SK,NULL,74,36
MOUNT VERNON  6,306,SK,NULL,240,88
MOUNT VERNON  7,307,SK,NULL,328,119
MOUNT VERNON  8,308,SK,NULL,453,281
MOUNT VERNON  9,309,SK,NULL,135,88
MOUNT VERNON 10,310,SK,NULL,134,85
MOUNT VERNON 11,311,SK,NULL,245,149
MOUNT VERNON 12,312,SK,NULL,124,71
MOUNT VERNON 14,314,SK,NULL,349,181
MOUNT VERNON 15,315,SK,NULL,170,97
MOUNT VERNON 16,316,SK,NULL,332,244
MOUNT VERNON 19,319,SK,NULL,277,197
MOUNT VERNON 21,321,SK,NULL,422,260
MOUNT VERNON 22,322,SK,NULL,405,361
MOUNT VERNON 27,327,SK,NULL,80,48
MOUNT VERNON 30,330,SK,NULL,268,239
CONCRETE,601,SK,NULL,105,70
HAMILTON,701,SK,NULL,37,20
LYMAN,855,SK,NULL,56,51
