Row Label,PrecinctCode,County,Registered Voters,Jon Tunheim
Total,-1,TH,NULL,53433
Cougar Mountain,28,TH,NULL,55
Clear Lake,30,TH,NULL,344
Lackamas,31,TH,NULL,91
Morris,32,TH,NULL,240
Evergreen Ballroom,33,TH,NULL,280
Trails End,34,TH,NULL,408
Kaiser,35,TH,NULL,109
Rich,36,TH,NULL,171
Delta,38,TH,NULL,0
Jones Beach,39,TH,NULL,132
Simmons 9,42,TH,NULL,5
University North,43,TH,NULL,84
Steamboat Island,44,TH,NULL,198
Rocky Prairie,45,TH,NULL,143
Lawrence Lake,46,TH,NULL,273
Woodard Creek,47,TH,NULL,188
Michigan Hill,48,TH,NULL,109
Scott Lake South,49,TH,NULL,179
Salmon Creek,50,TH,NULL,137
Spurgeon Creek,51,TH,NULL,95
James,52,TH,NULL,178
Vail,53,TH,NULL,265
Rochester 5,54,TH,NULL,227
Rochester 4,55,TH,NULL,164
Medicine Creek,57,TH,NULL,103
Skokomish,58,TH,NULL,189
Pleasant Hill,59,TH,NULL,238
Smith Prairie,60,TH,NULL,243
Black River,62,TH,NULL,326
Ames,63,TH,NULL,202
Airport,64,TH,NULL,17
Luhr Beach,65,TH,NULL,242
Fish Trap,66,TH,NULL,182
Quince,67,TH,NULL,4
Simmons 2,68,TH,NULL,4
Simmons 3,69,TH,NULL,10
Simmons 4,70,TH,NULL,11
Pines,74,TH,NULL,179
Long Lake,75,TH,NULL,62
Hawk Acres,76,TH,NULL,145
Zenkner Valley,77,TH,NULL,50
Tri Lakes,78,TH,NULL,131
University South,79,TH,NULL,121
Tolmie,80,TH,NULL,91
Military,81,TH,NULL,94
Glen Terra,82,TH,NULL,72
Prine,83,TH,NULL,44
Glenwood,84,TH,NULL,86
Greenridge,86,TH,NULL,154
Woodland,88,TH,NULL,193
Tilley,89,TH,NULL,264
Sweet Briar,90,TH,NULL,325
Deerbrush,91,TH,NULL,260
Mushroom Corner,92,TH,NULL,229
Trailblazer,93,TH,NULL,92
Frye Cove,94,TH,NULL,262
Oyster Bay,95,TH,NULL,255
Summit Lake,96,TH,NULL,180
Delridge,97,TH,NULL,59
Marvin,98,TH,NULL,261
Alpine,99,TH,NULL,379
Hewitt Lake,100,TH,NULL,290
Zangle,101,TH,NULL,201
Boston Harbor,102,TH,NULL,291
Gull Harbor,103,TH,NULL,155
Friendly Grove,104,TH,NULL,123
South Bay,105,TH,NULL,250
Puget,106,TH,NULL,281
Bigelow,107,TH,NULL,204
Pleasant Glade,109,TH,NULL,138
Montgomery,110,TH,NULL,126
Nisqually,111,TH,NULL,189
Roosevelt,112,TH,NULL,267
Kinwood,113,TH,NULL,198
Mckinley,114,TH,NULL,73
Forest,115,TH,NULL,322
St Clair,116,TH,NULL,205
Hicks,117,TH,NULL,39
Fleetwood,118,TH,NULL,305
Lydia Hawk,119,TH,NULL,373
Hays,120,TH,NULL,175
Indian Summer,121,TH,NULL,258
Chambers,122,TH,NULL,361
Freedom,123,TH,NULL,304
Fristoe,124,TH,NULL,154
Deschutes,125,TH,NULL,252
Longmire,126,TH,NULL,147
Ruth Prairie,127,TH,NULL,107
Weir Prairie,128,TH,NULL,207
College,129,TH,NULL,36
Bald Hills,130,TH,NULL,70
Hunter Point,131,TH,NULL,150
Griffin,132,TH,NULL,207
Schneiders Prairie,133,TH,NULL,196
Cooper Point,134,TH,NULL,218
Butler Cove,135,TH,NULL,215
Broadway,136,TH,NULL,306
Plainview,139,TH,NULL,354
Mud Bay,140,TH,NULL,215
Mclane,141,TH,NULL,176
Bush Prairie,143,TH,NULL,59
Black Lake,144,TH,NULL,289
Delphi,145,TH,NULL,227
South Union,146,TH,NULL,291
Plumb,147,TH,NULL,243
Scatter Creek,148,TH,NULL,161
Mcintosh,149,TH,NULL,380
Violet Prairie,150,TH,NULL,253
Littlerock,151,TH,NULL,342
Rochester 1,153,TH,NULL,269
Rochester 2,154,TH,NULL,204
Scott Lake North,155,TH,NULL,99
Grand Mound,156,TH,NULL,100
Gibson Valley,157,TH,NULL,23
Skookumchuck,158,TH,NULL,221
Johnson Point,160,TH,NULL,275
Wards,161,TH,NULL,108
Thompson,162,TH,NULL,149
Smith Lake,163,TH,NULL,218
Evergreen Shores,164,TH,NULL,189
Sunwood Lakes,165,TH,NULL,341
Eaton Creek,166,TH,NULL,134
Hawks Ridge,167,TH,NULL,99
Holmes,168,TH,NULL,197
Mcallister Creek,169,TH,NULL,198
Rochester 3,170,TH,NULL,211
Waddell Creek,171,TH,NULL,187
Tykle Cove,172,TH,NULL,224
Camelot,173,TH,NULL,144
French,174,TH,NULL,247
Sunset Beach,175,TH,NULL,276
Henderson,176,TH,NULL,314
Pattison,178,TH,NULL,235
Four Corners,179,TH,NULL,331
Stedman,180,TH,NULL,142
Munn Lake,182,TH,NULL,135
Beach Crest,183,TH,NULL,177
Scheller,184,TH,NULL,95
Fair Oaks,185,TH,NULL,170
Wilderness,186,TH,NULL,310
Mullen,187,TH,NULL,257
Sleater Kinney,189,TH,NULL,201
Lakeside,190,TH,NULL,119
Gallagher Cove,191,TH,NULL,357
East Olympia,192,TH,NULL,210
Berry Valley,193,TH,NULL,183
Hartwood,194,TH,NULL,360
Libby,195,TH,NULL,190
Meadows,196,TH,NULL,174
Summerset,197,TH,NULL,355
Henness,198,TH,NULL,323
Beaver Creek,199,TH,NULL,396
Olympia 01,201,TH,NULL,211
Olympia 02,202,TH,NULL,217
Olympia 03,203,TH,NULL,227
Olympia 04,204,TH,NULL,208
Olympia 05,205,TH,NULL,202
Olympia 06,206,TH,NULL,355
Olympia 07,207,TH,NULL,131
Olympia 08,208,TH,NULL,205
Olympia 09,209,TH,NULL,380
Olympia 10,210,TH,NULL,241
Olympia 11,211,TH,NULL,188
Olympia 12,212,TH,NULL,125
Olympia 13,213,TH,NULL,223
Olympia 14,214,TH,NULL,217
Olympia 15,215,TH,NULL,167
Olympia 16,216,TH,NULL,44
Olympia 17,217,TH,NULL,156
Olympia 18,218,TH,NULL,198
Olympia 19,219,TH,NULL,200
Olympia 20,220,TH,NULL,107
Olympia 21,221,TH,NULL,310
Olympia 23,223,TH,NULL,244
Olympia 24,224,TH,NULL,203
Olympia 25,225,TH,NULL,166
Olympia 26,226,TH,NULL,190
Olympia 27,227,TH,NULL,109
Olympia 28,228,TH,NULL,226
Olympia 29,229,TH,NULL,240
Olympia 30,230,TH,NULL,189
Olympia 31,231,TH,NULL,174
Olympia 32,232,TH,NULL,274
Olympia 35,235,TH,NULL,410
Olympia 36,236,TH,NULL,85
Olympia 37,237,TH,NULL,142
Olympia 38,238,TH,NULL,62
Olympia 39,239,TH,NULL,207
Olympia 40,240,TH,NULL,192
Olympia 41,241,TH,NULL,210
Olympia 42,242,TH,NULL,141
Olympia 43,243,TH,NULL,247
Olympia 44,244,TH,NULL,120
Olympia 45,245,TH,NULL,142
Olympia 46,246,TH,NULL,207
Olympia 47,247,TH,NULL,262
Olympia 48,248,TH,NULL,261
Olympia 49,249,TH,NULL,240
Olympia 50,250,TH,NULL,181
Olympia 51,251,TH,NULL,44
Olympia 52,252,TH,NULL,125
Olympia 53,253,TH,NULL,206
Olympia 54,254,TH,NULL,141
Olympia 55,255,TH,NULL,120
Olympia 56,256,TH,NULL,205
Olympia 57,257,TH,NULL,108
Olympia 58,258,TH,NULL,221
Olympia 59,259,TH,NULL,188
Olympia 60,260,TH,NULL,144
Lacey 01,301,TH,NULL,93
Lacey 02,302,TH,NULL,156
Lacey 03,303,TH,NULL,180
Lacey 04,304,TH,NULL,106
Lacey 05,305,TH,NULL,128
Lacey 06,306,TH,NULL,84
Lacey 07,307,TH,NULL,169
Lacey 08,308,TH,NULL,129
Lacey 09,309,TH,NULL,117
Lacey 10,310,TH,NULL,270
Lacey 11,311,TH,NULL,216
Lacey 13,313,TH,NULL,115
Lacey 14,314,TH,NULL,80
Lacey 15,315,TH,NULL,196
Lacey 16,316,TH,NULL,210
Lacey 17,317,TH,NULL,208
Lacey 18,318,TH,NULL,235
Lacey 19,319,TH,NULL,141
Lacey 20,320,TH,NULL,80
Lacey 21,321,TH,NULL,107
Lacey 22,322,TH,NULL,148
Lacey 23,323,TH,NULL,91
Lacey 24,324,TH,NULL,273
Lacey 27,327,TH,NULL,187
Lacey 28,328,TH,NULL,124
Lacey 29,329,TH,NULL,258
Lacey 30,330,TH,NULL,296
Lacey 31,331,TH,NULL,160
Lacey 32,332,TH,NULL,230
Lacey 33,333,TH,NULL,114
Lacey 34,334,TH,NULL,127
Lacey 35,335,TH,NULL,83
Lacey 36,336,TH,NULL,131
Lacey 37,337,TH,NULL,69
Lacey 39,339,TH,NULL,352
Lacey 40,340,TH,NULL,264
Lacey 41,341,TH,NULL,196
Lacey 42,342,TH,NULL,71
Lacey 43,343,TH,NULL,257
Lacey 44,344,TH,NULL,95
Lacey 45,345,TH,NULL,113
Lacey 46,346,TH,NULL,477
Lacey 47,347,TH,NULL,365
Lacey 48,348,TH,NULL,140
Lacey 49,349,TH,NULL,126
Tumwater 01,401,TH,NULL,166
Tumwater 02,402,TH,NULL,227
Tumwater 03,403,TH,NULL,245
Tumwater 04,404,TH,NULL,151
Tumwater 05,405,TH,NULL,155
Tumwater 06,406,TH,NULL,364
Tumwater 07,407,TH,NULL,173
Tumwater 08,408,TH,NULL,252
Tumwater 09,409,TH,NULL,144
Tumwater 10,410,TH,NULL,292
Tumwater 11,411,TH,NULL,286
Tumwater 12,412,TH,NULL,227
Tumwater 13,413,TH,NULL,91
Tumwater 14,414,TH,NULL,108
Tumwater 15,415,TH,NULL,253
Tumwater 24,424,TH,NULL,162
Tumwater 27,427,TH,NULL,214
Tumwater 28,428,TH,NULL,296
