Row Label,PrecinctCode,County,Registered Voters,Terry McLaughlin
Total,-1,CZ,NULL,20397
Alabama,1,CZ,NULL,222
Ammons,2,CZ,NULL,222
Arkansas,3,CZ,NULL,140
Bakers,4,CZ,NULL,14
Baltimore,5,CZ,NULL,349
Beacon,6,CZ,NULL,438
Boondox,7,CZ,NULL,12
Brynion,8,CZ,NULL,250
Burcham,9,CZ,NULL,550
Caples,10,CZ,NULL,106
Carrolls,11,CZ,NULL,312
Castle Rock,12,CZ,NULL,419
Chinook,13,CZ,NULL,359
Cloverdale,14,CZ,NULL,238
Coal Creek,15,CZ,NULL,401
Columbia Heights,16,CZ,NULL,184
Columbia Valley Gdns,17,CZ,NULL,232
Crawford,18,CZ,NULL,310
Delameter,19,CZ,NULL,277
Douglas,20,CZ,NULL,249
Elk Ridge,21,CZ,NULL,4
Harris,22,CZ,NULL,288
Haussler,23,CZ,NULL,216
Hillcrest,24,CZ,NULL,538
Hudson,25,CZ,NULL,378
Industrial,26,CZ,NULL,0
Kalama North,27,CZ,NULL,264
Kalama South,28,CZ,NULL,344
Kessler,29,CZ,NULL,421
Lake,30,CZ,NULL,305
Laurel,31,CZ,NULL,398
Lewis River,32,CZ,NULL,371
Lexington,33,CZ,NULL,308
Lone Oak,34,CZ,NULL,188
Magnolia,35,CZ,NULL,519
Marigold,36,CZ,NULL,446
McGowan,37,CZ,NULL,67
Memorial,38,CZ,NULL,216
Mill,39,CZ,NULL,409
Mint Valley,40,CZ,NULL,501
Modrow,41,CZ,NULL,266
Mt. Solo,42,CZ,NULL,94
Nevada,43,CZ,NULL,293
Ocean Beach,44,CZ,NULL,302
Olson,45,CZ,NULL,210
Ostrander,46,CZ,NULL,333
Owl Creek,47,CZ,NULL,415
Pacific,48,CZ,NULL,366
Ponderosa,49,CZ,NULL,268
Powell,50,CZ,NULL,301
Redpath,51,CZ,NULL,259
Ridgecrest,52,CZ,NULL,23
Robbins,53,CZ,NULL,441
Rose Valley,54,CZ,NULL,204
Ryderwood,55,CZ,NULL,142
Sacajawea,56,CZ,NULL,626
Sandy Bend,57,CZ,NULL,292
Silver Lake,58,CZ,NULL,486
Sparks,59,CZ,NULL,193
St. Helens,60,CZ,NULL,166
Stella,61,CZ,NULL,286
Toutle,62,CZ,NULL,385
Tower,63,CZ,NULL,467
Tunstall,64,CZ,NULL,116
View,65,CZ,NULL,225
West Kelso,66,CZ,NULL,93
Willow Grove,67,CZ,NULL,99
Windemere,68,CZ,NULL,462
Woodage,69,CZ,NULL,203
Woodland North,70,CZ,NULL,370
Woodland South,71,CZ,NULL,325
Yale,72,CZ,NULL,221
