Row Label,PrecinctCode,County,Registered Voters,Stephen J. Holman
Total,-1,KP,NULL,53286
BREMERTON 001,100001,KP,NULL,169
BREMERTON 002,100002,KP,NULL,114
BREMERTON 003,100003,KP,NULL,284
BREMERTON 005,100005,KP,NULL,205
BREMERTON 006,100006,KP,NULL,191
BREMERTON 007,100007,KP,NULL,5
BREMERTON 012,100012,KP,NULL,70
BREMERTON 013,100013,KP,NULL,253
BREMERTON 015,100015,KP,NULL,301
BREMERTON 016,100016,KP,NULL,75
BREMERTON 022,100022,KP,NULL,226
BREMERTON 029,100029,KP,NULL,259
BREMERTON 030,100030,KP,NULL,260
BREMERTON 031,100031,KP,NULL,144
BREMERTON 032,100032,KP,NULL,47
BREMERTON 037,100037,KP,NULL,395
BREMERTON 040,100040,KP,NULL,271
BREMERTON 041,100041,KP,NULL,235
BREMERTON 046,100046,KP,NULL,287
BREMERTON 051,100051,KP,NULL,36
BREMERTON 052,100052,KP,NULL,203
BREMERTON 053,100053,KP,NULL,405
BREMERTON 054,100054,KP,NULL,184
BREMERTON 056,100056,KP,NULL,262
BREMERTON 058,100058,KP,NULL,320
ILLAHEE 065,100065,KP,NULL,381
SYLVAN 066,100066,KP,NULL,324
RAINIER 067,100067,KP,NULL,349
PERRY 073,100073,KP,NULL,195
UELAND 082,100082,KP,NULL,0
ROCKY POINT 083,100083,KP,NULL,397
RIDGEWAY 084,100084,KP,NULL,83
KITSAP LAKE 085,100085,KP,NULL,24
POWERLINE 086,100086,KP,NULL,3
BAYVIEW 087,100087,KP,NULL,93
BREMERTON 088,100088,KP,NULL,50
MARION 090,100090,KP,NULL,66
NAVY YARD CITY 095,100095,KP,NULL,333
OLYMPIC 099,100099,KP,NULL,43
TRIDENT 101,100101,KP,NULL,79
FRONTIER 102,100102,KP,NULL,372
OLYMPIC VIEW 103,100103,KP,NULL,254
BROWNSVILLE 105,100105,KP,NULL,423
OLD FRONTIER 106,100106,KP,NULL,372
BREMERTON 107,100107,KP,NULL,0
BREMERTON 109,100109,KP,NULL,30
CHARLAND 110,100110,KP,NULL,244
ALPINE 111,100111,KP,NULL,268
HERITAGE PARK 112,100112,KP,NULL,222
COUNTRY CLUB 113,100113,KP,NULL,192
BREMERTON 114,100114,KP,NULL,0
CLEAR CREEK 120,100120,KP,NULL,298
BUCKLIN 121,100121,KP,NULL,375
LUOTO 122,100122,KP,NULL,172
COTTONWOOD 125,100125,KP,NULL,300
