Row Label,PrecinctCode,County,Registered Voters,James Heller
Total,-1,PI,NULL,133201
02-101,2101,PI,NULL,113
02-105,2105,PI,NULL,123
02-106,2106,PI,NULL,361
02-110,2110,PI,NULL,199
02-111,2111,PI,NULL,260
02-112,2112,PI,NULL,192
02-113,2113,PI,NULL,234
02-114,2114,PI,NULL,172
02-115,2115,PI,NULL,279
02-116,2116,PI,NULL,348
02-117,2117,PI,NULL,336
02-118,2118,PI,NULL,217
02-119,2119,PI,NULL,209
02-120,2120,PI,NULL,275
02-121,2121,PI,NULL,336
02-122,2122,PI,NULL,355
02-123,2123,PI,NULL,355
02-124,2124,PI,NULL,284
02-125,2125,PI,NULL,261
02-126,2126,PI,NULL,341
02-127,2127,PI,NULL,200
02-128,2128,PI,NULL,364
02-129,2129,PI,NULL,212
02-130,2130,PI,NULL,182
02-131,2131,PI,NULL,390
02-133,2133,PI,NULL,96
02-134,2134,PI,NULL,382
02-135,2135,PI,NULL,357
02-136,2136,PI,NULL,58
02-137,2137,PI,NULL,170
02-138,2138,PI,NULL,412
02-139,2139,PI,NULL,306
02-140,2140,PI,NULL,361
02-141,2141,PI,NULL,346
02-142,2142,PI,NULL,231
02-143,2143,PI,NULL,244
02-144,2144,PI,NULL,299
02-145,2145,PI,NULL,337
02-146,2146,PI,NULL,248
02-147,2147,PI,NULL,255
02-148,2148,PI,NULL,342
02-149,2149,PI,NULL,382
02-150,2150,PI,NULL,287
02-151,2151,PI,NULL,109
02-152,2152,PI,NULL,332
02-153,2153,PI,NULL,263
02-154,2154,PI,NULL,251
02-155,2155,PI,NULL,327
02-156,2156,PI,NULL,399
02-157,2157,PI,NULL,389
02-158,2158,PI,NULL,263
02-159,2159,PI,NULL,198
25-201,25201,PI,NULL,417
25-202,25202,PI,NULL,336
25-203,25203,PI,NULL,400
25-204,25204,PI,NULL,332
25-205,25205,PI,NULL,391
25-206,25206,PI,NULL,242
25-208,25208,PI,NULL,406
25-209,25209,PI,NULL,391
25-210,25210,PI,NULL,485
25-211,25211,PI,NULL,356
25-212,25212,PI,NULL,391
25-213,25213,PI,NULL,419
25-215,25215,PI,NULL,352
25-216,25216,PI,NULL,245
25-217,25217,PI,NULL,415
25-218,25218,PI,NULL,383
25-219,25219,PI,NULL,384
25-220,25220,PI,NULL,2
25-221,25221,PI,NULL,355
25-222,25222,PI,NULL,278
25-226,25226,PI,NULL,258
25-227,25227,PI,NULL,196
25-228,25228,PI,NULL,373
25-230,25230,PI,NULL,92
25-235,25235,PI,NULL,11
25-236,25236,PI,NULL,295
25-237,25237,PI,NULL,0
25-238,25238,PI,NULL,202
25-239,25239,PI,NULL,375
25-240,25240,PI,NULL,153
25-241,25241,PI,NULL,199
25-242,25242,PI,NULL,403
25-243,25243,PI,NULL,292
25-244,25244,PI,NULL,434
25-245,25245,PI,NULL,2
25-246,25246,PI,NULL,31
25-247,25247,PI,NULL,331
25-248,25248,PI,NULL,420
25-249,25249,PI,NULL,369
25-250,25250,PI,NULL,151
25-251,25251,PI,NULL,308
25-252,25252,PI,NULL,331
25-253,25253,PI,NULL,231
25-254,25254,PI,NULL,211
25-255,25255,PI,NULL,227
25-256,25256,PI,NULL,326
25-257,25257,PI,NULL,307
25-258,25258,PI,NULL,383
25-259,25259,PI,NULL,356
25-260,25260,PI,NULL,368
25-261,25261,PI,NULL,270
25-262,25262,PI,NULL,334
25-263,25263,PI,NULL,286
25-264,25264,PI,NULL,399
25-265,25265,PI,NULL,385
25-266,25266,PI,NULL,372
25-267,25267,PI,NULL,173
25-268,25268,PI,NULL,196
25-269,25269,PI,NULL,232
25-270,25270,PI,NULL,376
25-271,25271,PI,NULL,352
25-272,25272,PI,NULL,343
25-273,25273,PI,NULL,226
25-274,25274,PI,NULL,450
25-275,25275,PI,NULL,0
25-276,25276,PI,NULL,16
25-277,25277,PI,NULL,358
25-278,25278,PI,NULL,126
25-279,25279,PI,NULL,307
25-280,25280,PI,NULL,373
25-281,25281,PI,NULL,259
25-282,25282,PI,NULL,369
25-283,25283,PI,NULL,208
25-284,25284,PI,NULL,193
25-285,25285,PI,NULL,476
25-286,25286,PI,NULL,348
25-287,25287,PI,NULL,4
25-288,25288,PI,NULL,380
25-289,25289,PI,NULL,0
25-290,25290,PI,NULL,32
25-291,25291,PI,NULL,80
25-292,25292,PI,NULL,372
25-293,25293,PI,NULL,341
26-301,26301,PI,NULL,142
26-302,26302,PI,NULL,516
26-303,26303,PI,NULL,458
26-304,26304,PI,NULL,515
26-305,26305,PI,NULL,482
26-315,26315,PI,NULL,422
26-316,26316,PI,NULL,446
26-317,26317,PI,NULL,397
26-318,26318,PI,NULL,329
26-319,26319,PI,NULL,336
26-320,26320,PI,NULL,373
26-321,26321,PI,NULL,472
26-322,26322,PI,NULL,443
26-323,26323,PI,NULL,403
26-324,26324,PI,NULL,405
26-325,26325,PI,NULL,345
26-326,26326,PI,NULL,425
26-327,26327,PI,NULL,400
26-328,26328,PI,NULL,312
26-329,26329,PI,NULL,391
26-330,26330,PI,NULL,265
26-331,26331,PI,NULL,97
26-332,26332,PI,NULL,322
26-333,26333,PI,NULL,355
26-334,26334,PI,NULL,326
26-335,26335,PI,NULL,317
26-336,26336,PI,NULL,439
26-337,26337,PI,NULL,405
26-338,26338,PI,NULL,301
26-339,26339,PI,NULL,62
26-340,26340,PI,NULL,433
26-341,26341,PI,NULL,341
26-342,26342,PI,NULL,410
26-343,26343,PI,NULL,346
26-344,26344,PI,NULL,48
26-345,26345,PI,NULL,334
26-346,26346,PI,NULL,321
26-347,26347,PI,NULL,303
26-348,26348,PI,NULL,375
26-349,26349,PI,NULL,370
26-350,26350,PI,NULL,372
26-351,26351,PI,NULL,358
26-352,26352,PI,NULL,358
27-401,27401,PI,NULL,190
27-404,27404,PI,NULL,125
27-405,27405,PI,NULL,380
27-406,27406,PI,NULL,464
27-407,27407,PI,NULL,367
27-408,27408,PI,NULL,396
27-409,27409,PI,NULL,383
27-410,27410,PI,NULL,391
27-411,27411,PI,NULL,436
27-412,27412,PI,NULL,356
27-413,27413,PI,NULL,368
27-414,27414,PI,NULL,383
27-415,27415,PI,NULL,415
27-416,27416,PI,NULL,390
27-417,27417,PI,NULL,387
27-418,27418,PI,NULL,346
27-419,27419,PI,NULL,350
27-420,27420,PI,NULL,420
27-421,27421,PI,NULL,309
27-422,27422,PI,NULL,478
27-423,27423,PI,NULL,384
27-424,27424,PI,NULL,346
27-425,27425,PI,NULL,307
27-426,27426,PI,NULL,336
27-427,27427,PI,NULL,321
27-428,27428,PI,NULL,317
27-429,27429,PI,NULL,346
27-430,27430,PI,NULL,350
27-431,27431,PI,NULL,148
27-432,27432,PI,NULL,335
27-433,27433,PI,NULL,328
27-434,27434,PI,NULL,333
27-435,27435,PI,NULL,353
27-436,27436,PI,NULL,338
27-437,27437,PI,NULL,303
27-438,27438,PI,NULL,298
27-439,27439,PI,NULL,295
27-440,27440,PI,NULL,342
27-441,27441,PI,NULL,283
27-442,27442,PI,NULL,228
27-443,27443,PI,NULL,245
27-444,27444,PI,NULL,293
27-445,27445,PI,NULL,285
27-446,27446,PI,NULL,295
27-447,27447,PI,NULL,317
27-448,27448,PI,NULL,11
27-449,27449,PI,NULL,336
27-450,27450,PI,NULL,362
27-451,27451,PI,NULL,262
27-452,27452,PI,NULL,311
27-453,27453,PI,NULL,235
27-454,27454,PI,NULL,325
27-455,27455,PI,NULL,281
27-456,27456,PI,NULL,252
27-457,27457,PI,NULL,304
27-458,27458,PI,NULL,211
27-459,27459,PI,NULL,201
27-460,27460,PI,NULL,326
27-461,27461,PI,NULL,377
27-462,27462,PI,NULL,367
27-463,27463,PI,NULL,285
27-464,27464,PI,NULL,307
27-465,27465,PI,NULL,275
27-466,27466,PI,NULL,311
27-467,27467,PI,NULL,294
27-468,27468,PI,NULL,288
27-471,27471,PI,NULL,13
27-475,27475,PI,NULL,289
27-476,27476,PI,NULL,236
27-477,27477,PI,NULL,323
28-501,28501,PI,NULL,397
28-502,28502,PI,NULL,418
28-503,28503,PI,NULL,439
28-504,28504,PI,NULL,389
28-505,28505,PI,NULL,421
28-506,28506,PI,NULL,418
28-507,28507,PI,NULL,342
28-508,28508,PI,NULL,193
28-509,28509,PI,NULL,0
28-515,28515,PI,NULL,388
28-516,28516,PI,NULL,390
28-517,28517,PI,NULL,424
28-518,28518,PI,NULL,414
28-519,28519,PI,NULL,415
28-520,28520,PI,NULL,412
28-521,28521,PI,NULL,423
28-522,28522,PI,NULL,436
28-523,28523,PI,NULL,421
28-524,28524,PI,NULL,454
28-525,28525,PI,NULL,475
28-526,28526,PI,NULL,306
28-527,28527,PI,NULL,510
28-528,28528,PI,NULL,417
28-529,28529,PI,NULL,321
28-530,28530,PI,NULL,192
28-531,28531,PI,NULL,373
28-535,28535,PI,NULL,414
28-536,28536,PI,NULL,385
28-537,28537,PI,NULL,416
28-538,28538,PI,NULL,351
28-540,28540,PI,NULL,491
28-541,28541,PI,NULL,365
28-542,28542,PI,NULL,361
28-543,28543,PI,NULL,337
28-545,28545,PI,NULL,400
28-546,28546,PI,NULL,369
28-547,28547,PI,NULL,497
28-548,28548,PI,NULL,329
28-549,28549,PI,NULL,362
28-550,28550,PI,NULL,279
28-551,28551,PI,NULL,467
28-552,28552,PI,NULL,420
28-553,28553,PI,NULL,422
28-554,28554,PI,NULL,383
28-555,28555,PI,NULL,438
28-556,28556,PI,NULL,317
28-557,28557,PI,NULL,304
28-558,28558,PI,NULL,318
28-559,28559,PI,NULL,322
28-560,28560,PI,NULL,431
28-561,28561,PI,NULL,255
28-562,28562,PI,NULL,215
28-563,28563,PI,NULL,124
28-565,28565,PI,NULL,315
28-566,28566,PI,NULL,332
28-567,28567,PI,NULL,341
28-568,28568,PI,NULL,348
28-570,28570,PI,NULL,5
28-571,28571,PI,NULL,5
28-572,28572,PI,NULL,337
28-573,28573,PI,NULL,224
28-574,28574,PI,NULL,80
28-575,28575,PI,NULL,2
28-576,28576,PI,NULL,322
28-577,28577,PI,NULL,12
28-578,28578,PI,NULL,73
28-579,28579,PI,NULL,63
28-580,28580,PI,NULL,52
28-581,28581,PI,NULL,218
28-582,28582,PI,NULL,146
28-583,28583,PI,NULL,213
28-584,28584,PI,NULL,239
28-585,28585,PI,NULL,377
28-586,28586,PI,NULL,332
28-587,28587,PI,NULL,242
28-588,28588,PI,NULL,341
28-589,28589,PI,NULL,359
28-590,28590,PI,NULL,13
29-600,29600,PI,NULL,0
29-601,29601,PI,NULL,250
29-602,29602,PI,NULL,215
29-603,29603,PI,NULL,298
29-604,29604,PI,NULL,290
29-605,29605,PI,NULL,232
29-606,29606,PI,NULL,311
29-607,29607,PI,NULL,363
29-608,29608,PI,NULL,246
29-609,29609,PI,NULL,211
29-610,29610,PI,NULL,288
29-611,29611,PI,NULL,59
29-612,29612,PI,NULL,152
29-613,29613,PI,NULL,312
29-614,29614,PI,NULL,320
29-615,29615,PI,NULL,337
29-616,29616,PI,NULL,286
29-617,29617,PI,NULL,287
29-618,29618,PI,NULL,250
29-619,29619,PI,NULL,283
29-620,29620,PI,NULL,171
29-621,29621,PI,NULL,0
29-622,29622,PI,NULL,230
29-623,29623,PI,NULL,70
29-624,29624,PI,NULL,0
29-625,29625,PI,NULL,6
29-626,29626,PI,NULL,7
29-627,29627,PI,NULL,0
29-633,29633,PI,NULL,25
29-635,29635,PI,NULL,78
29-636,29636,PI,NULL,367
29-637,29637,PI,NULL,276
29-638,29638,PI,NULL,149
29-639,29639,PI,NULL,281
29-640,29640,PI,NULL,299
29-641,29641,PI,NULL,296
29-642,29642,PI,NULL,312
29-643,29643,PI,NULL,27
29-648,29648,PI,NULL,6
29-649,29649,PI,NULL,87
29-650,29650,PI,NULL,310
29-651,29651,PI,NULL,348
29-652,29652,PI,NULL,30
29-653,29653,PI,NULL,293
29-654,29654,PI,NULL,331
29-655,29655,PI,NULL,127
29-656,29656,PI,NULL,284
29-657,29657,PI,NULL,4
29-658,29658,PI,NULL,278
29-659,29659,PI,NULL,170
29-660,29660,PI,NULL,371
29-661,29661,PI,NULL,267
29-662,29662,PI,NULL,0
29-663,29663,PI,NULL,281
29-664,29664,PI,NULL,303
29-667,29667,PI,NULL,312
29-668,29668,PI,NULL,240
29-669,29669,PI,NULL,315
29-670,29670,PI,NULL,328
29-671,29671,PI,NULL,271
29-672,29672,PI,NULL,192
29-673,29673,PI,NULL,337
29-674,29674,PI,NULL,105
29-675,29675,PI,NULL,329
29-676,29676,PI,NULL,300
29-677,29677,PI,NULL,312
29-678,29678,PI,NULL,244
29-679,29679,PI,NULL,255
29-680,29680,PI,NULL,251
29-682,29682,PI,NULL,290
29-683,29683,PI,NULL,317
30-701,30701,PI,NULL,12
30-705,30705,PI,NULL,167
30-706,30706,PI,NULL,243
30-707,30707,PI,NULL,151
30-708,30708,PI,NULL,222
30-709,30709,PI,NULL,245
30-713,30713,PI,NULL,4
31-801,31801,PI,NULL,181
