Row Label,PrecinctCode,County,Registered Voters,Joshua F. Grant
Total,-1,LI,NULL,3372
ALMIRA RURAL,1,LI,NULL,26
BLUESTEM,2,LI,NULL,11
CANBY,3,LI,NULL,30
CRESTON RURAL,4,LI,NULL,41
WHEATLAND,5,LI,NULL,68
DAVENPORT RURAL,6,LI,NULL,61
DOWNS,7,LI,NULL,19
EARL,8,LI,NULL,29
EDWALL,9,LI,NULL,52
EGYPT,10,LI,NULL,92
ENOS,11,LI,NULL,8
GOVAN,12,LI,NULL,17
GRAND COULEE,13,LI,NULL,24
GRAVELLE,14,LI,NULL,34
HARR RURAL,15,LI,NULL,43
HAWK CREEK,16,LI,NULL,55
IRBY,17,LI,NULL,19
KELLER,18,LI,NULL,47
LAKEVIEW,19,LI,NULL,90
LAMONA,20,LI,NULL,24
EAST LARENE,21,LI,NULL,71
WEST LARENE,22,LI,NULL,28
LAYTON,23,LI,NULL,17
LONG LAKE,24,LI,NULL,49
MOHLER,25,LI,NULL,40
MONDOVI,26,LI,NULL,63
ODESSA RURAL,27,LI,NULL,72
PEACH,28,LI,NULL,102
N REARDAN RURAL,29,LI,NULL,32
S REARDAN RURAL,30,LI,NULL,39
RIVERVIEW,31,LI,NULL,116
SEVEN BAYS,32,LI,NULL,43
SHERMAN,33,LI,NULL,61
SPRAGUE RURAL,34,LI,NULL,82
SPRING CREEK,35,LI,NULL,62
WILBUR RURAL,36,LI,NULL,77
WAUKON,37,LI,NULL,36
WILSON CREEK,38,LI,NULL,29
ALMIRA IN,39,LI,NULL,85
CRESTON IN,40,LI,NULL,78
DAVENPORT IN,41,LI,NULL,445
HARRINGTON IN,42,LI,NULL,111
ODESSA IN,43,LI,NULL,282
REARDAN IN,44,LI,NULL,159
SPRAGUE IN,45,LI,NULL,95
WILBUR IN,46,LI,NULL,308
