Row Label,PrecinctCode,County,Registered Voters,June Robinson,Jesse Anderson
Total,-1,SN,NULL,17355,13935
MARYSVILLE  1,23811047,SN,NULL,96,110
MARYSVILLE  2,23811048,SN,NULL,69,65
MARYSVILLE  4,23811128,SN,NULL,129,98
MARYSVILLE  6,23811129,SN,NULL,109,109
MARYSVILLE  3,23811261,SN,NULL,148,184
MARYSVILLE  9,23811299,SN,NULL,64,67
MARYSVILLE 11,23811342,SN,NULL,197,177
MARYSVILLE  7,23811350,SN,NULL,83,109
MARYSVILLE  8,23811351,SN,NULL,145,111
MARYSVILLE 10,23811429,SN,NULL,105,113
MARYSVILLE 13,23811430,SN,NULL,109,129
MARYSVILLE 15,23811465,SN,NULL,165,117
MARYSVILLE 17,23811467,SN,NULL,136,135
MARYSVILLE 20,23811504,SN,NULL,142,138
MARYSVILLE 26,23811544,SN,NULL,176,158
MARYSVILLE 27,23811571,SN,NULL,167,199
MARYSVILLE 28,23811572,SN,NULL,78,97
MARYSVILLE 25,23811650,SN,NULL,92,66
MARYSVILLE 29,23811651,SN,NULL,70,89
MARYSVILLE 32,23811679,SN,NULL,91,119
MARYSVILLE 35,23811728,SN,NULL,132,159
MARYSVILLE 36,23811729,SN,NULL,105,99
MARYSVILLE 37,23811730,SN,NULL,98,96
MARYSVILLE 38,23811731,SN,NULL,88,116
MARYSVILLE 39,23811732,SN,NULL,133,116
MARYSVILLE 40,23811733,SN,NULL,98,135
MARYSVILLE 41,23811734,SN,NULL,108,87
MARYSVILLE 42,23811735,SN,NULL,114,128
MARYSVILLE 43,23811736,SN,NULL,128,151
MARYSVILLE 46,23811739,SN,NULL,175,213
MARYSVILLE 47,23811740,SN,NULL,150,132
MARYSVILLE 48,23811741,SN,NULL,132,114
MARYSVILLE 49,23811742,SN,NULL,107,118
MARYSVILLE 50,23811743,SN,NULL,148,135
MARYSVILLE 51,23811744,SN,NULL,62,62
LOMA,23814167,SN,NULL,119,161
TIMBER,23814325,SN,NULL,0,0
WILLOW,23814335,SN,NULL,124,112
STRAUS,23814363,SN,NULL,131,255
WENBERG,23814488,SN,NULL,134,161
EVERETT   1,23821214,SN,NULL,234,142
EVERETT   2,23821215,SN,NULL,225,72
EVERETT   3,23821216,SN,NULL,161,71
EVERETT   4,23821217,SN,NULL,168,111
EVERETT   6,23821218,SN,NULL,138,68
EVERETT   8,23821219,SN,NULL,151,87
EVERETT  11,23821220,SN,NULL,227,123
EVERETT  12,23821221,SN,NULL,166,82
EVERETT  13,23821222,SN,NULL,141,83
EVERETT  14,23821223,SN,NULL,188,77
EVERETT  15,23821224,SN,NULL,159,102
EVERETT  16,23821225,SN,NULL,134,78
EVERETT  17,23821226,SN,NULL,107,54
EVERETT  18,23821227,SN,NULL,241,121
EVERETT  19,23821228,SN,NULL,173,76
EVERETT  20,23821229,SN,NULL,172,89
EVERETT  21,23821230,SN,NULL,241,126
EVERETT  22,23821231,SN,NULL,156,86
EVERETT  24,23821232,SN,NULL,166,125
EVERETT  25,23821233,SN,NULL,155,86
EVERETT  26,23821234,SN,NULL,253,144
EVERETT  27,23821235,SN,NULL,192,103
EVERETT  28,23821236,SN,NULL,124,104
EVERETT  29,23821237,SN,NULL,116,91
EVERETT  31,23821238,SN,NULL,123,76
EVERETT  32,23821239,SN,NULL,157,120
EVERETT  33,23821240,SN,NULL,226,141
EVERETT  34,23821241,SN,NULL,108,81
EVERETT  36,23821242,SN,NULL,134,101
EVERETT  37,23821243,SN,NULL,168,103
EVERETT  38,23821244,SN,NULL,38,39
EVERETT  39,23821245,SN,NULL,124,133
EVERETT  40,23821246,SN,NULL,70,59
EVERETT  41,23821247,SN,NULL,130,92
EVERETT  42,23821248,SN,NULL,122,93
EVERETT  43,23821249,SN,NULL,73,93
EVERETT  44,23821250,SN,NULL,111,77
EVERETT  45,23821251,SN,NULL,123,98
EVERETT  48,23821252,SN,NULL,114,104
EVERETT  49,23821253,SN,NULL,202,142
EVERETT  50,23821254,SN,NULL,168,105
EVERETT  51,23821255,SN,NULL,149,105
EVERETT  53,23821256,SN,NULL,165,120
EVERETT  54,23821257,SN,NULL,130,130
EVERETT  55,23821258,SN,NULL,46,30
EVERETT  67,23821287,SN,NULL,162,95
EVERETT  69,23821288,SN,NULL,169,96
EVERETT  73,23821289,SN,NULL,152,125
EVERETT  76,23821290,SN,NULL,120,129
TULALIP 1,23821327,SN,NULL,170,147
TULALIP 2,23821328,SN,NULL,190,78
EVERETT  60,23821346,SN,NULL,153,99
TULALIP 3,23821365,SN,NULL,159,122
EVERETT   5,23821394,SN,NULL,158,82
EVERETT   7,23821395,SN,NULL,88,40
EVERETT   9,23821396,SN,NULL,250,191
EVERETT  10,23821397,SN,NULL,141,70
EVERETT  23,23821398,SN,NULL,17,38
EVERETT  30,23821399,SN,NULL,179,156
EVERETT  46,23821401,SN,NULL,143,77
EVERETT  47,23821402,SN,NULL,163,97
EVERETT  58,23821403,SN,NULL,17,12
EVERETT  59,23821404,SN,NULL,141,72
EVERETT  68,23821408,SN,NULL,190,162
EVERETT  70,23821409,SN,NULL,2,2
EVERETT  71,23821410,SN,NULL,91,61
EVERETT  72,23821411,SN,NULL,91,54
EVERETT  74,23821412,SN,NULL,79,89
EVERETT  80,23821413,SN,NULL,152,156
EVERETT  81,23821414,SN,NULL,98,49
TULALIP 4,23821440,SN,NULL,165,158
EVERETT  85,23821449,SN,NULL,108,104
EVERETT  87,23821450,SN,NULL,89,91
EVERETT  88,23821451,SN,NULL,148,129
EVERETT  89,23821452,SN,NULL,129,86
EVERETT  90,23821453,SN,NULL,53,29
TULALIP 5,23821510,SN,NULL,113,78
TULALIP 6,23821558,SN,NULL,102,47
EVERETT  62,23821617,SN,NULL,117,74
EVERETT  63,23821618,SN,NULL,112,109
EVERETT  75,23821619,SN,NULL,84,98
EVERETT  78,23821620,SN,NULL,67,72
EVERETT  86,23821623,SN,NULL,131,105
EVERETT  77,23821645,SN,NULL,116,104
EVERETT  82,23821662,SN,NULL,111,114
EVERETT  93,23821695,SN,NULL,106,66
EVERETT  94,23821696,SN,NULL,90,84
PRIEST POINT,23824098,SN,NULL,109,87
MILLARD,23824169,SN,NULL,66,114
HAT ISLAND,23824267,SN,NULL,15,20
SHELTON,23824269,SN,NULL,166,224
TYEE,23824441,SN,NULL,142,135
BOEING,23824445,SN,NULL,91,141
COHO(*),23824561,SN,NULL,0,0
SPENCER(*),23824593,SN,NULL,0,0
CHATHAM,23824752,SN,NULL,32,26
SYLVAN,23854756,SN,NULL,11,13
