Row Label,PrecinctCode,County,Registered Voters,Karen S. Roosevelt,Tereasa Entrup
Total,-1,GA,NULL,675,486
GROUSE-VOTE BY MAIL(*),101,GA,NULL,0,0
MAYVIEW-VOTE BY MAIL(*),102,GA,NULL,0,0
PATAHA,103,GA,NULL,79,82
PEOLA-VOTE BY MAIL,104,GA,NULL,11,2
PING - VOTE BY MAIL,105,GA,NULL,14,6
PLEASANT-VB MAIL,106,GA,NULL,31,21
SCOGGIN - VB MAIL,109,GA,NULL,58,45
TUCANNON - VB MAIL,110,GA,NULL,39,23
WARD 1,201,GA,NULL,60,51
WARD 2,202,GA,NULL,120,91
WARD 3,203,GA,NULL,133,93
WARD 4,204,GA,NULL,100,56
