Row Label,PrecinctCode,County,Registered Voters,Jaime Herrera Beutler,Bob Dingethal
Total,-1,SM,NULL,2473,1495
BEAR PRAIRIE,100,SM,NULL,121,39
MT. PLEASANT,101,SM,NULL,105,59
SKYE,102,SM,NULL,114,74
UPPER WASHOUGAL,103,SM,NULL,141,59
LEWIS RIVER,104,SM,NULL,8,8
CAPE HORN,105,SM,NULL,145,76
SKAMANIA,106,SM,NULL,170,94
CASCADES,201,SM,NULL,7,3
NORTH BONNEVILLE,202,SM,NULL,190,131
ROCK CREEK,203,SM,NULL,98,49
MAPLE VIEW,204,SM,NULL,145,123
NORTH STEVENSON,205,SM,NULL,103,84
SOUTH STEVENSON,206,SM,NULL,32,23
NELSON CREEK,207,SM,NULL,58,46
CARSON CREEK,208,SM,NULL,162,73
STABLER,300,SM,NULL,183,103
WIND RIVER,303,SM,NULL,138,62
HOT SPRINGS NORTH,304,SM,NULL,68,29
HOT SPRINGS SOUTH,305,SM,NULL,110,48
WIND MOUNTAIN,307,SM,NULL,71,48
CHENOWITH,309,SM,NULL,99,61
UNDERWOOD NORTH,310,SM,NULL,120,102
UNDERWOOD SOUTH,311,SM,NULL,85,101
