Row Label,PrecinctCode,County,Registered Voters,Jeanette A. Lineberry,Karl L. Williams
Total,-1,PI,NULL,93567,68447
02-101,2101,PI,NULL,81,57
02-105,2105,PI,NULL,96,50
02-106,2106,PI,NULL,278,151
02-110,2110,PI,NULL,137,92
02-111,2111,PI,NULL,210,107
02-112,2112,PI,NULL,120,105
02-113,2113,PI,NULL,154,112
02-114,2114,PI,NULL,141,76
02-115,2115,PI,NULL,195,125
02-116,2116,PI,NULL,225,185
02-117,2117,PI,NULL,236,155
02-118,2118,PI,NULL,124,130
02-119,2119,PI,NULL,145,91
02-120,2120,PI,NULL,185,127
02-121,2121,PI,NULL,220,158
02-122,2122,PI,NULL,239,162
02-123,2123,PI,NULL,225,178
02-124,2124,PI,NULL,191,128
02-125,2125,PI,NULL,174,123
02-126,2126,PI,NULL,210,173
02-127,2127,PI,NULL,138,86
02-128,2128,PI,NULL,248,151
02-129,2129,PI,NULL,134,103
02-130,2130,PI,NULL,128,80
02-131,2131,PI,NULL,255,190
02-133,2133,PI,NULL,69,40
02-134,2134,PI,NULL,273,162
02-135,2135,PI,NULL,254,196
02-136,2136,PI,NULL,43,32
02-137,2137,PI,NULL,133,79
02-138,2138,PI,NULL,294,181
02-139,2139,PI,NULL,202,166
02-140,2140,PI,NULL,246,190
02-141,2141,PI,NULL,258,145
02-142,2142,PI,NULL,180,129
02-143,2143,PI,NULL,190,100
02-144,2144,PI,NULL,232,146
02-145,2145,PI,NULL,234,174
02-146,2146,PI,NULL,197,123
02-147,2147,PI,NULL,192,117
02-148,2148,PI,NULL,254,177
02-149,2149,PI,NULL,278,168
02-150,2150,PI,NULL,225,129
02-151,2151,PI,NULL,76,65
02-152,2152,PI,NULL,260,169
02-153,2153,PI,NULL,186,142
02-154,2154,PI,NULL,182,143
02-155,2155,PI,NULL,234,189
02-156,2156,PI,NULL,304,214
02-157,2157,PI,NULL,290,210
02-158,2158,PI,NULL,204,125
02-159,2159,PI,NULL,125,105
25-201,25201,PI,NULL,296,220
25-202,25202,PI,NULL,236,165
25-203,25203,PI,NULL,263,206
25-204,25204,PI,NULL,228,166
25-205,25205,PI,NULL,249,193
25-206,25206,PI,NULL,170,113
25-208,25208,PI,NULL,300,207
25-209,25209,PI,NULL,268,197
25-210,25210,PI,NULL,351,225
25-211,25211,PI,NULL,237,195
25-212,25212,PI,NULL,263,195
25-213,25213,PI,NULL,317,195
25-215,25215,PI,NULL,263,177
25-216,25216,PI,NULL,155,120
25-217,25217,PI,NULL,278,208
25-218,25218,PI,NULL,253,209
25-219,25219,PI,NULL,320,148
25-220(*),25220,PI,NULL,0,0
25-221,25221,PI,NULL,248,168
25-222,25222,PI,NULL,201,122
25-226,25226,PI,NULL,170,128
25-227,25227,PI,NULL,136,99
25-228,25228,PI,NULL,229,184
25-230,25230,PI,NULL,61,49
25-235,25235,PI,NULL,8,9
25-236,25236,PI,NULL,191,141
25-237(*),25237,PI,NULL,0,0
25-238,25238,PI,NULL,150,90
25-239,25239,PI,NULL,245,202
25-240,25240,PI,NULL,93,83
25-241,25241,PI,NULL,134,95
25-242,25242,PI,NULL,268,205
25-243,25243,PI,NULL,185,145
25-244,25244,PI,NULL,310,222
25-245(*),25245,PI,NULL,0,0
25-246,25246,PI,NULL,16,21
25-247,25247,PI,NULL,219,179
25-248,25248,PI,NULL,315,213
25-249,25249,PI,NULL,278,172
25-250,25250,PI,NULL,96,81
25-251,25251,PI,NULL,226,161
25-252,25252,PI,NULL,212,171
25-253,25253,PI,NULL,165,119
25-254,25254,PI,NULL,151,89
25-255,25255,PI,NULL,139,140
25-256,25256,PI,NULL,244,166
25-257,25257,PI,NULL,233,151
25-258,25258,PI,NULL,259,216
25-259,25259,PI,NULL,257,188
25-260,25260,PI,NULL,264,183
25-261,25261,PI,NULL,172,150
25-262,25262,PI,NULL,259,155
25-263,25263,PI,NULL,225,135
25-264,25264,PI,NULL,242,213
25-265,25265,PI,NULL,269,174
25-266,25266,PI,NULL,289,194
25-267,25267,PI,NULL,115,91
25-268,25268,PI,NULL,115,102
25-269,25269,PI,NULL,181,112
25-270,25270,PI,NULL,268,171
25-271,25271,PI,NULL,241,177
25-272,25272,PI,NULL,253,206
25-273,25273,PI,NULL,145,120
25-274,25274,PI,NULL,312,214
25-275(*),25275,PI,NULL,0,0
25-276,25276,PI,NULL,13,4
25-277,25277,PI,NULL,246,167
25-278,25278,PI,NULL,85,74
25-279,25279,PI,NULL,209,131
25-280,25280,PI,NULL,247,199
25-281,25281,PI,NULL,175,117
25-282,25282,PI,NULL,254,189
25-283,25283,PI,NULL,136,93
25-284,25284,PI,NULL,130,100
25-285,25285,PI,NULL,326,230
25-286,25286,PI,NULL,216,175
25-287(*),25287,PI,NULL,0,0
25-288,25288,PI,NULL,251,165
25-289,25289,PI,NULL,0,0
25-290,25290,PI,NULL,18,15
25-291,25291,PI,NULL,52,42
25-292,25292,PI,NULL,280,173
25-293,25293,PI,NULL,235,186
26-301,26301,PI,NULL,95,66
26-302,26302,PI,NULL,385,250
26-303,26303,PI,NULL,369,217
26-304,26304,PI,NULL,440,251
26-305,26305,PI,NULL,377,250
26-315,26315,PI,NULL,302,224
26-316,26316,PI,NULL,311,230
26-317,26317,PI,NULL,313,191
26-318,26318,PI,NULL,245,148
26-319,26319,PI,NULL,287,152
26-320,26320,PI,NULL,289,177
26-321,26321,PI,NULL,383,240
26-322,26322,PI,NULL,321,224
26-323,26323,PI,NULL,343,191
26-324,26324,PI,NULL,320,173
26-325,26325,PI,NULL,263,182
26-326,26326,PI,NULL,309,215
26-327,26327,PI,NULL,305,194
26-328,26328,PI,NULL,247,163
26-329,26329,PI,NULL,316,181
26-330,26330,PI,NULL,215,122
26-331,26331,PI,NULL,85,55
26-332,26332,PI,NULL,234,203
26-333,26333,PI,NULL,294,179
26-334,26334,PI,NULL,296,172
26-335,26335,PI,NULL,239,145
26-336,26336,PI,NULL,323,209
26-337,26337,PI,NULL,303,191
26-338,26338,PI,NULL,255,151
26-339,26339,PI,NULL,59,24
26-340,26340,PI,NULL,345,211
26-341,26341,PI,NULL,275,166
26-342,26342,PI,NULL,358,159
26-343,26343,PI,NULL,259,177
26-344,26344,PI,NULL,43,16
26-345,26345,PI,NULL,270,198
26-346,26346,PI,NULL,266,142
26-347,26347,PI,NULL,265,148
26-348,26348,PI,NULL,291,170
26-349,26349,PI,NULL,331,161
26-350,26350,PI,NULL,291,192
26-351,26351,PI,NULL,300,170
26-352,26352,PI,NULL,298,173
27-401,27401,PI,NULL,118,112
27-404,27404,PI,NULL,88,58
27-405,27405,PI,NULL,254,233
27-406,27406,PI,NULL,377,259
27-407,27407,PI,NULL,249,188
27-408,27408,PI,NULL,277,213
27-409,27409,PI,NULL,266,195
27-410,27410,PI,NULL,251,205
27-411,27411,PI,NULL,270,315
27-412,27412,PI,NULL,244,186
27-413,27413,PI,NULL,247,219
27-414,27414,PI,NULL,254,257
27-415,27415,PI,NULL,291,246
27-416,27416,PI,NULL,279,206
27-417,27417,PI,NULL,228,270
27-418,27418,PI,NULL,227,214
27-419,27419,PI,NULL,239,237
27-420,27420,PI,NULL,229,326
27-421,27421,PI,NULL,190,198
27-422,27422,PI,NULL,285,307
27-423,27423,PI,NULL,268,253
27-424,27424,PI,NULL,237,227
27-425,27425,PI,NULL,232,203
27-426,27426,PI,NULL,211,244
27-427,27427,PI,NULL,219,202
27-428,27428,PI,NULL,212,183
27-429,27429,PI,NULL,221,206
27-430,27430,PI,NULL,248,171
27-431,27431,PI,NULL,100,79
27-432,27432,PI,NULL,224,190
27-433,27433,PI,NULL,215,195
27-434,27434,PI,NULL,215,187
27-435,27435,PI,NULL,234,197
27-436,27436,PI,NULL,213,196
27-437,27437,PI,NULL,159,216
27-438,27438,PI,NULL,186,172
27-439,27439,PI,NULL,202,172
27-440,27440,PI,NULL,217,197
27-441,27441,PI,NULL,169,182
27-442,27442,PI,NULL,165,110
27-443,27443,PI,NULL,150,148
27-444,27444,PI,NULL,190,171
27-445,27445,PI,NULL,193,144
27-446,27446,PI,NULL,191,151
27-447,27447,PI,NULL,199,162
27-448,27448,PI,NULL,11,4
27-449,27449,PI,NULL,245,154
27-450,27450,PI,NULL,213,202
27-451,27451,PI,NULL,173,155
27-452,27452,PI,NULL,183,172
27-453,27453,PI,NULL,134,133
27-454,27454,PI,NULL,224,177
27-455,27455,PI,NULL,173,154
27-456,27456,PI,NULL,156,131
27-457,27457,PI,NULL,177,172
27-458,27458,PI,NULL,147,107
27-459,27459,PI,NULL,132,101
27-460,27460,PI,NULL,251,197
27-461,27461,PI,NULL,297,193
27-462,27462,PI,NULL,243,226
27-463,27463,PI,NULL,208,141
27-464,27464,PI,NULL,220,161
27-465,27465,PI,NULL,209,127
27-466,27466,PI,NULL,216,156
27-467,27467,PI,NULL,192,169
27-468,27468,PI,NULL,213,134
27-471,27471,PI,NULL,10,5
27-475,27475,PI,NULL,209,161
27-476,27476,PI,NULL,180,125
27-477,27477,PI,NULL,232,181
28-501,28501,PI,NULL,274,244
28-502,28502,PI,NULL,287,231
28-503,28503,PI,NULL,304,204
28-504,28504,PI,NULL,259,206
28-505,28505,PI,NULL,298,282
28-506,28506,PI,NULL,289,236
28-507,28507,PI,NULL,235,175
28-508,28508,PI,NULL,121,106
28-509,28509,PI,NULL,0,0
28-515,28515,PI,NULL,286,275
28-516,28516,PI,NULL,245,255
28-517,28517,PI,NULL,289,258
28-518,28518,PI,NULL,271,213
28-519,28519,PI,NULL,277,231
28-520,28520,PI,NULL,285,211
28-521,28521,PI,NULL,303,233
28-522,28522,PI,NULL,285,267
28-523,28523,PI,NULL,279,263
28-524,28524,PI,NULL,320,277
28-525,28525,PI,NULL,306,286
28-526,28526,PI,NULL,178,191
28-527,28527,PI,NULL,337,283
28-528,28528,PI,NULL,286,231
28-529,28529,PI,NULL,216,186
28-530,28530,PI,NULL,136,91
28-531,28531,PI,NULL,273,193
28-535,28535,PI,NULL,294,238
28-536,28536,PI,NULL,286,218
28-537,28537,PI,NULL,284,261
28-538,28538,PI,NULL,229,206
28-540,28540,PI,NULL,402,226
28-541,28541,PI,NULL,275,187
28-542,28542,PI,NULL,299,196
28-543,28543,PI,NULL,233,176
28-545,28545,PI,NULL,275,207
28-546,28546,PI,NULL,295,160
28-547,28547,PI,NULL,331,262
28-548,28548,PI,NULL,233,152
28-549,28549,PI,NULL,261,192
