Row Label,PrecinctCode,County,Registered Voters,Melinda Didier,Rick Miller
Total,-1,FR,NULL,5596,8402
Pct 001,1,FR,NULL,95,101
Pct 002,2,FR,NULL,40,61
Pct 003,3,FR,NULL,21,29
Pct 004,4,FR,NULL,45,32
Pct 005,5,FR,NULL,23,45
Pct 006,6,FR,NULL,44,70
Pct 007,7,FR,NULL,39,60
Pct 008,8,FR,NULL,67,152
Pct 009,9,FR,NULL,25,43
Pct 010,10,FR,NULL,54,66
Pct 011,11,FR,NULL,29,69
Pct 012,12,FR,NULL,23,56
Pct 013,13,FR,NULL,32,44
Pct 014,14,FR,NULL,41,56
Pct 015,15,FR,NULL,47,71
Pct 016,16,FR,NULL,8,10
Pct 017,17,FR,NULL,52,77
Pct 018,18,FR,NULL,21,39
Pct 019,19,FR,NULL,52,123
Pct 020,20,FR,NULL,30,44
Pct 021,21,FR,NULL,14,30
Pct 022,22,FR,NULL,72,107
Pct 023,23,FR,NULL,94,226
Pct 024,24,FR,NULL,76,74
Pct 025,25,FR,NULL,30,36
Pct 026,26,FR,NULL,44,74
Pct 027,27,FR,NULL,20,56
Pct 028,28,FR,NULL,20,58
Pct 029,29,FR,NULL,28,71
Pct 030,30,FR,NULL,26,32
Pct 031,31,FR,NULL,23,53
Pct 032,32,FR,NULL,151,235
Pct 033,33,FR,NULL,62,94
Pct 034,34,FR,NULL,85,184
Pct 035,35,FR,NULL,40,76
Pct 036,36,FR,NULL,115,187
Pct 037,37,FR,NULL,126,154
Pct 038,38,FR,NULL,75,122
Pct 039,39,FR,NULL,70,140
Pct 040,40,FR,NULL,72,130
Pct 041,41,FR,NULL,43,93
Pct 042,42,FR,NULL,51,102
Pct 043,43,FR,NULL,68,104
Pct 044,44,FR,NULL,61,133
Pct 045,45,FR,NULL,83,164
Pct 046,46,FR,NULL,97,186
Pct 047,47,FR,NULL,6,22
Pct 048,48,FR,NULL,74,163
Pct 049,49,FR,NULL,86,173
Pct 050,50,FR,NULL,89,144
Pct 051,51,FR,NULL,101,129
Pct 052,52,FR,NULL,24,34
Pct 053,53,FR,NULL,75,104
Pct 054,54,FR,NULL,27,65
Pct 055,55,FR,NULL,108,225
Pct 056,56,FR,NULL,57,105
Pct 057,57,FR,NULL,48,126
Pct 058,58,FR,NULL,9,20
Pct 059,59,FR,NULL,93,214
Pct 060,60,FR,NULL,27,71
Pct 061,61,FR,NULL,116,163
Pct 062,62,FR,NULL,159,219
Pct 063,63,FR,NULL,67,128
Pct 064,64,FR,NULL,75,115
Pct 065,65,FR,NULL,34,76
Pct 066,66,FR,NULL,116,179
Pct 067,67,FR,NULL,86,145
Pct 068,68,FR,NULL,5,7
Pct 069,69,FR,NULL,16,24
Pct 070,70,FR,NULL,27,45
Pct 071,71,FR,NULL,101,68
Pct 072,72,FR,NULL,45,85
Pct 073,73,FR,NULL,134,144
Pct 074,74,FR,NULL,117,131
Pct 075,75,FR,NULL,24,19
Pct 076,76,FR,NULL,57,30
Pct 077,77,FR,NULL,26,39
Pct 078,78,FR,NULL,62,32
Pct 079,79,FR,NULL,76,53
Pct 080,80,FR,NULL,183,114
Pct 081,81,FR,NULL,37,32
Pct 082,82,FR,NULL,68,47
Pct 083,83,FR,NULL,56,40
Pct 084,84,FR,NULL,20,27
Pct 085,85,FR,NULL,19,32
Pct 086,86,FR,NULL,49,37
Pct 087,87,FR,NULL,28,45
Pct 088,88,FR,NULL,13,32
Pct 089,89,FR,NULL,65,57
Pct 090,90,FR,NULL,74,76
Pct 091,91,FR,NULL,7,6
Pct 092,92,FR,NULL,60,76
Pct 093,93,FR,NULL,77,82
Pct 094,94,FR,NULL,0,0
Pct 095,95,FR,NULL,46,23
Pct 096,96,FR,NULL,34,50
Pct 097,97,FR,NULL,19,29
Pct 098,98,FR,NULL,20,7
Pct 099,99,FR,NULL,20,14
Pct 100,100,FR,NULL,53,50
Pct 101,101,FR,NULL,47,60
