Row Label,PrecinctCode,County,Registered Voters,Cathy McMorris Rodgers,Joseph (Joe) Pakootas
Total,-1,PE,NULL,3179,1901
Camden,1,PE,NULL,142,41
Cusick,2,PE,NULL,67,72
Dalkena,3,PE,NULL,186,110
Diamond Lk East,4,PE,NULL,72,45
Fertile Valley North,5,PE,NULL,134,49
Furport,6,PE,NULL,152,100
Ione East,7,PE,NULL,116,57
Ione West,8,PE,NULL,148,60
Metaline,9,PE,NULL,57,46
Metaline Falls,10,PE,NULL,104,78
Tiger Dry Canyon,11,PE,NULL,196,115
Newport NE,12,PE,NULL,152,101
Newport SE,13,PE,NULL,72,42
Newport NW,14,PE,NULL,138,104
Newport SW,15,PE,NULL,110,73
Noble,16,PE,NULL,204,129
Ruby,17,PE,NULL,17,10
Sacheen,18,PE,NULL,144,123
Usk,19,PE,NULL,139,48
Diamond Lk West,20,PE,NULL,129,71
Deer Valley North,21,PE,NULL,132,102
Locke,22,PE,NULL,25,15
Kalispel Leclerc,23,PE,NULL,98,56
Skookum,24,PE,NULL,49,17
Deer Valley South,25,PE,NULL,49,27
Fertile Valley South,26,PE,NULL,122,49
Diamond Lk,27,PE,NULL,225,161
