Row Label,PrecinctCode,County,Registered Voters,Gina R. McCabe,Paul George
Total,-1,YA,NULL,16959,7074
0101,101,YA,NULL,80,91
0110,110,YA,NULL,133,93
0113,113,YA,NULL,81,104
0116,116,YA,NULL,269,183
0118,118,YA,NULL,78,73
0120,120,YA,NULL,98,119
0126,126,YA,NULL,62,92
0127,127,YA,NULL,172,128
0129,129,YA,NULL,101,90
0130,130,YA,NULL,168,83
0131,131,YA,NULL,190,115
0132,132,YA,NULL,208,109
0133,133,YA,NULL,353,265
0134,134,YA,NULL,517,265
0138,138,YA,NULL,392,222
0139,139,YA,NULL,347,174
0142,142,YA,NULL,303,167
0153,153,YA,NULL,244,114
0154,154,YA,NULL,271,130
0163,163,YA,NULL,392,115
0167,167,YA,NULL,402,158
0168,168,YA,NULL,374,157
0169,169,YA,NULL,386,178
0170,170,YA,NULL,212,130
0173,173,YA,NULL,205,99
0177,177,YA,NULL,397,126
0179,179,YA,NULL,352,127
0180,180,YA,NULL,230,51
0181,181,YA,NULL,375,146
0182,182,YA,NULL,503,207
0183,183,YA,NULL,329,99
0184,184,YA,NULL,237,110
0185,185,YA,NULL,370,121
0186,186,YA,NULL,404,169
0187,187,YA,NULL,314,125
0188,188,YA,NULL,428,120
0189,189,YA,NULL,240,89
0190,190,YA,NULL,185,76
0701,701,YA,NULL,50,37
1301,1301,YA,NULL,163,58
1901,1901,YA,NULL,82,49
3004,3004,YA,NULL,11,6
3102,3102,YA,NULL,202,110
3203,3203,YA,NULL,418,91
3204,3204,YA,NULL,47,11
3205,3205,YA,NULL,418,130
3208,3208,YA,NULL,49,17
3305,3305,YA,NULL,276,80
3308,3308,YA,NULL,320,67
3309,3309,YA,NULL,150,99
3310,3310,YA,NULL,165,111
3313,3313,YA,NULL,126,23
3605,3605,YA,NULL,557,147
3701,3701,YA,NULL,192,82
3904,3904,YA,NULL,111,30
3905,3905,YA,NULL,90,30
4001,4001,YA,NULL,74,44
4101,4101,YA,NULL,127,40
4102,4102,YA,NULL,314,81
4104,4104,YA,NULL,217,71
4114,4114,YA,NULL,112,24
4115,4115,YA,NULL,185,50
4503,4503,YA,NULL,34,9
4601,4601,YA,NULL,162,35
4609,4609,YA,NULL,155,36
4623(*),4623,YA,NULL,0,0
4625(*),4625,YA,NULL,0,0
4626,4626,YA,NULL,10,6
4627,4627,YA,NULL,96,26
4801,4801,YA,NULL,521,120
5003,5003,YA,NULL,295,59
5010,5010,YA,NULL,97,26
5012,5012,YA,NULL,174,117
5014,5014,YA,NULL,293,79
5020,5020,YA,NULL,215,47
