Row Label,PrecinctCode,County,Registered Voters,Maralyn Chase,Robert Reedy
Total,-1,KI,NULL,11654,6296
Total,-1,KI,NULL,11654,6296
LYNNWOOD  1,23231115,SN,NULL,104,43
LYNNWOOD  2,23231116,SN,NULL,135,76
LYNNWOOD  3,23231117,SN,NULL,154,108
LYNNWOOD  4,23231118,SN,NULL,144,75
LYNNWOOD  5,23231119,SN,NULL,110,53
LYNNWOOD  6,23231120,SN,NULL,174,81
LYNNWOOD  7,23231121,SN,NULL,223,119
LYNNWOOD  8,23231122,SN,NULL,131,77
LYNNWOOD  9,23231123,SN,NULL,221,107
LYNNWOOD 10,23231124,SN,NULL,115,56
LYNNWOOD 11,23231125,SN,NULL,183,98
LYNNWOOD 13,23231168,SN,NULL,122,94
LYNNWOOD 16,23231186,SN,NULL,160,87
LYNNWOOD 17,23231201,SN,NULL,235,130
LYNNWOOD 18,23231202,SN,NULL,182,103
LYNNWOOD 20,23231203,SN,NULL,183,95
LYNNWOOD 22,23231204,SN,NULL,130,64
LYNNWOOD 23,23231205,SN,NULL,192,72
LYNNWOOD 24,23231206,SN,NULL,159,66
LYNNWOOD 28,23231207,SN,NULL,101,81
LYNNWOOD 29,23231208,SN,NULL,237,134
LYNNWOOD 30,23231210,SN,NULL,200,121
LYNNWOOD 12,23231419,SN,NULL,191,94
LYNNWOOD 14,23231420,SN,NULL,132,87
LYNNWOOD 15,23231421,SN,NULL,131,79
LYNNWOOD 21,23231423,SN,NULL,169,116
LYNNWOOD 31(*),23231424,SN,NULL,0,0
LYNNWOOD 32(*),23231462,SN,NULL,0,0
LYNNWOOD 33,23231516,SN,NULL,179,119
LYNNWOOD 25,23231626,SN,NULL,230,125
LYNNWOOD 26,23231627,SN,NULL,189,113
HILLTOP,23234077,SN,NULL,220,181
CYPRESS,23234175,SN,NULL,176,123
LAURA,23234184,SN,NULL,227,120
ALDERCREST,23234444,SN,NULL,28,33
LARCH,23234461,SN,NULL,165,117
MAGNOLIA,23234539,SN,NULL,158,82
PACIFIC,23234550,SN,NULL,53,20
RIDGEVIEW,23234755,SN,NULL,97,59
MOUNTLAKE TERRACE  7,23241095,SN,NULL,90,71
MOUNTLAKE TERRACE  8,23241096,SN,NULL,197,60
MOUNTLAKE TERRACE  9,23241097,SN,NULL,118,78
MOUNTLAKE TERRACE 10,23241137,SN,NULL,271,140
NILE,23244749,SN,NULL,0,0
EDMONDS  6,73231106,SN,NULL,262,171
EDMONDS 14,73231112,SN,NULL,179,59
EDMONDS 15,73231113,SN,NULL,164,87
EDMONDS 16,73231114,SN,NULL,177,71
EDMONDS 18,73231132,SN,NULL,222,84
EDMONDS 19,73231133,SN,NULL,261,98
EDMONDS 25,73231153,SN,NULL,192,94
EDMONDS 27,73231154,SN,NULL,178,98
WOODWAY 1,73231173,SN,NULL,190,159
WOODWAY 2,73231174,SN,NULL,96,112
EDMONDS 12,73231389,SN,NULL,137,55
EDMONDS 40,73231500,SN,NULL,230,91
EDMONDS 41,73231511,SN,NULL,150,68
EDMONDS 42,73231512,SN,NULL,148,86
EDMONDS 43,73231513,SN,NULL,244,122
EDMONDS 44,73231514,SN,NULL,224,80
EDMONDS 45,73231523,SN,NULL,171,91
EDMONDS 47,73231525,SN,NULL,121,49
EDMONDS 48,73231562,SN,NULL,192,98
EDMONDS 49,73231563,SN,NULL,184,106
EDMONDS 50,73231564,SN,NULL,147,66
EDMONDS 52,73231577,SN,NULL,196,75
HOLLY,73234099,SN,NULL,236,99
ROB,73234143,SN,NULL,133,84
SUMMIT,73234149,SN,NULL,168,101
ANN,73234176,SN,NULL,184,83
CHAPEL,73234182,SN,NULL,152,82
