Row Label,PrecinctCode,County,Registered Voters,Marianne Nichols
Total,-1,PE,NULL,3886
Camden,1,PE,NULL,117
Cusick,2,PE,NULL,91
Dalkena,3,PE,NULL,231
Diamond Lk East,4,PE,NULL,91
Fertile Valley North,5,PE,NULL,132
Furport,6,PE,NULL,204
Ione East,7,PE,NULL,126
Ione West,8,PE,NULL,154
Metaline,9,PE,NULL,75
Metaline Falls,10,PE,NULL,140
Tiger Dry Canyon,11,PE,NULL,227
Newport NE,12,PE,NULL,210
Newport SE,13,PE,NULL,94
Newport NW,14,PE,NULL,201
Newport SW,15,PE,NULL,158
Noble,16,PE,NULL,256
Ruby,17,PE,NULL,22
Sacheen,18,PE,NULL,184
Usk,19,PE,NULL,148
Diamond Lk West,20,PE,NULL,135
Deer Valley North,21,PE,NULL,175
Locke,22,PE,NULL,33
Kalispel Leclerc,23,PE,NULL,132
Skookum,24,PE,NULL,51
Deer Valley South,25,PE,NULL,64
Fertile Valley South,26,PE,NULL,127
Diamond Lk,27,PE,NULL,308
