Row Label,PrecinctCode,County,Registered Voters,Mary Yu
25-239,25239,PI,NULL,404
25-240,25240,PI,NULL,157
25-241,25241,PI,NULL,207
25-242,25242,PI,NULL,423
25-243,25243,PI,NULL,329
25-244,25244,PI,NULL,476
25-245,25245,PI,NULL,2
25-246,25246,PI,NULL,32
25-247,25247,PI,NULL,368
25-248,25248,PI,NULL,454
25-249,25249,PI,NULL,410
25-250,25250,PI,NULL,163
25-251,25251,PI,NULL,336
25-252,25252,PI,NULL,344
25-253,25253,PI,NULL,244
25-254,25254,PI,NULL,229
25-255,25255,PI,NULL,253
25-256,25256,PI,NULL,366
25-257,25257,PI,NULL,342
25-258,25258,PI,NULL,399
25-259,25259,PI,NULL,390
25-260,25260,PI,NULL,399
25-261,25261,PI,NULL,294
25-262,25262,PI,NULL,360
25-263,25263,PI,NULL,320
25-264,25264,PI,NULL,428
25-265,25265,PI,NULL,406
25-266,25266,PI,NULL,408
25-267,25267,PI,NULL,189
25-268,25268,PI,NULL,207
25-269,25269,PI,NULL,254
25-270,25270,PI,NULL,399
25-271,25271,PI,NULL,383
25-272,25272,PI,NULL,387
25-273,25273,PI,NULL,255
25-274,25274,PI,NULL,480
25-275,25275,PI,NULL,0
25-276,25276,PI,NULL,17
25-277,25277,PI,NULL,386
25-278,25278,PI,NULL,140
25-279,25279,PI,NULL,334
25-280,25280,PI,NULL,408
25-281,25281,PI,NULL,271
25-282,25282,PI,NULL,393
25-283,25283,PI,NULL,221
25-284,25284,PI,NULL,210
25-285,25285,PI,NULL,512
25-286,25286,PI,NULL,380
25-287,25287,PI,NULL,4
25-288,25288,PI,NULL,399
25-289,25289,PI,NULL,0
25-290,25290,PI,NULL,32
25-291,25291,PI,NULL,84
25-292,25292,PI,NULL,400
25-293,25293,PI,NULL,371
26-301,26301,PI,NULL,154
26-302,26302,PI,NULL,573
26-303,26303,PI,NULL,507
26-304,26304,PI,NULL,594
26-305,26305,PI,NULL,533
26-315,26315,PI,NULL,458
26-316,26316,PI,NULL,493
26-317,26317,PI,NULL,424
26-318,26318,PI,NULL,354
26-319,26319,PI,NULL,375
26-320,26320,PI,NULL,410
26-321,26321,PI,NULL,537
26-322,26322,PI,NULL,476
26-323,26323,PI,NULL,464
26-324,26324,PI,NULL,443
26-325,26325,PI,NULL,382
26-326,26326,PI,NULL,461
26-327,26327,PI,NULL,429
26-328,26328,PI,NULL,351
26-329,26329,PI,NULL,446
26-330,26330,PI,NULL,277
26-331,26331,PI,NULL,115
26-332,26332,PI,NULL,359
26-333,26333,PI,NULL,409
26-334,26334,PI,NULL,381
26-335,26335,PI,NULL,350
26-336,26336,PI,NULL,467
26-337,26337,PI,NULL,428
26-338,26338,PI,NULL,332
26-339,26339,PI,NULL,71
26-340,26340,PI,NULL,473
26-341,26341,PI,NULL,390
26-342,26342,PI,NULL,462
26-343,26343,PI,NULL,380
26-344,26344,PI,NULL,55
26-345,26345,PI,NULL,399
26-346,26346,PI,NULL,358
26-347,26347,PI,NULL,341
26-348,26348,PI,NULL,412
26-349,26349,PI,NULL,406
26-350,26350,PI,NULL,422
26-351,26351,PI,NULL,394
26-352,26352,PI,NULL,405
27-401,27401,PI,NULL,211
27-404,27404,PI,NULL,142
27-405,27405,PI,NULL,444
27-406,27406,PI,NULL,538
27-407,27407,PI,NULL,416
27-408,27408,PI,NULL,435
27-409,27409,PI,NULL,418
27-410,27410,PI,NULL,450
27-411,27411,PI,NULL,488
27-412,27412,PI,NULL,386
27-413,27413,PI,NULL,418
27-414,27414,PI,NULL,449
27-415,27415,PI,NULL,463
27-416,27416,PI,NULL,439
27-417,27417,PI,NULL,465
27-418,27418,PI,NULL,397
27-419,27419,PI,NULL,415
27-420,27420,PI,NULL,489
27-421,27421,PI,NULL,370
27-422,27422,PI,NULL,541
27-423,27423,PI,NULL,469
27-424,27424,PI,NULL,415
27-425,27425,PI,NULL,368
27-426,27426,PI,NULL,385
27-427,27427,PI,NULL,374
27-428,27428,PI,NULL,366
27-429,27429,PI,NULL,384
27-430,27430,PI,NULL,399
27-431,27431,PI,NULL,163
27-432,27432,PI,NULL,369
27-433,27433,PI,NULL,372
27-434,27434,PI,NULL,364
27-435,27435,PI,NULL,389
27-436,27436,PI,NULL,373
27-437,27437,PI,NULL,350
27-438,27438,PI,NULL,344
27-439,27439,PI,NULL,333
27-440,27440,PI,NULL,386
27-441,27441,PI,NULL,313
27-442,27442,PI,NULL,256
27-443,27443,PI,NULL,272
27-444,27444,PI,NULL,322
27-445,27445,PI,NULL,313
27-446,27446,PI,NULL,324
27-447,27447,PI,NULL,353
27-448,27448,PI,NULL,10
27-449,27449,PI,NULL,379
27-450,27450,PI,NULL,396
27-451,27451,PI,NULL,291
27-452,27452,PI,NULL,336
27-453,27453,PI,NULL,257
27-454,27454,PI,NULL,361
27-455,27455,PI,NULL,302
27-456,27456,PI,NULL,270
27-457,27457,PI,NULL,326
27-458,27458,PI,NULL,232
27-459,27459,PI,NULL,223
27-460,27460,PI,NULL,374
27-461,27461,PI,NULL,433
27-462,27462,PI,NULL,404
27-463,27463,PI,NULL,302
27-464,27464,PI,NULL,338
27-465,27465,PI,NULL,299
27-466,27466,PI,NULL,344
27-467,27467,PI,NULL,336
27-468,27468,PI,NULL,309
27-471,27471,PI,NULL,14
27-475,27475,PI,NULL,323
27-476,27476,PI,NULL,257
27-477,27477,PI,NULL,354
28-501,28501,PI,NULL,457
28-502,28502,PI,NULL,468
28-503,28503,PI,NULL,475
28-504,28504,PI,NULL,431
28-505,28505,PI,NULL,486
28-506,28506,PI,NULL,469
28-507,28507,PI,NULL,386
28-508,28508,PI,NULL,204
28-509,28509,PI,NULL,0
28-515,28515,PI,NULL,456
28-516,28516,PI,NULL,439
28-517,28517,PI,NULL,478
28-518,28518,PI,NULL,450
28-519,28519,PI,NULL,451
28-520,28520,PI,NULL,450
28-521,28521,PI,NULL,475
28-522,28522,PI,NULL,473
28-523,28523,PI,NULL,468
28-524,28524,PI,NULL,500
28-525,28525,PI,NULL,531
28-526,28526,PI,NULL,331
28-527,28527,PI,NULL,546
28-528,28528,PI,NULL,459
28-529,28529,PI,NULL,359
28-530,28530,PI,NULL,201
28-531,28531,PI,NULL,400
28-535,28535,PI,NULL,476
28-536,28536,PI,NULL,436
28-537,28537,PI,NULL,464
28-538,28538,PI,NULL,379
28-540,28540,PI,NULL,545
28-541,28541,PI,NULL,402
28-542,28542,PI,NULL,406
28-543,28543,PI,NULL,360
28-545,28545,PI,NULL,430
28-546,28546,PI,NULL,416
28-547,28547,PI,NULL,532
28-548,28548,PI,NULL,346
28-549,28549,PI,NULL,381
28-550,28550,PI,NULL,313
28-551,28551,PI,NULL,520
28-552,28552,PI,NULL,461
28-553,28553,PI,NULL,447
28-554,28554,PI,NULL,420
28-555,28555,PI,NULL,490
28-556,28556,PI,NULL,346
28-557,28557,PI,NULL,348
28-558,28558,PI,NULL,334
28-559,28559,PI,NULL,351
28-560,28560,PI,NULL,470
28-561,28561,PI,NULL,273
28-562,28562,PI,NULL,220
28-563,28563,PI,NULL,130
28-565,28565,PI,NULL,334
28-566,28566,PI,NULL,351
28-567,28567,PI,NULL,390
28-568,28568,PI,NULL,390
28-570,28570,PI,NULL,5
28-571,28571,PI,NULL,6
28-572,28572,PI,NULL,362
28-573,28573,PI,NULL,249
28-574,28574,PI,NULL,83
28-575,28575,PI,NULL,2
28-576,28576,PI,NULL,373
28-577,28577,PI,NULL,16
28-578,28578,PI,NULL,79
28-579,28579,PI,NULL,63
28-580,28580,PI,NULL,58
28-581,28581,PI,NULL,223
28-582,28582,PI,NULL,147
28-583,28583,PI,NULL,223
28-584,28584,PI,NULL,258
28-585,28585,PI,NULL,394
28-586,28586,PI,NULL,345
28-587,28587,PI,NULL,243
28-588,28588,PI,NULL,353
28-589,28589,PI,NULL,364
28-590,28590,PI,NULL,9
29-600,29600,PI,NULL,0
29-601,29601,PI,NULL,271
29-602,29602,PI,NULL,241
29-603,29603,PI,NULL,316
29-604,29604,PI,NULL,308
29-605,29605,PI,NULL,254
29-606,29606,PI,NULL,333
29-607,29607,PI,NULL,384
29-608,29608,PI,NULL,271
29-609,29609,PI,NULL,219
29-610,29610,PI,NULL,309
29-611,29611,PI,NULL,68
29-612,29612,PI,NULL,171
29-613,29613,PI,NULL,354
29-614,29614,PI,NULL,358
29-615,29615,PI,NULL,366
29-616,29616,PI,NULL,312
29-617,29617,PI,NULL,312
29-618,29618,PI,NULL,279
29-619,29619,PI,NULL,305
29-620,29620,PI,NULL,177
29-621,29621,PI,NULL,1
29-622,29622,PI,NULL,248
29-623,29623,PI,NULL,73
29-624,29624,PI,NULL,0
29-625,29625,PI,NULL,4
29-626,29626,PI,NULL,9
29-627,29627,PI,NULL,0
29-633,29633,PI,NULL,30
29-635,29635,PI,NULL,82
29-636,29636,PI,NULL,386
29-637,29637,PI,NULL,296
29-638,29638,PI,NULL,167
29-639,29639,PI,NULL,303
29-640,29640,PI,NULL,310
29-641,29641,PI,NULL,327
29-642,29642,PI,NULL,343
29-643,29643,PI,NULL,31
29-648,29648,PI,NULL,7
29-649,29649,PI,NULL,101
29-650,29650,PI,NULL,319
29-651,29651,PI,NULL,367
29-652,29652,PI,NULL,35
29-653,29653,PI,NULL,311
29-654,29654,PI,NULL,362
29-655,29655,PI,NULL,142
29-656,29656,PI,NULL,301
29-657,29657,PI,NULL,6
29-658,29658,PI,NULL,290
29-659,29659,PI,NULL,189
29-660,29660,PI,NULL,398
29-661,29661,PI,NULL,273
