Row Label,PrecinctCode,County,Registered Voters,Brian Dansel,Tony Booth
Total,-1,ST,NULL,11381,4483
ADDY,1,ST,NULL,284,115
CAMAS,3,ST,NULL,223,110
CAMAS PRAIRIE,4,ST,NULL,136,69
COLUMBIA,5,ST,NULL,336,156
COLVILLE VALLEY,6,ST,NULL,476,139
DAISY,7,ST,NULL,145,38
ECHO,8,ST,NULL,302,96
EVANS,9,ST,NULL,177,52
HUNTERS,10,ST,NULL,232,136
KELLY HILL,11,ST,NULL,85,29
LOON LAKE 1,12,ST,NULL,303,136
LOON LAKE 2,13,ST,NULL,149,91
MILL CREEK,14,ST,NULL,113,55
NARCISSE,15,ST,NULL,350,122
ONION CREEK,16,ST,NULL,92,42
RICE,19,ST,NULL,164,39
ROCK CUT,20,ST,NULL,59,27
SUMMIT,21,ST,NULL,164,94
FIRST THOUGHT,22,ST,NULL,43,17
WELLPINIT,24,ST,NULL,73,59
WILLIAMS VALLEY,25,ST,NULL,302,136
TUM TUM 1,26,ST,NULL,152,57
TUM TUM 2,27,ST,NULL,300,99
WALKERS PRAIRIE,28,ST,NULL,134,108
STONE LODGE,29,ST,NULL,227,107
TUM TUM 3,39,ST,NULL,330,134
TUM TUM 4,40,ST,NULL,195,88
TUM TUM 5,41,ST,NULL,211,106
MEYERS FALLS 1,42,ST,NULL,246,66
MEYERS FALLS 2,43,ST,NULL,379,116
QUARTZITE 1,44,ST,NULL,377,167
QUARTZITE 2,45,ST,NULL,200,81
VALLEY 1,46,ST,NULL,36,22
VALLEY 2,47,ST,NULL,153,70
ARDEN 1,48,ST,NULL,258,75
ARDEN 2,49,ST,NULL,285,91
CLAYTON 1,50,ST,NULL,162,69
CLAYTON 2,51,ST,NULL,268,118
ORIN 1,52,ST,NULL,215,56
ORIN 2,53,ST,NULL,257,90
WAITTS LAKE,54,ST,NULL,226,121
ECHO VALLEY,55,ST,NULL,171,46
CHEWELAH 1,101,ST,NULL,184,79
CHEWELAH 2,102,ST,NULL,99,38
CHEWELAH 3,103,ST,NULL,135,74
CHEWELAH FORE,104,ST,NULL,119,42
COLVILLE 1,105,ST,NULL,106,32
COLVILLE 2,106,ST,NULL,147,42
COLVILLE 3,107,ST,NULL,145,50
COLVILLE 4,108,ST,NULL,305,97
COLVILLE 5,109,ST,NULL,250,87
COLVILLE 6,110,ST,NULL,163,43
COLVILLE 7,111,ST,NULL,163,52
KETTLE FALLS 1,114,ST,NULL,267,71
KETTLE FALLS 2,115,ST,NULL,165,43
MARCUS,116,ST,NULL,40,26
NORTHPORT,117,ST,NULL,70,32
SPRINGDALE,118,ST,NULL,33,30
