Row Label,PrecinctCode,County,Registered Voters,Deanna Jo Panattoni,Brett Wachsmith
Total,-1,KS,NULL,5240,5825
CLE ELUM 1,1,KS,NULL,99,76
CLE ELUM 2,2,KS,NULL,49,48
CLE ELUM 3,3,KS,NULL,28,26
CLE ELUM 4,4,KS,NULL,128,105
DENMARK,5,KS,NULL,188,252
EAST SANDERS,6,KS,NULL,141,181
EASTON,7,KS,NULL,191,122
ELLENSBURG 1,8,KS,NULL,20,22
ELLENSBURG 2,9,KS,NULL,28,38
ELLENSBURG 4,11,KS,NULL,13,28
ELLENSBURG 5,12,KS,NULL,30,44
ELLENSBURG 6,13,KS,NULL,26,30
ELLENSBURG 7,14,KS,NULL,24,23
ELLENSBURG 8,15,KS,NULL,29,41
ELLENSBURG 9,16,KS,NULL,29,54
ELLENSBURG 10,17,KS,NULL,56,74
ELLENSBURG 11,18,KS,NULL,53,70
ELLENSBURG 12,19,KS,NULL,42,65
ELLENSBURG 13,20,KS,NULL,32,54
ELLENSBURG 14,21,KS,NULL,54,76
ELLENSBURG 15,22,KS,NULL,60,93
ELLENSBURG 16,23,KS,NULL,84,144
ELLENSBURG 17,24,KS,NULL,86,79
ELLENSBURG 18,25,KS,NULL,14,14
ELLENSBURG 19,26,KS,NULL,118,139
ELLENSBURG 20,27,KS,NULL,32,39
ELLENSBURG 21,28,KS,NULL,47,62
ELLENSBURG 22,29,KS,NULL,75,94
ELLENSBURG 23,30,KS,NULL,99,93
ELLENSBURG 24,31,KS,NULL,165,186
HYAK,32,KS,NULL,51,26
KITTITAS 1,33,KS,NULL,59,66
MANASTASH,34,KS,NULL,97,162
MOUNTAIN,35,KS,NULL,68,58
NORTH CENTRAL,36,KS,NULL,104,158
NORTH ELLENSBURG,37,KS,NULL,160,250
PARK,38,KS,NULL,139,192
PEOH POINT,39,KS,NULL,145,141
RIDGEWAY,40,KS,NULL,210,265
ROSLYN 1,41,KS,NULL,84,44
ROSLYN 2,42,KS,NULL,78,37
DRY CREEK,43,KS,NULL,162,192
WESTSIDE,44,KS,NULL,215,129
ROSLYN OUTLYING,45,KS,NULL,25,26
SANDERS,46,KS,NULL,71,75
SOUTH CLE ELUM,47,KS,NULL,92,75
SOUTH ELLENSBURG,48,KS,NULL,167,241
SWAUK,50,KS,NULL,96,85
TEANAWAY,51,KS,NULL,156,116
THORP,52,KS,NULL,149,123
VANTAGE,53,KS,NULL,14,9
FAIRVIEW,54,KS,NULL,95,122
NORTHEAST FAIRVIEW,55,KS,NULL,165,167
THRALL,56,KS,NULL,117,170
DAMMAN,58,KS,NULL,116,215
KACHESS,59,KS,NULL,68,23
KITTITAS 2,60,KS,NULL,78,66
ELLENSBURG 25,61,KS,NULL,136,179
RONALD,62,KS,NULL,83,41
