Row Label,PrecinctCode,County,Registered Voters,Rich Melnick
Total,-1,CZ,NULL,19016
Alabama,1,CZ,NULL,220
Ammons,2,CZ,NULL,202
Arkansas,3,CZ,NULL,124
Bakers,4,CZ,NULL,12
Baltimore,5,CZ,NULL,304
Beacon,6,CZ,NULL,398
Boondox,7,CZ,NULL,10
Brynion,8,CZ,NULL,217
Burcham,9,CZ,NULL,518
Caples,10,CZ,NULL,99
Carrolls,11,CZ,NULL,297
Castle Rock,12,CZ,NULL,388
Chinook,13,CZ,NULL,322
Cloverdale,14,CZ,NULL,233
Coal Creek,15,CZ,NULL,362
Columbia Heights,16,CZ,NULL,177
Columbia Valley Gdns,17,CZ,NULL,219
Crawford,18,CZ,NULL,297
Delameter,19,CZ,NULL,256
Douglas,20,CZ,NULL,236
Elk Ridge,21,CZ,NULL,3
Harris,22,CZ,NULL,264
Haussler,23,CZ,NULL,200
Hillcrest,24,CZ,NULL,506
Hudson,25,CZ,NULL,354
Industrial,26,CZ,NULL,0
Kalama North,27,CZ,NULL,244
Kalama South,28,CZ,NULL,308
Kessler,29,CZ,NULL,374
Lake,30,CZ,NULL,274
Laurel,31,CZ,NULL,343
Lewis River,32,CZ,NULL,357
Lexington,33,CZ,NULL,298
Lone Oak,34,CZ,NULL,166
Magnolia,35,CZ,NULL,462
Marigold,36,CZ,NULL,422
McGowan,37,CZ,NULL,65
Memorial,38,CZ,NULL,206
Mill,39,CZ,NULL,395
Mint Valley,40,CZ,NULL,474
Modrow,41,CZ,NULL,245
Mt. Solo,42,CZ,NULL,90
Nevada,43,CZ,NULL,270
Ocean Beach,44,CZ,NULL,283
Olson,45,CZ,NULL,196
Ostrander,46,CZ,NULL,315
Owl Creek,47,CZ,NULL,373
Pacific,48,CZ,NULL,336
Ponderosa,49,CZ,NULL,265
Powell,50,CZ,NULL,273
Redpath,51,CZ,NULL,236
Ridgecrest,52,CZ,NULL,22
Robbins,53,CZ,NULL,427
Rose Valley,54,CZ,NULL,191
Ryderwood,55,CZ,NULL,138
Sacajawea,56,CZ,NULL,539
Sandy Bend,57,CZ,NULL,264
Silver Lake,58,CZ,NULL,470
Sparks,59,CZ,NULL,184
St. Helens,60,CZ,NULL,153
Stella,61,CZ,NULL,271
Toutle,62,CZ,NULL,378
Tower,63,CZ,NULL,431
Tunstall,64,CZ,NULL,107
View,65,CZ,NULL,198
West Kelso,66,CZ,NULL,94
Willow Grove,67,CZ,NULL,90
Windemere,68,CZ,NULL,422
Woodage,69,CZ,NULL,213
Woodland North,70,CZ,NULL,388
Woodland South,71,CZ,NULL,329
Yale,72,CZ,NULL,219
