Row Label,PrecinctCode,County,Registered Voters,Jim DeTro
PICKENS MTN,163,OK,NULL,29
RANCHES,164,OK,NULL,16
SIWASH CREEK,165,OK,NULL,35
SPECTACLE LAKE,166,OK,NULL,40
HIGHWAY,167,OK,NULL,18
WHISKY MTN,168,OK,NULL,14
YARNELL,169,OK,NULL,25
TONASKET #4,170,OK,NULL,31
TONASKET #5,171,OK,NULL,24
TONASKET #6,172,OK,NULL,25
TONASKET #7,173,OK,NULL,43
LEECHER MTN,174,OK,NULL,48
ALTA LAKE,175,OK,NULL,35
STARR,176,OK,NULL,29
PATEROS #3,177,OK,NULL,21
RAT LAKE,178,OK,NULL,31
BREWSTER FLAT,179,OK,NULL,36
BREWSTER #3,180,OK,NULL,29
BREWSTER #4,181,OK,NULL,15
BREWSTER #5,182,OK,NULL,26
BREWSTER #6,183,OK,NULL,19
PIONEER,184,OK,NULL,45
COLEMAN BUTTE,185,OK,NULL,42
ASTON,186,OK,NULL,24
WEST RIVER,187,OK,NULL,24
OMAK RIVER,188,OK,NULL,40
CHEROKEE,189,OK,NULL,53
NICHOLS,190,OK,NULL,29
LONE PINE,191,OK,NULL,19
OMAK MTN,192,OK,NULL,18
OMAK LAKE,193,OK,NULL,25
FIKER,194,OK,NULL,37
ROSS CANYON,195,OK,NULL,42
HENDRICK,196,OK,NULL,61
DIXON,197,OK,NULL,42
KERMEL,198,OK,NULL,49
GLOVER,199,OK,NULL,54
FLETCHER,200,OK,NULL,40
MOCK,201,OK,NULL,42
OMAK #10,202,OK,NULL,46
OMAK #11,203,OK,NULL,67
OMAK #12,204,OK,NULL,43
OMAK #13,205,OK,NULL,31
OMAK #14,206,OK,NULL,27
OMAK #15,207,OK,NULL,52
OMAK #16,208,OK,NULL,37
OMAK #17,209,OK,NULL,54
OMAK #18,210,OK,NULL,26
OMAK #19,211,OK,NULL,29
OMAK #20,212,OK,NULL,42
OMAK #21,213,OK,NULL,28
OMAK #22,214,OK,NULL,38
OMAK #23,215,OK,NULL,20
OMAK #24,216,OK,NULL,32
OKANOGAN #5,217,OK,NULL,40
OKANOGAN #6,218,OK,NULL,42
OKANOGAN #7,219,OK,NULL,20
OKANOGAN #8,220,OK,NULL,28
OKANOGAN #9,221,OK,NULL,39
OKANOGAN #10,222,OK,NULL,42
OKANOGAN #11,223,OK,NULL,48
OKANOGAN #12,224,OK,NULL,24
OKANOGAN #13,225,OK,NULL,21
AVIATION,226,OK,NULL,24
SUNSET LAKES,236,OK,NULL,16
FLATS,237,OK,NULL,41
