Row Label,PrecinctCode,County,Registered Voters,Yes,No
Total,-1,SK,NULL,19987,19775
ALDER,101,SK,NULL,168,82
ALGER,102,SK,NULL,160,130
ALLEN,103,SK,NULL,135,80
DUNBAR,104,SK,NULL,48,41
AVON,105,SK,NULL,192,191
SAUK,107,SK,NULL,256,167
BAY VIEW,108,SK,NULL,181,207
BELFAST,109,SK,NULL,140,107
BIG LAKE,110,SK,NULL,325,265
BIRDSVIEW,111,SK,NULL,297,144
BOW,113,SK,NULL,250,307
CASCADE,114,SK,NULL,48,45
CEDARDALE,115,SK,NULL,89,67
CLEAR LAKE,116,SK,NULL,237,189
COUNTRY CLUB,117,SK,NULL,94,94
CONWAY,118,SK,NULL,91,100
DEWEY,119,SK,NULL,405,394
DIGBY,120,SK,NULL,27,9
DODGE VALLEY,121,SK,NULL,72,110
EDISON,122,SK,NULL,132,146
FIR,124,SK,NULL,90,93
FRUITDALE,125,SK,NULL,119,78
GEAR,126,SK,NULL,283,191
GUEMES,127,SK,NULL,120,283
HAMBURG,128,SK,NULL,84,103
HARMONY,129,SK,NULL,133,152
LAKE SIXTEEN,130,SK,NULL,107,117
LOOKOUT,132,SK,NULL,295,224
MANSFORD,133,SK,NULL,51,18
MAPES,134,SK,NULL,87,74
MARCH POINT,135,SK,NULL,16,13
MCMURRAY WEST,136,SK,NULL,121,100
MCRAE,137,SK,NULL,430,218
MCMURRAY EAST,138,SK,NULL,48,58
MINKLER,139,SK,NULL,194,112
MONTBORNE,140,SK,NULL,301,254
NOOKACHAMPS,141,SK,NULL,141,112
SKYRIDGE,144,SK,NULL,200,211
PRAIRIE,145,SK,NULL,291,162
POINT WILLIAMS,146,SK,NULL,139,219
RIDGEWAY,147,SK,NULL,154,148
ROCKPORT,148,SK,NULL,196,170
SHELTER BAY,149,SK,NULL,216,306
SNEE OOSH,150,SK,NULL,134,234
STERLING,151,SK,NULL,83,39
SWINOMISH,153,SK,NULL,191,267
TINGLEY,154,SK,NULL,166,82
VAN FLEET,155,SK,NULL,251,120
VEDERE,156,SK,NULL,132,161
WHITNEY,157,SK,NULL,68,104
ROSARIO,158,SK,NULL,319,351
TERRACE,159,SK,NULL,310,375
STARBIRD,160,SK,NULL,243,143
FIDALGO,164,SK,NULL,302,269
GAGES,165,SK,NULL,63,38
SAMISH,166,SK,NULL,193,117
COLLINS,167,SK,NULL,167,95
BLANCHARD(*),168,SK,NULL,0,0
VIEW TERRACE(*),170,SK,NULL,0,0
LAKE CAVANAUGH,171,SK,NULL,82,55
LITTLE MOUNTAIN,172,SK,NULL,110,95
RIVERBEND,173,SK,NULL,7,12
PADILLA,174,SK,NULL,57,57
FREDONIA,176,SK,NULL,44,41
ANACORTES  1,201,SK,NULL,142,239
ANACORTES  4,204,SK,NULL,125,167
ANACORTES 5,205,SK,NULL,9,4
ANACORTES  6,206,SK,NULL,234,200
ANACORTES  7,207,SK,NULL,398,470
ANACORTES  9,209,SK,NULL,211,280
ANACORTES 11,211,SK,NULL,263,338
ANACORTES 17,217,SK,NULL,316,456
ANACORTES 20,220,SK,NULL,335,403
ANACORTES 21,221,SK,NULL,404,549
ANACORTES 22,222,SK,NULL,303,334
ANACORTES 24,224,SK,NULL,459,577
MOUNT VERNON  1,301,SK,NULL,94,81
MOUNT VERNON  2,302,SK,NULL,98,95
MOUNT VERNON  3,303,SK,NULL,182,195
MOUNT VERNON  4,304,SK,NULL,329,260
MOUNT VERNON  5,305,SK,NULL,64,55
MOUNT VERNON  6,306,SK,NULL,122,211
MOUNT VERNON  7,307,SK,NULL,145,304
MOUNT VERNON  8,308,SK,NULL,329,405
MOUNT VERNON  9,309,SK,NULL,105,114
MOUNT VERNON 10,310,SK,NULL,116,104
MOUNT VERNON 11,311,SK,NULL,160,233
MOUNT VERNON 12,312,SK,NULL,94,93
MOUNT VERNON 14,314,SK,NULL,232,293
MOUNT VERNON 15,315,SK,NULL,127,138
MOUNT VERNON 16,316,SK,NULL,235,347
MOUNT VERNON 19,319,SK,NULL,213,269
MOUNT VERNON 21,321,SK,NULL,339,347
MOUNT VERNON 22,322,SK,NULL,387,391
MOUNT VERNON 27,327,SK,NULL,73,59
MOUNT VERNON 30,330,SK,NULL,229,277
SEDRO WOOLLEY  1,401,SK,NULL,249,177
SEDRO WOOLLEY  2,402,SK,NULL,274,181
SEDRO WOOLLEY  3,403,SK,NULL,187,115
SEDRO WOOLLEY  4,404,SK,NULL,246,179
SEDRO WOOLLEY  5,405,SK,NULL,338,236
SEDRO WOOLLEY  6,406,SK,NULL,247,157
SEDRO WOOLLEY  7,407,SK,NULL,4,4
BURLINGTON 1,501,SK,NULL,95,101
BURLINGTON 2,502,SK,NULL,144,96
BURLINGTON 3,503,SK,NULL,42,58
BURLINGTON 4,504,SK,NULL,180,137
BURLINGTON 5,505,SK,NULL,202,218
BURLINGTON 6,506,SK,NULL,113,105
BURLINGTON 7,507,SK,NULL,129,113
CONCRETE,601,SK,NULL,106,71
HAMILTON,701,SK,NULL,44,17
LA CONNER,801,SK,NULL,152,259
LYMAN,855,SK,NULL,66,40
