Row Label,PrecinctCode,County,Registered Voters,Debra L. Stephens,John (Zamboni) Scannell
Total,-1,KS,NULL,6768,2486
CLE ELUM 1,1,KS,NULL,90,49
CLE ELUM 2,2,KS,NULL,59,22
CLE ELUM 3,3,KS,NULL,37,9
CLE ELUM 4,4,KS,NULL,136,70
DENMARK,5,KS,NULL,275,80
EAST SANDERS,6,KS,NULL,201,55
EASTON,7,KS,NULL,155,106
ELLENSBURG 1,8,KS,NULL,29,17
ELLENSBURG 2,9,KS,NULL,56,12
ELLENSBURG 4,11,KS,NULL,27,9
ELLENSBURG 5,12,KS,NULL,48,23
ELLENSBURG 6,13,KS,NULL,43,12
ELLENSBURG 7,14,KS,NULL,30,12
ELLENSBURG 8,15,KS,NULL,47,20
ELLENSBURG 9,16,KS,NULL,51,21
ELLENSBURG 10,17,KS,NULL,81,21
ELLENSBURG 11,18,KS,NULL,76,20
ELLENSBURG 12,19,KS,NULL,72,17
ELLENSBURG 13,20,KS,NULL,73,10
ELLENSBURG 14,21,KS,NULL,90,19
ELLENSBURG 15,22,KS,NULL,95,24
ELLENSBURG 16,23,KS,NULL,147,51
ELLENSBURG 17,24,KS,NULL,116,49
ELLENSBURG 18,25,KS,NULL,20,10
ELLENSBURG 19,26,KS,NULL,192,56
ELLENSBURG 20,27,KS,NULL,54,16
ELLENSBURG 21,28,KS,NULL,77,24
ELLENSBURG 22,29,KS,NULL,98,40
ELLENSBURG 23,30,KS,NULL,117,51
ELLENSBURG 24,31,KS,NULL,237,66
HYAK,32,KS,NULL,55,25
KITTITAS 1,33,KS,NULL,68,32
MANASTASH,34,KS,NULL,139,57
MOUNTAIN,35,KS,NULL,69,30
NORTH CENTRAL,36,KS,NULL,139,61
NORTH ELLENSBURG,37,KS,NULL,235,82
PARK,38,KS,NULL,200,73
PEOH POINT,39,KS,NULL,162,78
RIDGEWAY,40,KS,NULL,270,95
ROSLYN 1,41,KS,NULL,97,37
ROSLYN 2,42,KS,NULL,82,35
DRY CREEK,43,KS,NULL,217,92
WESTSIDE,44,KS,NULL,211,88
ROSLYN OUTLYING,45,KS,NULL,38,7
SANDERS,46,KS,NULL,78,24
SOUTH CLE ELUM,47,KS,NULL,98,61
SOUTH ELLENSBURG,48,KS,NULL,263,49
SWAUK,50,KS,NULL,105,47
TEANAWAY,51,KS,NULL,154,61
THORP,52,KS,NULL,171,62
VANTAGE,53,KS,NULL,13,7
FAIRVIEW,54,KS,NULL,113,41
NORTHEAST FAIRVIEW,55,KS,NULL,182,93
THRALL,56,KS,NULL,165,53
DAMMAN,58,KS,NULL,180,65
KACHESS,59,KS,NULL,60,20
KITTITAS 2,60,KS,NULL,87,34
ELLENSBURG 25,61,KS,NULL,210,57
RONALD,62,KS,NULL,78,29
