Row Label,PrecinctCode,County,Registered Voters,Kelli E. Osler
Total,-1,CR,NULL,78477
100,100,CR,NULL,404
102,102,CR,NULL,320
104,104,CR,NULL,389
106,106,CR,NULL,346
108,108,CR,NULL,371
110,110,CR,NULL,390
112,112,CR,NULL,37
113,113,CR,NULL,223
120,120,CR,NULL,458
130,130,CR,NULL,386
147,147,CR,NULL,315
150,150,CR,NULL,248
153,153,CR,NULL,272
160,160,CR,NULL,317
170,170,CR,NULL,305
175,175,CR,NULL,286
180,180,CR,NULL,333
190,190,CR,NULL,399
200,200,CR,NULL,411
220,220,CR,NULL,295
225,225,CR,NULL,516
240,240,CR,NULL,446
245,245,CR,NULL,419
250,250,CR,NULL,473
255,255,CR,NULL,404
257,257,CR,NULL,414
290,290,CR,NULL,384
294,294,CR,NULL,254
296,296,CR,NULL,287
298,298,CR,NULL,237
325,325,CR,NULL,296
327,327,CR,NULL,415
330,330,CR,NULL,402
335,335,CR,NULL,316
337,337,CR,NULL,345
338,338,CR,NULL,381
340,340,CR,NULL,393
350,350,CR,NULL,326
360,360,CR,NULL,378
370,370,CR,NULL,283
390,390,CR,NULL,467
395,395,CR,NULL,109
400,400,CR,NULL,231
410,410,CR,NULL,439
415,415,CR,NULL,294
420,420,CR,NULL,386
423,423,CR,NULL,322
424,424,CR,NULL,456
425,425,CR,NULL,293
426,426,CR,NULL,528
430,430,CR,NULL,287
432,432,CR,NULL,295
434,434,CR,NULL,264
435,435,CR,NULL,267
436,436,CR,NULL,226
440,440,CR,NULL,387
441,441,CR,NULL,387
444,444,CR,NULL,487
445,445,CR,NULL,489
446,446,CR,NULL,375
447,447,CR,NULL,465
448,448,CR,NULL,481
449,449,CR,NULL,511
450,450,CR,NULL,469
451,451,CR,NULL,378
452,452,CR,NULL,344
453,453,CR,NULL,362
455,455,CR,NULL,287
456,456,CR,NULL,530
460,460,CR,NULL,566
470,470,CR,NULL,504
480,480,CR,NULL,516
483,483,CR,NULL,538
485,485,CR,NULL,243
487,487,CR,NULL,191
490,490,CR,NULL,266
491,491,CR,NULL,26
500,500,CR,NULL,408
502,502,CR,NULL,337
503,503,CR,NULL,286
505,505,CR,NULL,441
510,510,CR,NULL,263
511,511,CR,NULL,24
515,515,CR,NULL,444
520,520,CR,NULL,211
521,521,CR,NULL,6
522,522,CR,NULL,140
523,523,CR,NULL,4
524,524,CR,NULL,39
525,525,CR,NULL,242
527,527,CR,NULL,310
528,528,CR,NULL,329
530,530,CR,NULL,157
535,535,CR,NULL,478
536,536,CR,NULL,233
537,537,CR,NULL,157
538,538,CR,NULL,190
540,540,CR,NULL,402
543,543,CR,NULL,353
545,545,CR,NULL,272
550,550,CR,NULL,434
553,553,CR,NULL,367
555,555,CR,NULL,451
560,560,CR,NULL,387
563,563,CR,NULL,440
565,565,CR,NULL,320
566,566,CR,NULL,266
570,570,CR,NULL,380
571,571,CR,NULL,367
572,572,CR,NULL,496
573,573,CR,NULL,489
574,574,CR,NULL,16
575,575,CR,NULL,118
576,576,CR,NULL,3
577,577,CR,NULL,491
578,578,CR,NULL,32
579,579,CR,NULL,15
580,580,CR,NULL,256
581,581,CR,NULL,189
582,582,CR,NULL,309
583,583,CR,NULL,300
584,584,CR,NULL,363
585,585,CR,NULL,458
586,586,CR,NULL,341
587,587,CR,NULL,316
588,588,CR,NULL,229
590,590,CR,NULL,499
591,591,CR,NULL,480
592,592,CR,NULL,453
593,593,CR,NULL,385
594,594,CR,NULL,13
595,595,CR,NULL,205
596,596,CR,NULL,0
597,597,CR,NULL,40
598,598,CR,NULL,10
600,600,CR,NULL,204
603,603,CR,NULL,200
605,605,CR,NULL,349
606,606,CR,NULL,66
610,610,CR,NULL,506
613,613,CR,NULL,163
615,615,CR,NULL,165
617,617,CR,NULL,392
618,618,CR,NULL,398
620,620,CR,NULL,418
624,624,CR,NULL,100
625,625,CR,NULL,386
626,626,CR,NULL,380
627,627,CR,NULL,398
628,628,CR,NULL,440
629,629,CR,NULL,349
630,630,CR,NULL,318
631,631,CR,NULL,441
632,632,CR,NULL,208
633,633,CR,NULL,370
634,634,CR,NULL,347
635,635,CR,NULL,302
636,636,CR,NULL,321
638,638,CR,NULL,351
639,639,CR,NULL,356
640,640,CR,NULL,405
641,641,CR,NULL,152
642,642,CR,NULL,173
643,643,CR,NULL,383
644,644,CR,NULL,400
645,645,CR,NULL,468
646,646,CR,NULL,200
647,647,CR,NULL,254
648,648,CR,NULL,324
649,649,CR,NULL,329
650,650,CR,NULL,393
651,651,CR,NULL,267
652,652,CR,NULL,359
653,653,CR,NULL,342
654,654,CR,NULL,277
655,655,CR,NULL,377
656,656,CR,NULL,199
658,658,CR,NULL,334
659,659,CR,NULL,391
660,660,CR,NULL,415
662,662,CR,NULL,402
663,663,CR,NULL,276
664,664,CR,NULL,403
667,667,CR,NULL,307
668,668,CR,NULL,374
669,669,CR,NULL,330
670,670,CR,NULL,410
672,672,CR,NULL,336
673,673,CR,NULL,423
674,674,CR,NULL,338
675,675,CR,NULL,248
677,677,CR,NULL,365
678,678,CR,NULL,293
679,679,CR,NULL,272
680,680,CR,NULL,305
681,681,CR,NULL,322
682,682,CR,NULL,356
683,683,CR,NULL,349
685,685,CR,NULL,102
686,686,CR,NULL,294
687,687,CR,NULL,375
688,688,CR,NULL,327
689,689,CR,NULL,412
690,690,CR,NULL,381
691,691,CR,NULL,389
692,692,CR,NULL,418
693,693,CR,NULL,241
694,694,CR,NULL,157
695,695,CR,NULL,420
696,696,CR,NULL,442
697,697,CR,NULL,502
698,698,CR,NULL,343
699,699,CR,NULL,338
700,700,CR,NULL,63
710,710,CR,NULL,185
720,720,CR,NULL,294
900,900,CR,NULL,346
903,903,CR,NULL,387
905,905,CR,NULL,397
910,910,CR,NULL,371
912,912,CR,NULL,335
913,913,CR,NULL,418
914,914,CR,NULL,400
917,917,CR,NULL,269
920,920,CR,NULL,311
925,925,CR,NULL,336
