Row Label,PrecinctCode,County,Registered Voters,Brian Blake,Hugh Fleet
Total,-1,CZ,NULL,12130,6944
Alabama,1,CZ,NULL,174,107
Ammons,2,CZ,NULL,207,148
Arkansas,3,CZ,NULL,120,95
Bakers,4,CZ,NULL,16,6
Baltimore,5,CZ,NULL,315,129
Beacon,6,CZ,NULL,401,235
Boondox,7,CZ,NULL,6,12
Burcham,9,CZ,NULL,505,252
Coal Creek,15,CZ,NULL,386,292
Columbia Heights,16,CZ,NULL,171,112
Columbia Valley Gdns,17,CZ,NULL,225,125
Crawford,18,CZ,NULL,270,159
Delameter,19,CZ,NULL,235,173
Douglas(*),20,CZ,NULL,0,0
Elk Ridge(*),21,CZ,NULL,0,0
Haussler,23,CZ,NULL,206,119
Hillcrest,24,CZ,NULL,487,307
Hudson,25,CZ,NULL,335,160
Industrial,26,CZ,NULL,0,0
Kessler,29,CZ,NULL,389,183
Lake,30,CZ,NULL,281,132
Laurel,31,CZ,NULL,372,225
Lexington,33,CZ,NULL,238,167
Lone Oak,34,CZ,NULL,173,123
Magnolia,35,CZ,NULL,497,247
Marigold,36,CZ,NULL,399,192
McGowan,37,CZ,NULL,66,43
Memorial,38,CZ,NULL,184,96
Mill,39,CZ,NULL,359,184
Mint Valley,40,CZ,NULL,478,215
Mt. Solo,42,CZ,NULL,98,47
Nevada,43,CZ,NULL,258,152
Ocean Beach,44,CZ,NULL,291,174
Olson,45,CZ,NULL,197,127
Pacific,48,CZ,NULL,330,166
Ponderosa,49,CZ,NULL,238,179
Redpath,51,CZ,NULL,253,100
Ridgecrest,52,CZ,NULL,20,16
Robbins,53,CZ,NULL,389,241
Ryderwood,55,CZ,NULL,109,108
Sacajawea,56,CZ,NULL,595,252
Sandy Bend,57,CZ,NULL,269,204
Sparks,59,CZ,NULL,164,127
St. Helens,60,CZ,NULL,152,63
Stella,61,CZ,NULL,265,185
View,65,CZ,NULL,214,111
West Kelso,66,CZ,NULL,68,46
Willow Grove,67,CZ,NULL,92,51
Windemere,68,CZ,NULL,410,258
