Row Label,PrecinctCode,County,Registered Voters,Kristina Kephart Swanson
Total,-1,CZ,NULL,20437
Alabama,1,CZ,NULL,223
Ammons,2,CZ,NULL,223
Arkansas,3,CZ,NULL,139
Bakers,4,CZ,NULL,14
Baltimore,5,CZ,NULL,342
Beacon,6,CZ,NULL,438
Boondox,7,CZ,NULL,11
Brynion,8,CZ,NULL,252
Burcham,9,CZ,NULL,549
Caples,10,CZ,NULL,107
Carrolls,11,CZ,NULL,310
Castle Rock,12,CZ,NULL,423
Chinook,13,CZ,NULL,359
Cloverdale,14,CZ,NULL,244
Coal Creek,15,CZ,NULL,404
Columbia Heights,16,CZ,NULL,188
Columbia Valley Gdns,17,CZ,NULL,232
Crawford,18,CZ,NULL,313
Delameter,19,CZ,NULL,276
Douglas,20,CZ,NULL,249
Elk Ridge,21,CZ,NULL,3
Harris,22,CZ,NULL,287
Haussler,23,CZ,NULL,217
Hillcrest,24,CZ,NULL,547
Hudson,25,CZ,NULL,370
Industrial,26,CZ,NULL,0
Kalama North,27,CZ,NULL,257
Kalama South,28,CZ,NULL,343
Kessler,29,CZ,NULL,413
Lake,30,CZ,NULL,297
Laurel,31,CZ,NULL,396
Lewis River,32,CZ,NULL,372
Lexington,33,CZ,NULL,307
Lone Oak,34,CZ,NULL,184
Magnolia,35,CZ,NULL,513
Marigold,36,CZ,NULL,443
McGowan,37,CZ,NULL,66
Memorial,38,CZ,NULL,220
Mill,39,CZ,NULL,411
Mint Valley,40,CZ,NULL,505
Modrow,41,CZ,NULL,271
Mt. Solo,42,CZ,NULL,95
Nevada,43,CZ,NULL,290
Ocean Beach,44,CZ,NULL,301
Olson,45,CZ,NULL,209
Ostrander,46,CZ,NULL,337
Owl Creek,47,CZ,NULL,424
Pacific,48,CZ,NULL,368
Ponderosa,49,CZ,NULL,271
Powell,50,CZ,NULL,301
Redpath,51,CZ,NULL,259
Ridgecrest,52,CZ,NULL,22
Robbins,53,CZ,NULL,437
Rose Valley,54,CZ,NULL,207
Ryderwood,55,CZ,NULL,142
Sacajawea,56,CZ,NULL,629
Sandy Bend,57,CZ,NULL,299
Silver Lake,58,CZ,NULL,504
Sparks,59,CZ,NULL,200
St. Helens,60,CZ,NULL,164
Stella,61,CZ,NULL,282
Toutle,62,CZ,NULL,388
Tower,63,CZ,NULL,473
Tunstall,64,CZ,NULL,118
View,65,CZ,NULL,221
West Kelso,66,CZ,NULL,92
Willow Grove,67,CZ,NULL,102
Windemere,68,CZ,NULL,469
Woodage,69,CZ,NULL,201
Woodland North,70,CZ,NULL,368
Woodland South,71,CZ,NULL,327
Yale,72,CZ,NULL,219
