Row Label,PrecinctCode,County,Registered Voters,Stephen E. Brown
Total,-1,GY,NULL,13257
Taholah 002,2,GY,NULL,155
Quinault 004,4,GY,NULL,89
Neilton 006,6,GY,NULL,49
Pacific Beach 008,8,GY,NULL,137
Moclips 010,10,GY,NULL,14
Ocean City 012,12,GY,NULL,167
Burrows 014,14,GY,NULL,15
Wilderness 016,16,GY,NULL,73
Humptulips 018,18,GY,NULL,35
Axford 020,20,GY,NULL,86
Dekay 022,22,GY,NULL,46
Hoquiam Rural 024,24,GY,NULL,199
Stover 026,26,GY,NULL,41
North Wishkah 028,28,GY,NULL,1
Wishkah 030,30,GY,NULL,169
Cutoff032,32,GY,NULL,64
Coats Landing 034,34,GY,NULL,169
Geissler 036,36,GY,NULL,31
Aberdeen Lake 038,38,GY,NULL,2
Reynvaan 040,40,GY,NULL,90
Wynoochee 042,42,GY,NULL,5
Boundary 044,44,GY,NULL,32
Black Creek 046,46,GY,NULL,307
Brady 048,48,GY,NULL,282
Riviera 050,50,GY,NULL,23
Satsop 052,52,GY,NULL,107
Calder 056,56,GY,NULL,182
Bush 058,58,GY,NULL,370
McCleary Rural 060,60,GY,NULL,262
Porter 062,62,GY,NULL,122
Cedar Creek 064,64,GY,NULL,59
Chehalis 066,66,GY,NULL,4
Blockhouse 068,68,GY,NULL,191
Delezenne 070,70,GY,NULL,247
Melbourne 072,72,GY,NULL,197
Devonshire 074,74,GY,NULL,179
Vesta 076,76,GY,NULL,34
Artic 078,78,GY,NULL,36
Central Park 080,80,GY,NULL,399
Lois Lane 082,82,GY,NULL,77
Blue Slough 084,84,GY,NULL,128
Sierra 086,86,GY,NULL,1
Lund 088,88,GY,NULL,44
Newskah 090,90,GY,NULL,14
Ocosta 092,92,GY,NULL,0
Johns River 094,94,GY,NULL,195
Grayland 096,96,GY,NULL,203
Cohasset 098,98,GY,NULL,129
Aberdeen 111,111,GY,NULL,392
Aberdeen 121,121,GY,NULL,362
Aberdeen 131,131,GY,NULL,491
Aberdeen 132,132,GY,NULL,0
Aberdeen 141,141,GY,NULL,348
Aberdeen 142,142,GY,NULL,273
Aberdeen 151,151,GY,NULL,230
Aberdeen 161,161,GY,NULL,379
Cosmopolis 201,201,GY,NULL,378
Elma 301,301,GY,NULL,157
Elma 302,302,GY,NULL,340
Hoquiam 411,411,GY,NULL,254
Hoquiam 421,421,GY,NULL,215
Hoquiam 431,431,GY,NULL,265
Hoquiam 441,441,GY,NULL,293
Hoquiam 451,451,GY,NULL,208
Hoquiam 461,461,GY,NULL,226
McCleary 501,501,GY,NULL,277
Montesano 601,601,GY,NULL,455
Montesano 602,602,GY,NULL,470
Montesano 603,603,GY,NULL,0
Oakville 701,701,GY,NULL,99
Ocean Shores 801,801,GY,NULL,387
Ocean Shores 802,802,GY,NULL,498
Ocean Shores 803,803,GY,NULL,439
Westport 901,901,GY,NULL,360
