Row Label,PrecinctCode,County,Registered Voters,Cary Condotta
Total,-1,GR,NULL,1710
Coulee City 005,5,GR,NULL,163
Electric City 007,7,GR,NULL,247
Ephrata Rural ,14,GR,NULL,206
Grand Coulee 018,18,GR,NULL,207
Hartline 019,19,GR,NULL,47
North Banks Lake 037,37,GR,NULL,53
Quincy Rural N 042,42,GR,NULL,171
Soap Lake 1 047,47,GR,NULL,145
Soap Lake 2 052,52,GR,NULL,123
Soap Lake Rur W ,71,GR,NULL,257
Coulee Cty Rur N 072,72,GR,NULL,64
Hartline Rural N 073,73,GR,NULL,27
