Row Label,PrecinctCode,County,Registered Voters,Jake Fey,Steven T. Cook
Total,-1,PI,NULL,22992,11091
27-401,27401,PI,NULL,205,87
27-404,27404,PI,NULL,157,37
27-405,27405,PI,NULL,418,211
27-406,27406,PI,NULL,507,290
27-407,27407,PI,NULL,395,174
27-408,27408,PI,NULL,371,225
27-409,27409,PI,NULL,347,209
27-410,27410,PI,NULL,416,171
27-411,27411,PI,NULL,490,252
27-412,27412,PI,NULL,341,189
27-413,27413,PI,NULL,408,174
27-414,27414,PI,NULL,481,161
27-415,27415,PI,NULL,451,211
27-416,27416,PI,NULL,436,185
27-417,27417,PI,NULL,491,150
27-418,27418,PI,NULL,409,153
27-419,27419,PI,NULL,440,166
27-420,27420,PI,NULL,537,156
27-421,27421,PI,NULL,371,123
27-422,27422,PI,NULL,537,198
27-423,27423,PI,NULL,526,152
27-424,27424,PI,NULL,448,149
27-425,27425,PI,NULL,444,116
27-426,27426,PI,NULL,385,151
27-427,27427,PI,NULL,413,123
27-428,27428,PI,NULL,392,88
27-429,27429,PI,NULL,375,153
27-430,27430,PI,NULL,388,149
27-431,27431,PI,NULL,138,81
27-432,27432,PI,NULL,322,210
27-433,27433,PI,NULL,376,159
27-434,27434,PI,NULL,320,169
27-435,27435,PI,NULL,366,187
27-436,27436,PI,NULL,372,140
27-437,27437,PI,NULL,336,121
27-438,27438,PI,NULL,366,81
27-439,27439,PI,NULL,366,101
27-440,27440,PI,NULL,396,96
27-441,27441,PI,NULL,311,109
27-442,27442,PI,NULL,211,125
27-443,27443,PI,NULL,211,150
27-444,27444,PI,NULL,294,145
27-445,27445,PI,NULL,271,153
27-446,27446,PI,NULL,258,159
27-447,27447,PI,NULL,296,144
27-448,27448,PI,NULL,9,10
27-449,27449,PI,NULL,324,172
27-450,27450,PI,NULL,339,159
27-451,27451,PI,NULL,262,140
27-452,27452,PI,NULL,282,161
27-453,27453,PI,NULL,199,105
27-454,27454,PI,NULL,313,184
27-455,27455,PI,NULL,252,142
27-456,27456,PI,NULL,236,108
27-457,27457,PI,NULL,277,129
27-458,27458,PI,NULL,200,107
27-459,27459,PI,NULL,184,96
27-460,27460,PI,NULL,335,248
27-461,27461,PI,NULL,353,288
27-462,27462,PI,NULL,329,251
27-463,27463,PI,NULL,240,191
27-464,27464,PI,NULL,302,195
27-465,27465,PI,NULL,228,211
27-466,27466,PI,NULL,255,197
27-467,27467,PI,NULL,254,218
27-468,27468,PI,NULL,249,180
27-471,27471,PI,NULL,11,6
27-475,27475,PI,NULL,286,205
27-476,27476,PI,NULL,254,139
27-477,27477,PI,NULL,230,316
