Row Label,PrecinctCode,County,Registered Voters,Brad Hawkins
Total,-1,OK,NULL,3611
ALMA,1,OK,NULL,38
BOSTON,6,OK,NULL,54
BREWSTER RURAL,7,OK,NULL,49
CARLTON,8,OK,NULL,25
DUCK LAKE,11,OK,NULL,21
DULEY LAKE,12,OK,NULL,21
EASTSIDE,14,OK,NULL,63
ELMERTON,16,OK,NULL,76
MALOTT,20,OK,NULL,64
MAZAMA,21,OK,NULL,58
METHOW,22,OK,NULL,62
MISSION,23,OK,NULL,25
MONSE #1,25,OK,NULL,53
NESPELEM RURAL,27,OK,NULL,20
PATEROS RURAL,30,OK,NULL,39
POGUE,32,OK,NULL,57
SPRING COULEE,36,OK,NULL,52
TWISP RURAL,39,OK,NULL,37
WOLF CREEK,40,OK,NULL,46
WINTHROP RURAL,44,OK,NULL,60
CHILIWIST,45,OK,NULL,41
MONSE #3,46,OK,NULL,30
OKANOGAN RURAL,47,OK,NULL,27
COLUMBIA,49,OK,NULL,20
DISAUTEL,51,OK,NULL,16
HUDSON,52,OK,NULL,18
ORCHARD,54,OK,NULL,28
BEAVER CREEK,56,OK,NULL,31
BLACK CANYON,57,OK,NULL,35
BUFFALO LAKE,58,OK,NULL,15
EDELWEISS,60,OK,NULL,57
FINLEY CANYON,62,OK,NULL,56
LIBBY CREEK,65,OK,NULL,60
MCGINNIS LAKE,66,OK,NULL,9
NORTH STAR,67,OK,NULL,13
OWHI,68,OK,NULL,26
POORMAN CREEK,71,OK,NULL,75
TWIN LAKES,75,OK,NULL,59
VALLEY,76,OK,NULL,38
WEST CHEWUCH,78,OK,NULL,46
CANAL,79,OK,NULL,30
AIRPORT,81,OK,NULL,48
BALKY HILL,82,OK,NULL,40
BRIDGE CREEK,83,OK,NULL,26
CROSSROADS,84,OK,NULL,32
DAVIS LAKE,85,OK,NULL,40
LEWIS BUTTE,88,OK,NULL,56
MCCLURE MTN,90,OK,NULL,58
MOCCASIN LAKE,91,OK,NULL,49
NORTH MALOTT,92,OK,NULL,47
PATTERSON LAKE,93,OK,NULL,60
PEARRYGIN LAKE,94,OK,NULL,37
COULEE DAM #1,101,OK,NULL,51
COULEE DAM #2,102,OK,NULL,36
COULEE DAM #3,103,OK,NULL,31
NESPELEM CITY,104,OK,NULL,15
BREWSTER #1,124,OK,NULL,22
BREWSTER #2,125,OK,NULL,59
PATEROS #1,126,OK,NULL,33
PATEROS #2,127,OK,NULL,35
TWISP #1,128,OK,NULL,53
TWISP #2,129,OK,NULL,41
WINTHROP #1,130,OK,NULL,62
COULEE DAM #4,132,OK,NULL,29
ELMER CITY,133,OK,NULL,61
TWISP #3,135,OK,NULL,62
TWISP #4,136,OK,NULL,20
WINTHROP #2,137,OK,NULL,39
LEECHER MTN,174,OK,NULL,52
ALTA LAKE,175,OK,NULL,43
STARR,176,OK,NULL,30
PATEROS #3,177,OK,NULL,23
RAT LAKE,178,OK,NULL,26
BREWSTER FLAT,179,OK,NULL,38
BREWSTER #3,180,OK,NULL,28
BREWSTER #4,181,OK,NULL,16
BREWSTER #5,182,OK,NULL,26
BREWSTER #6,183,OK,NULL,19
PIONEER,184,OK,NULL,40
LONE PINE,191,OK,NULL,20
OMAK MTN,192,OK,NULL,17
OMAK LAKE,193,OK,NULL,20
FIKER,194,OK,NULL,34
ROSS CANYON,195,OK,NULL,40
HENDRICK,196,OK,NULL,55
DIXON,197,OK,NULL,41
KERMEL,198,OK,NULL,47
GLOVER,199,OK,NULL,49
FLETCHER,200,OK,NULL,39
MOCK,201,OK,NULL,38
AVIATION,226,OK,NULL,25
SUNSET LAKES,236,OK,NULL,17
FLATS,237,OK,NULL,36
