Row Label,PrecinctCode,County,Registered Voters,Gina R. McCabe,Paul George
Total,-1,KT,NULL,5200,2669
ALDER CREEK,1,KT,NULL,137,20
CENTERVILLE,2,KT,NULL,227,80
COLUMBUS,3,KT,NULL,32,9
E KLICKITAT,4,KT,NULL,52,39
F VALLEY,5,KT,NULL,211,161
GLENWOOD,6,KT,NULL,227,63
HUSUM,7,KT,NULL,243,113
LYLE,8,KT,NULL,262,157
MT BROOK,9,KT,NULL,180,127
N DALLES,11,KT,NULL,252,113
N F VALLEY,12,KT,NULL,266,145
PINE FOREST,13,KT,NULL,515,248
ROOSEVELT,14,KT,NULL,55,10
TROUT LAKE,16,KT,NULL,195,157
W KLICKITAT,17,KT,NULL,55,26
WISHRAM,19,KT,NULL,48,38
WOODLAND,20,KT,NULL,596,195
ORCHARD HTS,21,KT,NULL,187,49
APPLETON,22,KT,NULL,90,24
ALDERDALE,23,KT,NULL,29,9
E LYLE,24,KT,NULL,85,64
RIVER,27,KT,NULL,13,10
HGH PRAIRIE,28,KT,NULL,45,28
BINGEN,101,KT,NULL,67,71
GOLDENDALE 1,102,KT,NULL,305,116
GOLDENDALE 2,103,KT,NULL,257,121
GOLDENDALE 3,104,KT,NULL,202,107
WHITE SALMON,109,KT,NULL,231,225
N WHITE SALMON,110,KT,NULL,136,144
