Row Label,PrecinctCode,County,Registered Voters,Peggy Semprimoznik
Total,-1,LI,NULL,3758
ALMIRA RURAL,1,LI,NULL,31
BLUESTEM,2,LI,NULL,16
CANBY,3,LI,NULL,33
CRESTON RURAL,4,LI,NULL,45
WHEATLAND,5,LI,NULL,73
DAVENPORT RURAL,6,LI,NULL,81
DOWNS,7,LI,NULL,20
EARL,8,LI,NULL,30
EDWALL,9,LI,NULL,65
EGYPT,10,LI,NULL,104
ENOS,11,LI,NULL,8
GOVAN,12,LI,NULL,19
GRAND COULEE,13,LI,NULL,29
GRAVELLE,14,LI,NULL,33
HARR RURAL,15,LI,NULL,52
HAWK CREEK,16,LI,NULL,57
IRBY,17,LI,NULL,22
KELLER,18,LI,NULL,56
LAKEVIEW,19,LI,NULL,104
LAMONA,20,LI,NULL,24
EAST LARENE,21,LI,NULL,76
WEST LARENE,22,LI,NULL,33
LAYTON,23,LI,NULL,17
LONG LAKE,24,LI,NULL,60
MOHLER,25,LI,NULL,45
MONDOVI,26,LI,NULL,68
ODESSA RURAL,27,LI,NULL,76
PEACH,28,LI,NULL,117
N REARDAN RURAL,29,LI,NULL,37
S REARDAN RURAL,30,LI,NULL,46
RIVERVIEW,31,LI,NULL,126
SEVEN BAYS,32,LI,NULL,57
SHERMAN,33,LI,NULL,58
SPRAGUE RURAL,34,LI,NULL,97
SPRING CREEK,35,LI,NULL,68
WILBUR RURAL,36,LI,NULL,83
WAUKON,37,LI,NULL,40
WILSON CREEK,38,LI,NULL,31
ALMIRA IN,39,LI,NULL,83
CRESTON IN,40,LI,NULL,74
DAVENPORT IN,41,LI,NULL,525
HARRINGTON IN,42,LI,NULL,126
ODESSA IN,43,LI,NULL,299
REARDAN IN,44,LI,NULL,191
SPRAGUE IN,45,LI,NULL,108
WILBUR IN,46,LI,NULL,315
