Row Label,PrecinctCode,County,Registered Voters,Shelly Short,James R. Apker
Total,-1,ST,NULL,12823,3132
ADDY,1,ST,NULL,325,76
CAMAS,3,ST,NULL,243,94
CAMAS PRAIRIE,4,ST,NULL,154,55
COLUMBIA,5,ST,NULL,354,134
COLVILLE VALLEY,6,ST,NULL,509,76
DAISY,7,ST,NULL,128,51
ECHO,8,ST,NULL,331,60
EVANS,9,ST,NULL,162,60
HUNTERS,10,ST,NULL,303,78
KELLY HILL,11,ST,NULL,96,16
LOON LAKE 1,12,ST,NULL,357,102
LOON LAKE 2,13,ST,NULL,204,46
MILL CREEK,14,ST,NULL,138,24
NARCISSE,15,ST,NULL,375,82
ONION CREEK,16,ST,NULL,84,49
RICE,19,ST,NULL,147,44
ROCK CUT,20,ST,NULL,57,31
SUMMIT,21,ST,NULL,223,42
FIRST THOUGHT,22,ST,NULL,50,12
WELLPINIT,24,ST,NULL,92,64
WILLIAMS VALLEY,25,ST,NULL,382,97
TUM TUM 1,26,ST,NULL,180,45
TUM TUM 2,27,ST,NULL,358,57
WALKERS PRAIRIE,28,ST,NULL,172,83
STONE LODGE,29,ST,NULL,300,65
TUM TUM 3,39,ST,NULL,416,79
TUM TUM 4,40,ST,NULL,244,61
TUM TUM 5,41,ST,NULL,274,70
MEYERS FALLS 1,42,ST,NULL,247,55
MEYERS FALLS 2,43,ST,NULL,412,71
QUARTZITE 1,44,ST,NULL,451,95
QUARTZITE 2,45,ST,NULL,238,42
VALLEY 1,46,ST,NULL,51,12
VALLEY 2,47,ST,NULL,184,41
ARDEN 1,48,ST,NULL,279,42
ARDEN 2,49,ST,NULL,321,52
CLAYTON 1,50,ST,NULL,188,56
CLAYTON 2,51,ST,NULL,317,93
ORIN 1,52,ST,NULL,227,35
ORIN 2,53,ST,NULL,267,68
WAITTS LAKE,54,ST,NULL,277,74
ECHO VALLEY,55,ST,NULL,157,47
CHEWELAH 1,101,ST,NULL,214,62
CHEWELAH 2,102,ST,NULL,114,19
CHEWELAH 3,103,ST,NULL,171,41
CHEWELAH FORE,104,ST,NULL,128,32
COLVILLE 1,105,ST,NULL,116,26
COLVILLE 2,106,ST,NULL,140,37
COLVILLE 3,107,ST,NULL,153,35
COLVILLE 4,108,ST,NULL,330,57
COLVILLE 5,109,ST,NULL,257,59
COLVILLE 6,110,ST,NULL,152,35
COLVILLE 7,111,ST,NULL,178,29
KETTLE FALLS 1,114,ST,NULL,262,60
KETTLE FALLS 2,115,ST,NULL,164,42
MARCUS,116,ST,NULL,43,20
NORTHPORT,117,ST,NULL,78,24
SPRINGDALE,118,ST,NULL,49,18
