Row Label,PrecinctCode,County,Registered Voters,Cindy Carter,Randy R Zolman
Total,-1,GR,NULL,10867,6398
Airport 1 001,1,GR,NULL,151,71
Beverly 002,2,GR,NULL,17,17
Block 71 003,3,GR,NULL,285,231
Cascade Fairgrnd 004,4,GR,NULL,139,69
Coulee City 005,5,GR,NULL,121,47
Coulee Cty Rur W 006,6,GR,NULL,59,14
Electric City 007,7,GR,NULL,149,91
Ephrata 5 008,8,GR,NULL,181,66
Ephrata 2 009,9,GR,NULL,200,112
Ephrata 3 010,10,GR,NULL,137,72
Ephrata 4 011,11,GR,NULL,260,122
Ephrata 7 012,12,GR,NULL,179,104
Ephrata 9 013,13,GR,NULL,322,153
Ephrata Rural ,14,GR,NULL,170,79
George 015,15,GR,NULL,26,12
George Rural 016,16,GR,NULL,243,244
Gloyd 017,17,GR,NULL,160,98
Grand Coulee 018,18,GR,NULL,118,91
Hartline 019,19,GR,NULL,32,17
Hartline Rural S 020,20,GR,NULL,11,12
Lakeview Park 021,21,GR,NULL,153,100
Longview 022,22,GR,NULL,228,109
Mae 023,23,GR,NULL,500,218
Marlin 024,24,GR,NULL,11,7
Marlin Rural 025,25,GR,NULL,20,20
Mattawa 026,26,GR,NULL,31,9
Mattawa Rural 027,27,GR,NULL,284,131
McConihe 1 028,28,GR,NULL,102,57
Moses Lake 5 029,29,GR,NULL,191,82
Moses Lake 3 030,30,GR,NULL,273,142
Moses Lake 4 031,31,GR,NULL,177,81
Moses Lake 6 032,32,GR,NULL,282,136
Moses Lake 7 033,33,GR,NULL,229,119
Moses Lake 8 034,34,GR,NULL,272,174
Moses Lake 11 035,35,GR,NULL,329,179
Moses Lake 12 036,36,GR,NULL,199,100
North Banks Lake 037,37,GR,NULL,28,23
O Sullivan Dam 1 038,38,GR,NULL,290,133
Quincy 1 039,39,GR,NULL,78,180
Quincy 4 040,40,GR,NULL,62,81
Quincy 6 041,41,GR,NULL,157,303
Quincy Rural N 042,42,GR,NULL,92,128
Royal Camp 043,43,GR,NULL,316,106
Royal City 044,44,GR,NULL,94,25
Ruff 045,45,GR,NULL,31,16
Smyrna 1 046,46,GR,NULL,93,27
Soap Lake 1 047,47,GR,NULL,102,46
Soap Lake Rur E ,48,GR,NULL,47,40
Stratford 049,49,GR,NULL,29,15
Warden 050,50,GR,NULL,100,57
Warden Rural 051,51,GR,NULL,234,112
Soap Lake 2 052,52,GR,NULL,87,69
Westslope 1 053,53,GR,NULL,69,34
Wheeler 1 054,54,GR,NULL,148,58
Wilson Creek 055,55,GR,NULL,23,42
Wilson Crk Rural 056,56,GR,NULL,12,15
Airport 2 057,57,GR,NULL,118,59
Cascade Valley 058,58,GR,NULL,337,132
Westslope 2 059(*),59,GR,NULL,0,0
Smyrna 2 060(*),60,GR,NULL,0,0
East Wahluke 061,61,GR,NULL,62,22
Coulee Cty Rur E 062,62,GR,NULL,12,8
McConihe 2 063,63,GR,NULL,80,55
Quincy Rural S 064,64,GR,NULL,207,341
Greenfield 065,65,GR,NULL,32,20
Moses Lake 1 066,66,GR,NULL,130,63
Moses Lake 2 067,67,GR,NULL,156,74
Moses Lake 9  068,68,GR,NULL,185,104
O Sullivan Dam 2 069,69,GR,NULL,364,190
Wheeler 2 070,70,GR,NULL,369,170
Soap Lake Rur W ,71,GR,NULL,190,107
Coulee Cty Rur N 072,72,GR,NULL,34,21
Hartline Rural N 073,73,GR,NULL,16,11
Ephrata Rural E,74,GR,NULL,154,104
