Row Label,PrecinctCode,County,Registered Voters,Brian Blake,Hugh Fleet
Total,-1,LE,NULL,882,1329
Boistfort,6,LE,NULL,45,76
Crego,10,LE,NULL,279,479
Curtis,11,LE,NULL,46,92
Emery,15,LE,NULL,83,117
Evaline West,19,LE,NULL,80,109
Mauermann,32,LE,NULL,44,41
Stillwater West,55,LE,NULL,92,87
Urquhart,58,LE,NULL,79,114
Veness,59,LE,NULL,134,214
