Row Label,PrecinctCode,County,Registered Voters,Stephen M. Brown
Total,-1,KS,NULL,7222
CLE ELUM 1,1,KS,NULL,105
CLE ELUM 2,2,KS,NULL,71
CLE ELUM 3,3,KS,NULL,30
CLE ELUM 4,4,KS,NULL,168
DENMARK,5,KS,NULL,273
EAST SANDERS,6,KS,NULL,193
EASTON,7,KS,NULL,212
ELLENSBURG 1,8,KS,NULL,34
ELLENSBURG 2,9,KS,NULL,47
ELLENSBURG 4,11,KS,NULL,27
ELLENSBURG 5,12,KS,NULL,46
ELLENSBURG 6,13,KS,NULL,42
ELLENSBURG 7,14,KS,NULL,32
ELLENSBURG 8,15,KS,NULL,54
ELLENSBURG 9,16,KS,NULL,57
ELLENSBURG 10,17,KS,NULL,78
ELLENSBURG 11,18,KS,NULL,81
ELLENSBURG 12,19,KS,NULL,66
ELLENSBURG 13,20,KS,NULL,56
ELLENSBURG 14,21,KS,NULL,87
ELLENSBURG 15,22,KS,NULL,98
ELLENSBURG 16,23,KS,NULL,149
ELLENSBURG 17,24,KS,NULL,133
ELLENSBURG 18,25,KS,NULL,29
ELLENSBURG 19,26,KS,NULL,204
ELLENSBURG 20,27,KS,NULL,51
ELLENSBURG 21,28,KS,NULL,81
ELLENSBURG 22,29,KS,NULL,111
ELLENSBURG 23,30,KS,NULL,135
ELLENSBURG 24,31,KS,NULL,236
HYAK,32,KS,NULL,53
KITTITAS 1,33,KS,NULL,86
MANASTASH,34,KS,NULL,145
MOUNTAIN,35,KS,NULL,69
NORTH CENTRAL,36,KS,NULL,162
NORTH ELLENSBURG,37,KS,NULL,256
PARK,38,KS,NULL,229
PEOH POINT,39,KS,NULL,171
RIDGEWAY,40,KS,NULL,278
ROSLYN 1,41,KS,NULL,95
ROSLYN 2,42,KS,NULL,62
DRY CREEK,43,KS,NULL,234
WESTSIDE,44,KS,NULL,247
ROSLYN OUTLYING,45,KS,NULL,38
SANDERS,46,KS,NULL,81
SOUTH CLE ELUM,47,KS,NULL,120
SOUTH ELLENSBURG,48,KS,NULL,237
SWAUK,50,KS,NULL,115
TEANAWAY,51,KS,NULL,163
THORP,52,KS,NULL,188
VANTAGE,53,KS,NULL,17
FAIRVIEW,54,KS,NULL,133
NORTHEAST FAIRVIEW,55,KS,NULL,208
THRALL,56,KS,NULL,182
DAMMAN,58,KS,NULL,204
KACHESS,59,KS,NULL,57
KITTITAS 2,60,KS,NULL,112
ELLENSBURG 25,61,KS,NULL,207
RONALD,62,KS,NULL,87
