Row Label,PrecinctCode,County,Registered Voters,Roger Freeman,Jack Dovey
Total,-1,KI,NULL,833,842
Total,-1,KI,NULL,833,842
30-701,30701,PI,NULL,5,13
30-705,30705,PI,NULL,134,131
30-706,30706,PI,NULL,202,195
30-707,30707,PI,NULL,112,119
30-708,30708,PI,NULL,192,184
30-709(*),30709,PI,NULL,0,0
30-713(*),30713,PI,NULL,0,0
