Row Label,PrecinctCode,County,Registered Voters,Kathy Haigh,Dan Griffey
Total,-1,TH,NULL,7579,7031
Trails End,34,TH,NULL,324,307
Steamboat Island,44,TH,NULL,188,101
Scott Lake South,49,TH,NULL,127,130
Salmon Creek,50,TH,NULL,86,123
Black River,62,TH,NULL,231,280
Prine,83,TH,NULL,33,35
Greenridge,86,TH,NULL,121,99
Tilley,89,TH,NULL,185,208
Sweet Briar,90,TH,NULL,292,191
Frye Cove,94,TH,NULL,268,154
Oyster Bay,95,TH,NULL,242,160
Summit Lake,96,TH,NULL,146,165
Delridge,97,TH,NULL,49,51
Alpine,99,TH,NULL,352,238
Hewitt Lake,100,TH,NULL,289,163
Hays,120,TH,NULL,130,132
Indian Summer,121,TH,NULL,209,206
Chambers,122,TH,NULL,246,306
Hunter Point,131,TH,NULL,127,107
Griffin,132,TH,NULL,198,148
Schneiders Prairie,133,TH,NULL,155,137
Mud Bay,140,TH,NULL,215,122
Mclane,141,TH,NULL,153,124
Black Lake,144,TH,NULL,242,236
Delphi,145,TH,NULL,178,164
South Union,146,TH,NULL,237,229
Violet Prairie,150,TH,NULL,160,267
Littlerock,151,TH,NULL,257,314
Scott Lake North,155,TH,NULL,83,80
Wards,161,TH,NULL,109,44
Evergreen Shores,164,TH,NULL,172,124
Waddell Creek,171,TH,NULL,159,141
Camelot,173,TH,NULL,116,122
Munn Lake,182,TH,NULL,105,113
Scheller,184,TH,NULL,86,78
Wilderness,186,TH,NULL,278,198
Lakeside,190,TH,NULL,90,90
Gallagher Cove,191,TH,NULL,328,220
East Olympia,192,TH,NULL,157,164
Henness,198,TH,NULL,199,389
Beaver Creek,199,TH,NULL,257,371
Tumwater 29,429,TH,NULL,0,0
