Row Label,PrecinctCode,County,Registered Voters,Lee Whetham,Don Corson,Connie Beauvais,Joe McGimpsey,Barbara Christensen,Derek G. Medina,William G. White,Rod Fleck,Cheryl Williams,Howard (Mike) Doherty Jr.,John Merton Marrs
Total,-1,CM,NULL,2016,1903,2363,1787,2417,1189,1795,2280,2152,3301,1455
PORT ANGELES 108,108,CM,NULL,124,83,101,65,125,58,74,67,108,160,82
PORT ANGELES 109,109,CM,NULL,240,196,243,163,262,145,162,188,231,374,164
PORT ANGELES 110,110,CM,NULL,41,45,55,21,55,29,40,37,46,72,29
PORT ANGELES 111,111,CM,NULL,222,216,203,134,254,129,138,173,227,347,153
PORT ANGELES 112,112,CM,NULL,122,109,122,63,124,64,80,89,125,184,84
PORT ANGELES 113,113,CM,NULL,126,133,136,83,134,81,110,89,126,178,89
BEAVER 204,204,CM,NULL,82,66,110,129,102,46,131,180,94,137,52
BLACK DIAMOND 208,208,CM,NULL,91,111,105,62,103,53,86,102,89,162,82
BOGACHIEL 212,212,CM,NULL,44,55,45,55,62,21,53,107,47,60,28
CLALLAM BAY 215,215,CM,NULL,65,59,78,87,84,44,76,102,71,145,64
DRY CREEK 224,224,CM,NULL,140,116,153,110,165,73,107,92,139,226,85
ELWHA 230,230,CM,NULL,44,49,42,25,46,15,39,41,46,67,41
FRESHWATER BAY 233,233,CM,NULL,175,172,241,139,197,108,156,158,209,269,139
JOYCE 241,241,CM,NULL,191,152,282,147,200,103,174,169,181,269,137
MADISON CREEK 248,248,CM,NULL,67,76,67,42,62,34,49,59,52,106,45
NEAH BAY 252,252,CM,NULL,43,25,84,146,80,35,33,55,77,138,30
QUILEUTE 262,262,CM,NULL,29,43,46,61,55,24,46,82,45,81,26
SUN 269,269,CM,NULL,31,34,51,57,69,24,56,97,46,63,16
FORKS 301,301,CM,NULL,48,58,84,100,108,53,70,167,92,106,44
FORKS 302,302,CM,NULL,91,105,115,98,130,50,115,226,101,157,65
