Row Label,PrecinctCode,County,Registered Voters,Laura Danekas
Total,-1,AD,NULL,2660
Ritzville Ward #1,111,AD,NULL,76
Ritzville Ward #2,112,AD,NULL,72
Ritzville Ward #3,113,AD,NULL,136
Ritzville Ward #4,114,AD,NULL,106
Ritzville Ward #5,115,AD,NULL,118
Ritzville Rural NW,121,AD,NULL,116
Ritzville Rural SE,122,AD,NULL,110
Batum,123,AD,NULL,65
Benge,211,AD,NULL,20
Washtucna City #1,212,AD,NULL,84
Washtucna Rural,221,AD,NULL,59
Ralston,222,AD,NULL,26
Lind #1,311,AD,NULL,149
Hatton City,313,AD,NULL,15
Lind Rural,321,AD,NULL,60
Fairview,322,AD,NULL,25
Schrag,323,AD,NULL,28
Hatton Rural,324,AD,NULL,27
Cunningham,325,AD,NULL,6
Othello City #1,411,AD,NULL,18
Othello City #2,412,AD,NULL,146
Othello City #3,413,AD,NULL,139
Othello City #4,414,AD,NULL,149
Othello City #5,415,AD,NULL,148
Othello City #6,416,AD,NULL,94
Othello Rural #1,511,AD,NULL,69
Othello Rural #2,512,AD,NULL,84
Othello Rural #3,513,AD,NULL,178
Othello Rural #4,514,AD,NULL,123
Othello Rural #5,515,AD,NULL,79
Othello Rural #6,516,AD,NULL,135
