Row Label,PrecinctCode,County,Registered Voters,Brad Hawkins
Total,-1,CH,NULL,16332
100,100,CH,NULL,6
110,110,CH,NULL,211
111,111,CH,NULL,60
112,112,CH,NULL,17
113,113,CH,NULL,40
114,114,CH,NULL,275
115,115,CH,NULL,25
116,116,CH,NULL,103
120,120,CH,NULL,202
121,121,CH,NULL,190
122,122,CH,NULL,107
123,123,CH,NULL,29
124,124,CH,NULL,42
125,125,CH,NULL,386
126,126,CH,NULL,46
127,127,CH,NULL,83
128,128,CH,NULL,40
129,129,CH,NULL,153
131,131,CH,NULL,36
132,132,CH,NULL,23
133,133,CH,NULL,244
134,134,CH,NULL,410
135,135,CH,NULL,394
136,136,CH,NULL,4
140,140,CH,NULL,107
141,141,CH,NULL,10
142,142,CH,NULL,28
143,143,CH,NULL,6
144,144,CH,NULL,19
145,145,CH,NULL,19
146,146,CH,NULL,72
147,147,CH,NULL,373
148,148,CH,NULL,163
149,149,CH,NULL,179
150,150,CH,NULL,36
151,151,CH,NULL,3
152,152,CH,NULL,4
153,153,CH,NULL,532
154,154,CH,NULL,464
155,155,CH,NULL,158
156,156,CH,NULL,43
157,157,CH,NULL,370
158,158,CH,NULL,193
159,159,CH,NULL,9
161,161,CH,NULL,33
162,162,CH,NULL,21
163,163,CH,NULL,19
164,164,CH,NULL,158
165,165,CH,NULL,92
171,171,CH,NULL,11
172,172,CH,NULL,15
173,173,CH,NULL,13
174,174,CH,NULL,271
175,175,CH,NULL,472
181,181,CH,NULL,333
182,182,CH,NULL,298
183,183,CH,NULL,154
190,190,CH,NULL,24
210,210,CH,NULL,229
220,220,CH,NULL,273
310,310,CH,NULL,152
320,320,CH,NULL,221
330,330,CH,NULL,246
410,410,CH,NULL,315
420,420,CH,NULL,322
430,430,CH,NULL,445
440,440,CH,NULL,488
450,450,CH,NULL,415
460,460,CH,NULL,381
480,480,CH,NULL,411
490,490,CH,NULL,610
510,510,CH,NULL,234
520,520,CH,NULL,624
530,530,CH,NULL,441
540,540,CH,NULL,350
560,560,CH,NULL,383
580,580,CH,NULL,274
590,590,CH,NULL,379
610,610,CH,NULL,264
710,710,CH,NULL,251
720,720,CH,NULL,361
730,730,CH,NULL,396
1149,1149,CH,NULL,31
1150,1150,CH,NULL,6
1151,1151,CH,NULL,2
