Row Label,PrecinctCode,County,Registered Voters,John R. Henry
Total,-1,GA,NULL,820
GROUSE-VOTE BY MAIL,101,GA,NULL,0
MAYVIEW-VOTE BY MAIL,102,GA,NULL,30
PATAHA,103,GA,NULL,108
PEOLA-VOTE BY MAIL,104,GA,NULL,11
PING - VOTE BY MAIL,105,GA,NULL,17
PLEASANT-VB MAIL,106,GA,NULL,31
SCOGGIN - VB MAIL,109,GA,NULL,76
TUCANNON - VB MAIL,110,GA,NULL,51
WARD 1,201,GA,NULL,80
WARD 2,202,GA,NULL,153
WARD 3,203,GA,NULL,159
WARD 4,204,GA,NULL,104
