Row Label,PrecinctCode,County,Registered Voters,Mike Manus,Write-In: Mark Zorica
Total,-1,PE,NULL,2931,1510
Camden,1,PE,NULL,103,48
Cusick,2,PE,NULL,71,56
Dalkena,3,PE,NULL,187,88
Diamond Lk East,4,PE,NULL,58,46
Fertile Valley North,5,PE,NULL,97,47
Furport,6,PE,NULL,144,76
Ione East,7,PE,NULL,115,23
Ione West,8,PE,NULL,129,52
Metaline,9,PE,NULL,66,22
Metaline Falls,10,PE,NULL,126,32
Tiger Dry Canyon,11,PE,NULL,200,70
Newport NE,12,PE,NULL,150,83
Newport SE,13,PE,NULL,58,55
Newport NW,14,PE,NULL,148,79
Newport SW,15,PE,NULL,87,87
Noble,16,PE,NULL,172,124
Ruby,17,PE,NULL,20,3
Sacheen,18,PE,NULL,135,72
Usk,19,PE,NULL,125,54
Diamond Lk West,20,PE,NULL,90,73
Deer Valley North,21,PE,NULL,135,77
Locke,22,PE,NULL,24,10
Kalispel Leclerc,23,PE,NULL,96,41
Skookum,24,PE,NULL,35,21
Deer Valley South,25,PE,NULL,44,26
Fertile Valley South,26,PE,NULL,96,41
Diamond Lk,27,PE,NULL,220,104
