Row Label,PrecinctCode,County,Registered Voters,Shelly Short,James R. Apker
Total,-1,SP,NULL,14210,3690
PCT 7000,7000,SP,NULL,529,151
PCT 7001,7001,SP,NULL,293,89
PCT 7002,7002,SP,NULL,298,65
PCT 7003,7003,SP,NULL,405,103
PCT 7004,7004,SP,NULL,400,108
PCT 7005,7005,SP,NULL,532,177
PCT 7006,7006,SP,NULL,372,129
PCT 7007,7007,SP,NULL,305,136
PCT 7008,7008,SP,NULL,461,126
PCT 7009,7009,SP,NULL,509,143
PCT 7010,7010,SP,NULL,291,93
PCT 7011,7011,SP,NULL,252,56
PCT 7012,7012,SP,NULL,364,93
PCT 7013,7013,SP,NULL,375,68
PCT 7014,7014,SP,NULL,341,97
PCT 7015,7015,SP,NULL,370,69
PCT 7016,7016,SP,NULL,490,108
PCT 7017,7017,SP,NULL,401,77
PCT 7018,7018,SP,NULL,461,86
PCT 7019,7019,SP,NULL,368,60
PCT 7020,7020,SP,NULL,417,77
PCT 7021,7021,SP,NULL,221,63
PCT 7022,7022,SP,NULL,292,82
PCT 7023,7023,SP,NULL,281,76
PCT 7024,7024,SP,NULL,499,109
PCT 7025,7025,SP,NULL,353,77
PCT 7026,7026,SP,NULL,388,85
PCT 7027,7027,SP,NULL,296,67
PCT 7028,7028,SP,NULL,535,105
PCT 7029,7029,SP,NULL,306,113
PCT 7030,7030,SP,NULL,403,81
PCT 7031,7031,SP,NULL,343,79
PCT 7032,7032,SP,NULL,349,102
PCT 7033,7033,SP,NULL,220,75
PCT 7034,7034,SP,NULL,204,66
PCT 7035,7035,SP,NULL,210,85
PCT 7036,7036,SP,NULL,261,56
PCT 7300,7300,SP,NULL,325,83
PCT 7301,7301,SP,NULL,253,82
PCT 7302,7302,SP,NULL,237,93
