Row Label,PrecinctCode,County,Registered Voters,Nona Haberman
Total,-1,DG,NULL,7911
PRECINCT 101,101,DG,NULL,174
PRECINCT 102,102,DG,NULL,328
PRECINCT 103,103,DG,NULL,70
PRECINCT 104,104,DG,NULL,385
PRECINCT 105,105,DG,NULL,115
PRECINCT 106,106,DG,NULL,141
PRECINCT 107,107,DG,NULL,143
PRECINCT 108,108,DG,NULL,152
PRECINCT 109,109,DG,NULL,115
PRECINCT 110,110,DG,NULL,217
PRECINCT 111,111,DG,NULL,281
PRECINCT 112,112,DG,NULL,169
PRECINCT 113,113,DG,NULL,163
PRECINCT 114,114,DG,NULL,140
PRECINCT 201,201,DG,NULL,187
PRECINCT 202,202,DG,NULL,76
PRECINCT 203,203,DG,NULL,229
PRECINCT 204,204,DG,NULL,243
PRECINCT 205,205,DG,NULL,356
PRECINCT 206,206,DG,NULL,137
PRECINCT 207,207,DG,NULL,286
PRECINCT 208,208,DG,NULL,132
PRECINCT 209,209,DG,NULL,254
PRECINCT 210,210,DG,NULL,82
PRECINCT 211,211,DG,NULL,73
PRECINCT 212,212,DG,NULL,169
PRECINCT 213,213,DG,NULL,163
PRECINCT 214,214,DG,NULL,62
PRECINCT 215,215,DG,NULL,220
PRECINCT 301,301,DG,NULL,321
PRECINCT 302,302,DG,NULL,278
PRECINCT 303,303,DG,NULL,178
PRECINCT 304,304,DG,NULL,48
PRECINCT 305,305,DG,NULL,131
PRECINCT 306,306,DG,NULL,132
PRECINCT 307,307,DG,NULL,42
PRECINCT 308,308,DG,NULL,41
PRECINCT 309,309,DG,NULL,73
PRECINCT 310,310,DG,NULL,97
PRECINCT 311,311,DG,NULL,112
PRECINCT 312,312,DG,NULL,154
PRECINCT 313,313,DG,NULL,53
PRECINCT 314,314,DG,NULL,40
PRECINCT 315,315,DG,NULL,274
PRECINCT 316,316,DG,NULL,241
PRECINCT 317,317,DG,NULL,356
PRECINCT 318,318,DG,NULL,78
