Row Label,PrecinctCode,County,Registered Voters,Richard DeBolt,Michael Savoca
Total,-1,LE,NULL,14858,5701
Adna ,1,LE,NULL,499,130
Agate,2,LE,NULL,138,52
Alpha,3,LE,NULL,332,147
Berwick,4,LE,NULL,415,98
Big Bottom,5,LE,NULL,239,135
Cinebar,7,LE,NULL,227,83
Claquato,8,LE,NULL,255,98
Cowlitz,9,LE,NULL,402,151
Drews Prairie,12,LE,NULL,128,47
Dryad,13,LE,NULL,81,31
Elk Crk,14,LE,NULL,98,33
Emery North(*),16,LE,NULL,0,0
Ethel,17,LE,NULL,359,109
Evaline East,18,LE,NULL,91,43
Fair,20,LE,NULL,0,0
Fords Prairie,21,LE,NULL,306,77
Forest,22,LE,NULL,286,102
Greenwood,23,LE,NULL,13,4
Harmony,24,LE,NULL,261,91
Independence,25,LE,NULL,53,23
Jackson,26,LE,NULL,319,127
Jackson North,27,LE,NULL,0,0
Kelly,28,LE,NULL,0,0
Klickitat,29,LE,NULL,164,54
Lincoln Creek,30,LE,NULL,244,55
Logan,31,LE,NULL,252,96
Mellen(*),33,LE,NULL,0,0
Meskill,34,LE,NULL,55,16
Mineral,35,LE,NULL,137,59
Newaukum,36,LE,NULL,278,63
Onalaska,37,LE,NULL,473,203
Packwood,38,LE,NULL,67,31
Paradise,39,LE,NULL,30,24
Parcuvia,40,LE,NULL,230,55
Prescott,41,LE,NULL,496,208
Randle East,42,LE,NULL,234,94
Randle West,43,LE,NULL,178,79
Roswell,44,LE,NULL,4,8
Salkum,45,LE,NULL,231,55
Salmon Creek,46,LE,NULL,404,167
Salzer,47,LE,NULL,131,38
Sears,48,LE,NULL,201,56
Seminary Hill,49,LE,NULL,140,62
Silver Creek,50,LE,NULL,237,109
Skookumchuck,51,LE,NULL,261,97
Sommerville,52,LE,NULL,54,10
Stearns Creek,53,LE,NULL,103,39
Stillwater East,54,LE,NULL,60,36
Temple,56,LE,NULL,194,116
Union,57,LE,NULL,201,54
Verndale,60,LE,NULL,216,111
Whealdon,61,LE,NULL,200,52
Centralia #1,101,LE,NULL,111,46
Centralia #2,102,LE,NULL,267,139
Centralia #3,103,LE,NULL,114,40
Centralia #4,104,LE,NULL,163,73
Centralia #5,105,LE,NULL,112,50
Centralia #6,106,LE,NULL,213,110
Centralia #7,107,LE,NULL,122,44
Centralia #8,108,LE,NULL,136,65
Centralia #9,109,LE,NULL,284,94
Centralia #10,110,LE,NULL,97,45
Centralia #11,111,LE,NULL,242,141
Centralia #12,112,LE,NULL,367,81
Centralia #13,113,LE,NULL,336,115
Chehalis #1,201,LE,NULL,166,86
Chehalis #2,202,LE,NULL,120,65
Chehalis #3,203,LE,NULL,148,55
Chehalis #4,204,LE,NULL,111,82
Chehalis #5,205,LE,NULL,124,39
Chehalis #6,206,LE,NULL,272,77
Chehalis #7,207,LE,NULL,52,9
Chehalis #8,208,LE,NULL,186,86
Chehalis #9,209,LE,NULL,8,4
Morton,300,LE,NULL,204,72
Mossyrock,400,LE,NULL,101,39
Napavine #1,501,LE,NULL,324,127
Napavine #2,502,LE,NULL,0,0
Napavine #3(*),503,LE,NULL,0,0
Napavine #4,504,LE,NULL,0,0
Napavine #5,505,LE,NULL,0,0
Napavine #6,506,LE,NULL,0,0
Pe Ell,600,LE,NULL,118,67
Toledo,700,LE,NULL,107,71
Vader,800,LE,NULL,94,58
Winlock,900,LE,NULL,175,91
