Row Label,PrecinctCode,County,Registered Voters,Jane E. Richards,Ray D. Lutes
Total,-1,AS,NULL,2224,4993
ANATONE,1,AS,NULL,35,109
RURAL ASOTIN,3,AS,NULL,53,114
W ASOTIN,4,AS,NULL,43,128
SWALLOWS NEST,5,AS,NULL,109,319
ASOTIN #1,101,AS,NULL,57,161
ASOTIN #2,102,AS,NULL,81,166
CLARKSTON #1,201,AS,NULL,63,114
CLARKSTON #2,202,AS,NULL,58,176
CLARKSTON #3,203,AS,NULL,58,169
CLARKSTON #4,204,AS,NULL,77,169
CLARKSTON #5,205,AS,NULL,41,116
CLARKSTON #6,206,AS,NULL,84,164
CLARKSTON #7,207,AS,NULL,58,103
CLARKSTON #8,208,AS,NULL,71,144
CLARKSTON HTS #1,301,AS,NULL,88,233
CLARKSTON HTS #2,302,AS,NULL,163,361
CLARKSTON HTS #3,303,AS,NULL,39,81
CLARKSTON HTS #4,304,AS,NULL,92,212
CLARKSTON HTS #5,305,AS,NULL,192,364
CLARKSTON HTS #6,306,AS,NULL,151,343
CLARKSTON HTS #7,307,AS,NULL,134,236
SOUTH CLARKSTON #1,401,AS,NULL,83,177
SOUTH CLARKSTON #2,402,AS,NULL,109,224
WEST CLARKSTON #1,501,AS,NULL,91,186
WEST CLARKSTON #2,502,AS,NULL,91,181
WEST CLARKSTON #3,503,AS,NULL,103,243
