Row Label,PrecinctCode,County,Registered Voters,Elizabeth E. (Betsy) Verhey
Total,-1,PI,NULL,29715
27-404,27404,PI,NULL,128
27-405,27405,PI,NULL,389
27-406,27406,PI,NULL,484
27-407,27407,PI,NULL,369
27-408,27408,PI,NULL,403
27-409,27409,PI,NULL,392
27-410,27410,PI,NULL,392
27-411,27411,PI,NULL,442
27-412,27412,PI,NULL,366
27-413,27413,PI,NULL,378
27-414,27414,PI,NULL,397
27-415,27415,PI,NULL,422
27-416,27416,PI,NULL,396
27-417,27417,PI,NULL,398
27-418,27418,PI,NULL,355
27-419,27419,PI,NULL,366
27-420,27420,PI,NULL,426
27-421,27421,PI,NULL,321
27-422,27422,PI,NULL,474
27-423,27423,PI,NULL,402
27-424,27424,PI,NULL,365
27-425,27425,PI,NULL,322
27-426,27426,PI,NULL,345
27-427,27427,PI,NULL,331
27-428,27428,PI,NULL,327
27-429,27429,PI,NULL,346
27-430,27430,PI,NULL,346
27-431,27431,PI,NULL,147
27-432,27432,PI,NULL,340
27-433,27433,PI,NULL,341
27-434,27434,PI,NULL,340
27-435,27435,PI,NULL,356
27-436,27436,PI,NULL,344
27-437,27437,PI,NULL,311
27-438,27438,PI,NULL,305
27-439,27439,PI,NULL,309
27-440,27440,PI,NULL,342
27-441,27441,PI,NULL,289
27-442,27442,PI,NULL,237
27-443,27443,PI,NULL,253
27-444,27444,PI,NULL,297
27-445,27445,PI,NULL,277
27-446,27446,PI,NULL,297
27-447,27447,PI,NULL,314
27-448,27448,PI,NULL,10
27-449,27449,PI,NULL,341
27-450,27450,PI,NULL,373
27-451,27451,PI,NULL,264
27-452,27452,PI,NULL,308
27-453,27453,PI,NULL,237
27-454,27454,PI,NULL,338
27-455,27455,PI,NULL,285
27-456,27456,PI,NULL,244
27-457,27457,PI,NULL,303
27-458,27458,PI,NULL,208
27-459,27459,PI,NULL,205
27-460,27460,PI,NULL,323
27-461,27461,PI,NULL,375
27-462,27462,PI,NULL,371
27-463,27463,PI,NULL,287
27-464,27464,PI,NULL,310
27-465,27465,PI,NULL,269
27-466,27466,PI,NULL,317
27-467,27467,PI,NULL,296
27-468,27468,PI,NULL,295
28-501,28501,PI,NULL,410
28-502,28502,PI,NULL,428
28-503,28503,PI,NULL,438
28-504,28504,PI,NULL,409
28-505,28505,PI,NULL,413
28-506,28506,PI,NULL,437
28-507,28507,PI,NULL,347
28-508,28508,PI,NULL,189
28-509,28509,PI,NULL,0
29-601,29601,PI,NULL,254
29-602,29602,PI,NULL,220
29-603,29603,PI,NULL,295
29-604,29604,PI,NULL,287
29-605,29605,PI,NULL,234
29-606,29606,PI,NULL,315
29-607,29607,PI,NULL,363
29-608,29608,PI,NULL,242
29-609,29609,PI,NULL,207
29-610,29610,PI,NULL,292
29-611,29611,PI,NULL,60
29-612,29612,PI,NULL,153
29-613,29613,PI,NULL,319
29-614,29614,PI,NULL,319
29-615,29615,PI,NULL,344
29-616,29616,PI,NULL,284
29-617,29617,PI,NULL,288
29-618,29618,PI,NULL,256
29-619,29619,PI,NULL,281
29-620,29620,PI,NULL,176
29-621,29621,PI,NULL,0
29-622,29622,PI,NULL,239
29-623,29623,PI,NULL,65
29-624,29624,PI,NULL,0
29-625,29625,PI,NULL,4
29-626,29626,PI,NULL,7
29-627,29627,PI,NULL,0
