Row Label,PrecinctCode,County,Registered Voters,Steve Jenkins
Total,-1,DG,NULL,7702
PRECINCT 101,101,DG,NULL,161
PRECINCT 102,102,DG,NULL,311
PRECINCT 103,103,DG,NULL,68
PRECINCT 104,104,DG,NULL,382
PRECINCT 105,105,DG,NULL,107
PRECINCT 106,106,DG,NULL,144
PRECINCT 107,107,DG,NULL,129
PRECINCT 108,108,DG,NULL,153
PRECINCT 109,109,DG,NULL,115
PRECINCT 110,110,DG,NULL,208
PRECINCT 111,111,DG,NULL,273
PRECINCT 112,112,DG,NULL,165
PRECINCT 113,113,DG,NULL,160
PRECINCT 114,114,DG,NULL,141
PRECINCT 201,201,DG,NULL,189
PRECINCT 202,202,DG,NULL,76
PRECINCT 203,203,DG,NULL,219
PRECINCT 204,204,DG,NULL,239
PRECINCT 205,205,DG,NULL,325
PRECINCT 206,206,DG,NULL,132
PRECINCT 207,207,DG,NULL,281
PRECINCT 208,208,DG,NULL,131
PRECINCT 209,209,DG,NULL,240
PRECINCT 210,210,DG,NULL,89
PRECINCT 211,211,DG,NULL,69
PRECINCT 212,212,DG,NULL,160
PRECINCT 213,213,DG,NULL,140
PRECINCT 214,214,DG,NULL,61
PRECINCT 215,215,DG,NULL,214
PRECINCT 301,301,DG,NULL,316
PRECINCT 302,302,DG,NULL,263
PRECINCT 303,303,DG,NULL,193
PRECINCT 304,304,DG,NULL,57
PRECINCT 305,305,DG,NULL,134
PRECINCT 306,306,DG,NULL,134
PRECINCT 307,307,DG,NULL,40
PRECINCT 308,308,DG,NULL,39
PRECINCT 309,309,DG,NULL,77
PRECINCT 310,310,DG,NULL,93
PRECINCT 311,311,DG,NULL,113
PRECINCT 312,312,DG,NULL,147
PRECINCT 313,313,DG,NULL,53
PRECINCT 314,314,DG,NULL,38
PRECINCT 315,315,DG,NULL,266
PRECINCT 316,316,DG,NULL,232
PRECINCT 317,317,DG,NULL,348
PRECINCT 318,318,DG,NULL,77
