Row Label,PrecinctCode,County,Registered Voters,Suzan DelBene,Pedro Celis
Total,-1,SN,NULL,42972,37952
BOTHELL 31,10141598,SN,NULL,212,159
BOTHELL 32,10141599,SN,NULL,127,102
BOTHELL 33,10141600,SN,NULL,180,115
BOTHELL 34,10141601,SN,NULL,225,151
BOTHELL 35,10141602,SN,NULL,167,110
BOTHELL 36,10141603,SN,NULL,151,128
BOTHELL 37,10141604,SN,NULL,210,189
BOTHELL 38,10141605,SN,NULL,190,119
BOTHELL 39,10141606,SN,NULL,144,99
BOTHELL 40,10141607,SN,NULL,240,141
BOTHELL 41,10141608,SN,NULL,208,166
BOTHELL 42,10141609,SN,NULL,258,163
BOTHELL 43,10141610,SN,NULL,153,104
BOTHELL 44,10141611,SN,NULL,151,88
BOTHELL 45,10141612,SN,NULL,93,80
BOTHELL 46,10141613,SN,NULL,172,132
BOTHELL 47,10141644,SN,NULL,183,164
ELWOOD,10144165,SN,NULL,159,130
RAINIER,10144171,SN,NULL,76,102
GRANNIS,10144266,SN,NULL,187,117
SUNSET,10144271,SN,NULL,255,163
VIEW,10144330,SN,NULL,164,179
WITHERS,10144338,SN,NULL,252,136
CAVALRY,10144370,SN,NULL,163,172
MAPLEWOOD,10144426,SN,NULL,171,144
PARKSHORE,10144479,SN,NULL,139,112
STAFFORD,10144484,SN,NULL,118,94
REDHAWK,10144552,SN,NULL,215,168
VALLEY,10144559,SN,NULL,44,49
GATEWAY,10144581,SN,NULL,167,175
SNOCADE,10144592,SN,NULL,215,223
TOTEM FALLS,10144594,SN,NULL,218,213
WOODSHIRE,10144597,SN,NULL,125,148
SILVER CREEK,10144635,SN,NULL,166,68
KENNARD,10144639,SN,NULL,148,93
GLENBAR,10144646,SN,NULL,157,90
OLDMARK,10144656,SN,NULL,216,204
KINGMAN,10144685,SN,NULL,295,180
CRYSTAL CREEK,10144691,SN,NULL,115,67
TAMBARK,10144715,SN,NULL,159,120
BEAR CREEK,10154009,SN,NULL,145,104
MALTBY,10154026,SN,NULL,179,150
CATHCART,10154032,SN,NULL,108,121
CLEARVIEW,10154062,SN,NULL,193,199
MINOR,10154170,SN,NULL,183,146
BEECHER,10154178,SN,NULL,171,187
WOODLAND,10154273,SN,NULL,94,74
CREEK,10154283,SN,NULL,185,177
PARADISE,10154310,SN,NULL,160,200
TURNER,10154329,SN,NULL,227,244
WELLINGTON,10154333,SN,NULL,248,190
WHEELER,10154334,SN,NULL,128,154
BATTERY,10154369,SN,NULL,124,101
ECHO LAKE,10154372,SN,NULL,193,204
LOST LAKE,10154375,SN,NULL,129,89
BOSTIAN,10154387,SN,NULL,115,111
REES,10154435,SN,NULL,58,74
KOKANEE,10154535,SN,NULL,96,84
POND,10154551,SN,NULL,146,144
WELCH,10154560,SN,NULL,173,237
FALLS,10154579,SN,NULL,18,23
SILER,10154657,SN,NULL,97,100
BOULDER,11014016,SN,NULL,234,188
BRYANT,11014021,SN,NULL,63,62
ARMSTRONG,11014027,SN,NULL,101,143
TRONSON,11014326,SN,NULL,115,99
HENNING,11014647,SN,NULL,201,217
NORTH FORK,11014759,SN,NULL,84,108
GRANITE FALLS 1,13911384,SN,NULL,175,151
GRANITE FALLS 2,13911385,SN,NULL,183,167
DARRINGTON,13911637,SN,NULL,226,101
GRANITE FALLS 3,13911670,SN,NULL,71,52
ARLINGTON 18,13911760,SN,NULL,0,0
NORDEN,13914011,SN,NULL,125,128
TRAFTON,13914015,SN,NULL,106,131
GREGORY,13914028,SN,NULL,125,120
HARTFORD,13914033,SN,NULL,88,77
HAZEL,13914034,SN,NULL,246,152
ROBE,13914035,SN,NULL,107,83
LOCHSLOY,13914042,SN,NULL,170,230
JIM CREEK,13914053,SN,NULL,202,213
OUTLOOK,13914057,SN,NULL,174,127
OSO,13914060,SN,NULL,105,106
NEWBERG,13914069,SN,NULL,116,132
SAUK,13914211,SN,NULL,70,62
BURN HILL,13914264,SN,NULL,183,157
SISCO,13914270,SN,NULL,186,180
PILCHUCK,13914275,SN,NULL,137,139
SLEEPY HOLLOW,13914321,SN,NULL,164,114
HEIGHTS,13914347,SN,NULL,139,169
LOOP,13914374,SN,NULL,172,130
GETCHELL,13914416,SN,NULL,143,128
PORTAGE,13914433,SN,NULL,48,102
SPADA,13914439,SN,NULL,3,4
MENZEL,13914470,SN,NULL,139,107
STILLAGUAMISH,13914496,SN,NULL,74,50
JORDAN TRAILS,13914515,SN,NULL,79,92
PILOT,13914517,SN,NULL,159,179
ARNOT,13914519,SN,NULL,128,128
BOSWORTH,13914521,SN,NULL,198,195
FIRTREE,13914529,SN,NULL,121,127
HUCKLEBERRY,13914533,SN,NULL,95,73
SANDMAN,13914555,SN,NULL,110,123
TRANGEN,13914557,SN,NULL,151,128
AIRPARK,13914573,SN,NULL,27,64
