Row Label,PrecinctCode,County,Registered Voters,Derek Stanford,Mark Davies
Total,-1,KI,NULL,16929,12909
Total,-1,KI,NULL,16929,12909
BOTHELL 31,10141598,SN,NULL,207,146
BOTHELL 32,10141599,SN,NULL,113,108
BOTHELL 33,10141600,SN,NULL,170,111
BOTHELL 34,10141601,SN,NULL,216,141
BOTHELL 35,10141602,SN,NULL,154,112
BOTHELL 36,10141603,SN,NULL,152,124
BOTHELL 37,10141604,SN,NULL,206,185
BOTHELL 38,10141605,SN,NULL,172,128
BOTHELL 39,10141606,SN,NULL,140,98
BOTHELL 40,10141607,SN,NULL,235,132
BOTHELL 41,10141608,SN,NULL,203,153
BOTHELL 42,10141609,SN,NULL,246,162
BOTHELL 43,10141610,SN,NULL,144,102
BOTHELL 44,10141611,SN,NULL,148,93
BOTHELL 45,10141612,SN,NULL,78,86
BOTHELL 46,10141613,SN,NULL,153,141
BOTHELL 47,10141644,SN,NULL,182,157
ELWOOD,10144165,SN,NULL,154,127
RAINIER,10144171,SN,NULL,71,105
GRANNIS,10144266,SN,NULL,179,125
SUNSET,10144271,SN,NULL,237,163
VIEW,10144330,SN,NULL,154,181
WITHERS,10144338,SN,NULL,226,147
CAVALRY,10144370,SN,NULL,137,191
MAPLEWOOD,10144426,SN,NULL,152,146
PARKSHORE,10144479,SN,NULL,128,112
STAFFORD,10144484,SN,NULL,101,99
REDHAWK,10144552,SN,NULL,194,167
VALLEY,10144559,SN,NULL,41,52
GATEWAY,10144581,SN,NULL,142,183
SNOCADE,10144592,SN,NULL,200,224
TOTEM FALLS,10144594,SN,NULL,183,232
WOODSHIRE,10144597,SN,NULL,110,151
SILVER CREEK,10144635,SN,NULL,154,68
KENNARD,10144639,SN,NULL,129,105
GLENBAR,10144646,SN,NULL,139,97
OLDMARK,10144656,SN,NULL,208,204
KINGMAN,10144685,SN,NULL,279,181
CRYSTAL CREEK,10144691,SN,NULL,103,73
TAMBARK,10144715,SN,NULL,149,126
BEAR CREEK,10154009,SN,NULL,138,108
MALTBY,10154026,SN,NULL,161,155
CATHCART,10154032,SN,NULL,92,134
CLEARVIEW,10154062,SN,NULL,180,204
MINOR,10154170,SN,NULL,176,147
BEECHER,10154178,SN,NULL,158,194
WOODLAND,10154273,SN,NULL,84,78
CREEK,10154283,SN,NULL,169,183
PARADISE,10154310,SN,NULL,148,203
TURNER,10154329,SN,NULL,208,252
WELLINGTON,10154333,SN,NULL,237,191
WHEELER,10154334,SN,NULL,119,167
BATTERY,10154369,SN,NULL,113,111
ECHO LAKE,10154372,SN,NULL,175,217
LOST LAKE,10154375,SN,NULL,125,87
BOSTIAN,10154387,SN,NULL,104,115
REES,10154435,SN,NULL,55,74
KOKANEE,10154535,SN,NULL,93,86
POND,10154551,SN,NULL,141,139
WELCH,10154560,SN,NULL,156,231
FALLS,10154579,SN,NULL,19,21
SILER,10154657,SN,NULL,94,93
SOUTH ALDERWOOD,20134083,SN,NULL,226,148
SAMOEA,20134196,SN,NULL,178,140
POPLAR,20134316,SN,NULL,102,67
CRAWFORD,20134690,SN,NULL,59,37
MOUNTLAKE TERRACE  1,20141090,SN,NULL,173,79
MOUNTLAKE TERRACE  2,20141091,SN,NULL,169,82
MOUNTLAKE TERRACE  3,20141092,SN,NULL,183,69
MOUNTLAKE TERRACE  5,20141093,SN,NULL,173,87
MOUNTLAKE TERRACE  6,20141094,SN,NULL,148,68
MOUNTLAKE TERRACE 11,20141138,SN,NULL,185,74
MOUNTLAKE TERRACE 12,20141139,SN,NULL,168,94
MOUNTLAKE TERRACE 13,20141140,SN,NULL,219,83
MOUNTLAKE TERRACE 14,20141141,SN,NULL,207,94
MOUNTLAKE TERRACE 15,20141142,SN,NULL,173,75
BRIER 1,20141179,SN,NULL,206,117
BRIER 2,20141180,SN,NULL,156,107
BRIER 3,20141181,SN,NULL,287,174
MOUNTLAKE TERRACE 17,20141189,SN,NULL,260,116
MOUNTLAKE TERRACE 18,20141190,SN,NULL,184,102
MOUNTLAKE TERRACE 19,20141191,SN,NULL,211,103
BRIER 4,20141276,SN,NULL,229,108
BRIER 5,20141277,SN,NULL,244,152
BRIER 6,20141343,SN,NULL,141,74
BRIER 7,20141344,SN,NULL,157,117
MOUNTLAKE TERRACE  4,20141432,SN,NULL,145,66
BRIER 8,20141614,SN,NULL,140,100
MOUNTLAKE TERRACE 16,20141630,SN,NULL,150,54
NORTH CREEK,20144065,SN,NULL,162,99
LOCUST,20144078,SN,NULL,169,130
WILLOWDALE,20144085,SN,NULL,216,123
HUNT,20144089,SN,NULL,2,2
MERIDIAN,20144136,SN,NULL,177,163
VINE,20144146,SN,NULL,177,93
ATLAS,20144177,SN,NULL,239,135
QUEENS,20144212,SN,NULL,194,107
WAXON,20144213,SN,NULL,247,141
COUNTRY,20144281,SN,NULL,132,97
CRYSTAL,20144284,SN,NULL,188,105
THRASHERS,20144324,SN,NULL,170,97
DAMSON,20144446,SN,NULL,222,146
WANDERING CREEK,20144596,SN,NULL,182,163
NEWTON,20144705,SN,NULL,145,93
