Row Label,PrecinctCode,County,Registered Voters,Chuck E. Atkins,Shane Gardner
Total,-1,CR,NULL,66000,51163
100,100,CR,NULL,246,392
102,102,CR,NULL,207,253
104,104,CR,NULL,293,312
106,106,CR,NULL,219,297
108,108,CR,NULL,211,356
110,110,CR,NULL,211,415
112,112,CR,NULL,23,32
113,113,CR,NULL,123,172
120,120,CR,NULL,262,405
130,130,CR,NULL,228,385
147,147,CR,NULL,231,242
150,150,CR,NULL,132,208
153,153,CR,NULL,205,189
160,160,CR,NULL,169,256
170,170,CR,NULL,176,272
175,175,CR,NULL,155,227
180,180,CR,NULL,196,234
190,190,CR,NULL,299,317
200,200,CR,NULL,216,359
220,220,CR,NULL,176,240
225,225,CR,NULL,382,400
240,240,CR,NULL,413,293
245,245,CR,NULL,306,319
250,250,CR,NULL,311,336
255,255,CR,NULL,263,285
257,257,CR,NULL,273,287
290,290,CR,NULL,289,263
294,294,CR,NULL,204,160
296,296,CR,NULL,194,199
298,298,CR,NULL,197,154
325,325,CR,NULL,225,204
327,327,CR,NULL,376,234
330,330,CR,NULL,332,252
335,335,CR,NULL,242,209
337,337,CR,NULL,255,268
338,338,CR,NULL,268,276
340,340,CR,NULL,256,310
350,350,CR,NULL,223,246
360,360,CR,NULL,317,285
370,370,CR,NULL,215,192
390,390,CR,NULL,345,309
395,395,CR,NULL,63,114
400,400,CR,NULL,154,178
410,410,CR,NULL,357,326
415,415,CR,NULL,223,195
420,420,CR,NULL,290,275
423,423,CR,NULL,215,211
424,424,CR,NULL,363,272
425,425,CR,NULL,244,192
426,426,CR,NULL,431,311
430,430,CR,NULL,209,189
432,432,CR,NULL,264,171
434,434,CR,NULL,246,170
435,435,CR,NULL,250,166
436,436,CR,NULL,189,141
440,440,CR,NULL,321,271
441,441,CR,NULL,310,265
444,444,CR,NULL,395,351
445,445,CR,NULL,423,287
446,446,CR,NULL,356,200
447,447,CR,NULL,469,263
448,448,CR,NULL,420,290
449,449,CR,NULL,414,349
450,450,CR,NULL,429,272
451,451,CR,NULL,302,251
452,452,CR,NULL,297,234
453,453,CR,NULL,269,272
455,455,CR,NULL,241,177
456,456,CR,NULL,456,332
460,460,CR,NULL,432,354
470,470,CR,NULL,382,363
480,480,CR,NULL,470,321
483,483,CR,NULL,520,298
485,485,CR,NULL,294,147
487,487,CR,NULL,172,111
490,490,CR,NULL,281,181
491,491,CR,NULL,31,17
500,500,CR,NULL,370,273
502,502,CR,NULL,287,226
503,503,CR,NULL,291,157
505,505,CR,NULL,442,271
510,510,CR,NULL,255,151
511,511,CR,NULL,21,11
515,515,CR,NULL,440,233
520,520,CR,NULL,218,118
521,521,CR,NULL,4,9
522,522,CR,NULL,137,85
523,523,CR,NULL,18,3
524,524,CR,NULL,45,28
525,525,CR,NULL,264,130
527,527,CR,NULL,348,165
528,528,CR,NULL,385,193
530,530,CR,NULL,160,110
535,535,CR,NULL,553,219
536,536,CR,NULL,236,118
537,537,CR,NULL,129,100
538,538,CR,NULL,216,88
540,540,CR,NULL,484,206
543,543,CR,NULL,376,226
545,545,CR,NULL,258,167
550,550,CR,NULL,464,254
553,553,CR,NULL,334,205
555,555,CR,NULL,414,280
560,560,CR,NULL,353,231
563,563,CR,NULL,379,241
565,565,CR,NULL,281,191
566,566,CR,NULL,224,166
570,570,CR,NULL,355,238
571,571,CR,NULL,330,206
572,572,CR,NULL,460,273
573,573,CR,NULL,458,265
574,574,CR,NULL,17,10
575,575,CR,NULL,122,53
576,576,CR,NULL,5,2
577,577,CR,NULL,533,240
578,578,CR,NULL,32,24
579,579,CR,NULL,12,10
580,580,CR,NULL,246,163
581,581,CR,NULL,174,109
582,582,CR,NULL,303,151
583,583,CR,NULL,303,164
584,584,CR,NULL,339,180
585,585,CR,NULL,447,234
586,586,CR,NULL,287,191
587,587,CR,NULL,296,182
588,588,CR,NULL,201,124
590,590,CR,NULL,506,276
591,591,CR,NULL,517,301
592,592,CR,NULL,444,296
593,593,CR,NULL,430,225
594,594,CR,NULL,8,12
595(*),595,CR,NULL,0,0
596(*),596,CR,NULL,0,0
597,597,CR,NULL,66,8
598,598,CR,NULL,14,6
600,600,CR,NULL,226,89
603,603,CR,NULL,274,113
605,605,CR,NULL,418,165
606,606,CR,NULL,79,40
610,610,CR,NULL,521,295
613,613,CR,NULL,205,88
615,615,CR,NULL,177,105
617,617,CR,NULL,351,222
618,618,CR,NULL,451,215
620,620,CR,NULL,440,235
624,624,CR,NULL,83,48
625,625,CR,NULL,362,251
626,626,CR,NULL,290,228
627,627,CR,NULL,305,243
628,628,CR,NULL,300,278
629,629,CR,NULL,295,214
630,630,CR,NULL,222,209
631,631,CR,NULL,319,302
632,632,CR,NULL,156,141
633,633,CR,NULL,250,243
634,634,CR,NULL,273,223
635,635,CR,NULL,214,208
636,636,CR,NULL,271,203
638,638,CR,NULL,261,224
639,639,CR,NULL,251,231
640,640,CR,NULL,304,230
641,641,CR,NULL,116,116
642,642,CR,NULL,171,95
643,643,CR,NULL,286,215
644,644,CR,NULL,300,300
645,645,CR,NULL,378,303
646,646,CR,NULL,150,117
647,647,CR,NULL,238,166
648,648,CR,NULL,267,198
649,649,CR,NULL,281,199
650,650,CR,NULL,250,292
651,651,CR,NULL,202,194
652,652,CR,NULL,229,269
653,653,CR,NULL,236,221
654,654,CR,NULL,218,159
655,655,CR,NULL,277,211
656,656,CR,NULL,175,120
658,658,CR,NULL,268,245
659,659,CR,NULL,315,249
660,660,CR,NULL,293,277
662,662,CR,NULL,301,276
663,663,CR,NULL,197,186
664,664,CR,NULL,301,262
667,667,CR,NULL,238,205
668,668,CR,NULL,337,280
669,669,CR,NULL,346,196
670,670,CR,NULL,309,309
672,672,CR,NULL,245,225
673,673,CR,NULL,332,294
674,674,CR,NULL,237,263
675,675,CR,NULL,228,179
677,677,CR,NULL,272,330
678,678,CR,NULL,214,225
679,679,CR,NULL,176,196
680,680,CR,NULL,252,234
681,681,CR,NULL,238,215
682,682,CR,NULL,253,243
683,683,CR,NULL,262,263
685,685,CR,NULL,89,67
686,686,CR,NULL,215,203
687,687,CR,NULL,271,234
688,688,CR,NULL,259,225
689,689,CR,NULL,295,279
690,690,CR,NULL,325,277
691,691,CR,NULL,300,247
692,692,CR,NULL,306,281
693,693,CR,NULL,168,155
694,694,CR,NULL,96,109
695,695,CR,NULL,344,263
696,696,CR,NULL,376,287
697,697,CR,NULL,399,312
698,698,CR,NULL,345,200
699,699,CR,NULL,279,236
700,700,CR,NULL,66,38
710,710,CR,NULL,130,118
720,720,CR,NULL,255,188
900,900,CR,NULL,303,224
903,903,CR,NULL,278,275
905,905,CR,NULL,359,243
910,910,CR,NULL,283,229
912,912,CR,NULL,243,231
913,913,CR,NULL,402,249
914,914,CR,NULL,363,207
917,917,CR,NULL,243,154
920,920,CR,NULL,307,178
925,925,CR,NULL,329,174
930,930,CR,NULL,350,232
935,935,CR,NULL,416,193
940,940,CR,NULL,327,216
947,947,CR,NULL,288,174
950,950,CR,NULL,283,242
951,951,CR,NULL,254,252
953,953,CR,NULL,116,133
957,957,CR,NULL,87,38
958,958,CR,NULL,62,37
959,959,CR,NULL,25,9
960,960,CR,NULL,391,267
961,961,CR,NULL,65,36
962,962,CR,NULL,298,158
963,963,CR,NULL,240,191
964,964,CR,NULL,387,209
965,965,CR,NULL,346,204
966,966,CR,NULL,269,113
967,967,CR,NULL,219,143
968,968,CR,NULL,257,216
969,969,CR,NULL,184,150
985,985,CR,NULL,241,223
